,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(-1.1164098733693246e-17-2.0181168536454984e-18j),0j,0j,(-0.6414239941005808+0.04943967979040009j),0j,(-0.003154182304569486-0.5266242908077039j),(0.3060892726725506-0.4637857721775678j),0j
4.0,(-1.4774236491940363e-17+4.3791168546675355e-18j),0j,0j,(0.0009179776342163048+0.9166457602362804j),0j,(0.22939310874002156-0.009533338690266804j),(-0.31475434941597147+0.08931586755805669j),0j
6.0,(2.4257249955191544e-18+1.0364678435272819e-18j),0j,0j,(0.38672155837347216-0.43980240167530765j),0j,(0.29797590380109074-0.6818007874013784j),(-0.215787067593351+0.23835744645819346j),0j
8.0,(1.5614918072833107e-17+2.363659568570644e-17j),0j,0j,(0.6990003862203027+0.24402059793668798j),0j,(0.09002086742343332-0.056795326432029655j),(0.0937291141487483-0.6570675728805915j),0j
10.0,(4.285118430695801e-18-9.12879695768397e-18j),0j,0j,(-0.21748567248780137-0.22492912133513826j),(-0+0j),(0.05030257192356091+0.7850895091574852j),(0.3151393287722788+0.4288335224392132j),0j
12.0,(5.449437171055099e-17-8.252046130515953e-18j),0j,0j,(0.03472891054479054-0.13370660554191882j),(-0+0j),(0.03178738405838914+0.26569120848276806j),(0.9305759275631034-0.20818893677760575j),0j
14.0,(-5.0905297899616455e-18-2.0083068977437797e-17j),0j,0j,(-0.3639077159284948+0.30943542089296455j),0j,(-0.458208660717664-0.2170790054732702j),(0.040649418195104425-0.7163030420226898j),(-0+0j)
16.0,(4.118275226190919e-18+1.411110397302441e-17j),0j,0j,(0.9519389732536175-0.06917365622022581j),0j,(-0.022168700166294412+0.03124849345562087j),(0.03699728200182681+0.2935821486401078j),0j
18.0,(6.655378046072602e-18+2.1077093107598543e-18j),0j,0j,(-0.28282706249082057+0.6396742474964846j),0j,(0.22485806984556356+0.6149169288190663j),(-0.1026790342048366-0.26757941778925487j),0j
20.0,(-5.9162600383340156e-18-1.1919314720308055e-18j),0j,0j,(-0.7494663921486591-0.08561688570015968j),(-0+0j),(-0.37169575699167323+0.01849497372175818j),(0.21741066192641176+0.495179442409331j),0j
