,0,1,2,3,4,5,6,7
0.0,0j,0j,(1+0j),0j,0j,0j,0j,0j
2.0,0j,(0.7091568106431778-0.1961696169832466j),(-0.15371781547042876+0.14494554578723917j),0j,(0.2999457611427466+0.5692172358836118j),0j,0j,(5.302530827116333e-18-8.539029965305684e-19j)
4.0,0j,(0.2526437318564223-0.12942340293176027j),(-0.02158734091572112-0.7889472979407273j),0j,(-0.5436202569222814-0.031526045980899975j),0j,(-0+0j),(-5.880735386417838e-17+8.051313372965921e-18j)
6.0,0j,(0.41732433184526446+0.26775720595462527j),(-0.20620248244120112-0.22764432915111238j),0j,(0.7538090394413763-0.30261693344254914j),(-0+0j),0j,(-5.241577646317867e-17-2.930013924596573e-17j)
8.0,0j,(-0.17589825766968067+0.6476483777732163j),(0.6060018916883179-0.12880524466381355j),0j,(0.406086635880904+0.029596318904520857j),0j,0j,(1.2893025871599708e-17+3.1108272639394346e-17j)
10.0,0j,(0.1385490802475592-0.006375620355688005j),(0.2008619533895162+0.2668863772433071j),0j,(0.5179877103870464-0.7751634492402952j),0j,(-0+0j),(1.648368070997543e-17-2.012255781060072e-17j)
12.0,0j,(-0.14194518719089028-0.002631970545865392j),(0.32365155994485206+0.7269008521017173j),0j,(-0.5521333954148031+0.20459269095246607j),(-0+0j),0j,(5.867533493749131e-18+1.9138541675223585e-18j)
14.0,0j,(-0.75568923764829-0.11965126755093863j),(0.35468168074532164-0.4304937679682394j),0j,(-0.2264370034187708-0.2285162025828988j),(-0+0j),0j,(-2.5685405842095112e-17-4.122154624365469e-17j)
16.0,0j,(0.13561724243343987+0.9651320948273951j),(0.22063919622491646-0.03728407143847762j),0j,(-0.0018885546900641792+0.007258068352460529j),0j,0j,(3.2286675029055095e-17+1.5931901287419346e-17j)
18.0,0j,(0.2088187027815761+0.2948194925231045j),(0.5770421005831214+0.12421427786466901j),0j,(0.17366653832238843-0.7006492539019321j),(-0+0j),0j,(-5.183059948911857e-18+3.735220811480518e-17j)
20.0,0j,(-0.10884992858460808+0.265444177421285j),(0.19083305792132244+0.3161785845779463j),0j,(-0.8837699541778041+0.01598738476138367j),(-0+0j),0j,(3.9495215633860195e-17+7.275499692831493e-18j)
