,0,1,2,3,4,5,6,7
0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2,(1.5945017551366321e-18-8.971621519784986e-18j),0j,0j,(0.4496801342910722+0.3423669448452666j),0j,(-0.3968496417935349+0.40239847211386626j),(-0.5931327983656776+0.09670556784876388j),0j
4,(-1.972546946412783e-17-4.578943666312168e-17j),0j,0j,(-0.6040925446387676-0.6385483616874151j),0j,(-0.028424506701523945+0.1320685798217978j),(0.2163702147931492-0.40281764496006545j),0j
6,(3.591309965034585e-17-1.6101054420194224e-17j),0j,0j,(0.6134031776369472+0.14941443414902258j),0j,(0.6981493072701825-0.07682523055717222j),(-0.32155998830668275+0.06853080446801796j),0j
8,(-1.2280460703713274e-17+5.0423756885949466e-17j),0j,0j,(-0.7924865189678476+0.20284461152599303j),0j,(-0.11987911366062481+0.05780272162140579j),(0.25872201176485804+0.4961551621605302j),0j
10,(-6.730477429443838e-17+2.646225799863153e-17j),0j,0j,(0.4212228217264287+0.0435591722390784j),0j,(-0.29946675233246656-0.6803270455607068j),(-0.40541825485718747-0.3221564013415132j),0j
12,(3.195286333073171e-17-5.002098601216698e-17j),0j,0j,(0.06653951919250306-0.11928834393094506j),0j,(-0.034503161715058905+0.339418597817441j),(0.9281339291729241+0.05928524431243276j),0j
14,(2.3833342104507876e-18+5.866462003211537e-17j),0j,0j,(0.24624619995654926+0.27302817707897176j),0j,(-0.212523057572838+0.4425650974778823j),(-0.7876253967270201-0.05860667583806478j),0j
16,(-8.118160637874124e-17-2.0316368198294962e-17j),0j,0j,(-0.600322367952704-0.6952905007880129j),0j,(0.21737557889377718-0.07879476902203482j),(0.2374467552503153-0.2152729768133382j),0j
18,(6.327000180212369e-17-9.304098555651309e-17j),0j,0j,(0.5492282629374973+0.45757630064342003j),0j,(0.5997006143224766-0.21213591588220815j),(-0.23779861537529404+0.16667810048054912j),0j
20,(6.335020001676159e-17+1.193292997094758e-16j),0j,0j,(-0.6866416634015892+0.10075203771102392j),0j,(-0.4554302843801839-0.02423384252227123j),(0.30300041870531524+0.46750291570061697j),0j
