,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,0j,0j,0j,0j,0j,0j,0j,(-0.06726380261729516-0.09926201846427521j),0j,0j,0j,(-0.059333571883123465+0.05912263423318801j),0j,(-0.063547520079139+0.045693996080393776j),(-0.051636275463340986-0.09223236088911499j),0j,0j,0j,0j,(0.01983573970833865-0.020204532131573198j),0j,(0.03072764887100103-0.33335971161021144j),(0.08831777567969176+0.17072670226456016j),0j,0j,(-0.039115111039072975+0.04253209706630885j),(0.012818627244032347+0.009202370356787896j),0j,(0.05908528065615714-0.036211266824401206j),0j,0j,0j,0j,0j,0j,(-0.20390487798363757-0.11226370349976814j),0j,(0.09972569776294524+0.15692606228473918j),(-0.014217450390329716-0.2164653209383946j),0j,0j,(-0.02917624482147253+0.05631026680189562j),(0.11011855981511287+0.15162667163272364j),0j,(-0.18780995572262565-0.1169613858135434j),0j,0j,0j,0j,(0.05051439200464657-0.1807987061105015j),(-0.14626433178750975-0.005083108463570227j),0j,(0.058999833892775334-0.0945607246960271j),0j,0j,0j,(-0.02519267489197564-0.1413733759345789j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.06022589576737085-0.06481194691094724j),0j,(0.013010354720436428+0.018065447285040392j),(0.13717850831841621+0.1474682383219962j),0j,0j,(-0.0376816618463918+0.0447226423246354j),(0.0037940434837352415-0.3249029898722441j),0j,(0.030611509892023624-0.031126547859966568j),0j,0j,0j,0j,(-0.016978916444659466+0.1656293963862076j),(0.24863879208579687+0.11882733967409999j),0j,(0.25334498725245497+0.12142278507774949j),0j,0j,0j,(-0.034751292939292376+0.1475167567884588j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.01615523724319808-0.15939190697407132j),(0.07498931745504535-0.10876254454449098j),0j,(-0.1376908466392277-0.016018675880386492j),0j,0j,0j,(0.06303336922182279-0.15429985878417504j),0j,0j,0j,0j,0j,0j,0j,(0.18155520709253756-0.03258971058676089j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5.0,0j,0j,0j,0j,0j,0j,0j,(0.0388707547804488-0.07848220468617376j),0j,0j,0j,(-0.0008369762968787609+0.02790348399784243j),0j,(-0.010841660391247513+0.03579390626033665j),(0.03799258224432867-0.06765908722646011j),0j,0j,0j,0j,(-0.1943524795272805-0.013929521694199577j),0j,(0.11471867763449328-0.028498628902465593j),(-0.2489308373793908+0.030910034337933347j),0j,0j,(-0.15438742761943977-0.10058572152283285j),(0.048019218756444985+0.0739786096974673j),0j,(-0.07408000688553015-0.1020568991929663j),0j,0j,0j,0j,0j,0j,(0.1386928030732147+0.128063775463657j),0j,(0.10610549762561264-0.07505283439393952j),(0.1051012156788838+0.1170409898774545j),0j,0j,(-0.10103026243352567+0.3828066492699974j),(0.11480765352814787-0.08429472926933523j),0j,(0.14490515145205382+0.11552103227044197j),0j,0j,0j,0j,(0.1107908694610684-0.2279523619099118j),(-0.12122115360855995+0.10496056188051837j),0j,(0.012046332259507565-0.13246332537291708j),0j,0j,0j,(-0.04167350722638906-0.032671028549677454j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0757112669921549-0.09992640403500246j),0j,(0.05109082085298239+0.0922773668462668j),(-0.26626986272702097+0.05773108587175685j),0j,0j,(-0.18791325492800098-0.09322586056014115j),(0.11254522460543961-0.02684069974714179j),0j,(-0.17719582424314692+0.023762368572206073j),0j,0j,0j,0j,(-0.06625665570177261+0.07518664682303863j),(-0.13259724528568262-0.15967488111277076j),0j,(-0.12466059856754508-0.14626472929267184j),0j,0j,0j,(-0.08730842310175582+0.07361747161015812j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.03271228838934131-0.032612944737593505j),(-0.005191086953041709-0.12606840216766327j),0j,(-0.1608607159441095+0.08543804378950379j),0j,0j,0j,(0.1372847445307685-0.20858152716002912j),0j,0j,0j,0j,0j,0j,0j,(0.07076113731356809+0.020633678967426215j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
7.5,0j,0j,0j,0j,0j,0j,0j,(-0.059486352753003874-0.0832197011441354j),0j,0j,0j,(0.05345432251418247+0.07930095779226648j),0j,(0.05301875224542166+0.08803111888391944j),(-0.05916028813288882-0.09090011550987742j),0j,0j,0j,0j,(0.15190903786424897-0.0030924101782788815j),0j,(-0.22443550276063995-0.14872864040700393j),(0.22741610274340712-0.10796015148219014j),0j,0j,(0.19691319154230047-0.052980956276078676j),(-0.15882657473784836-0.006467486957958984j),0j,(-0.010034979887103473-0.12030113570979134j),0j,0j,0j,0j,0j,0j,(-0.01644552249931372+0.06748081232223442j),0j,(0.15890179283172787-0.07140847778479815j),(0.05670631233124422+0.07040487958170512j),0j,0j,(0.18541971395390877+0.4831961379421375j),(0.17973302949213146-0.07350987418221776j),0j,(-0.0017435156904308871+0.06616759363403096j),0j,0j,0j,0j,(-0.08563688414377314-0.11641350881319956j),(0.06252471469120223-0.08558361576375281j),0j,(0.04499264965931567-0.008948932528448313j),0j,0j,0j,(0.08339366784912283+0.03552904870801657j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.0073401933182698775-0.13761196057199993j),0j,(-0.16716108330234075+0.023955237429522776j),(0.22003076530262705-0.11408484466424941j),0j,0j,(0.17451541513448876-0.04885421895145747j),(-0.23326628278541955-0.12501962465188057j),0j,(0.14471343896294944-0.024893824335115562j),0j,0j,0j,0j,(-0.07396283727380341+0.061190281216339765j),(-0.06637047627317225-0.06132383534162816j),0j,(-0.06510589722440684-0.06862341806720838j),0j,0j,0j,(-0.08314032287203575+0.07998599758111652j),0j,0j,0j,0j,0j,0j,0j,0j,(0.09597160510565196+0.050888508013511635j),(0.035409579972548226+0.006826531401495742j),0j,(0.08425890752004969-0.058963952518401974j),0j,0j,0j,(-0.07544779711876941-0.10840000949041462j),0j,0j,0j,0j,0j,0j,0j,(-0.07601904618740445-0.04514505782689122j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
10.0,0j,0j,0j,0j,0j,0j,0j,(0.12325004557792645-0.017187555522186898j),0j,0j,0j,(-0.0036668278751155747-0.1341707714407893j),0j,(-0.006109364742181111-0.11492855754546177j),(0.13972669669187257-0.016944899920583338j),0j,0j,0j,0j,(-0.027771836936295778-0.005789457920633775j),0j,(0.2729050508492875-0.017644544209119196j),(-0.12524743313223088-0.05221607387908491j),0j,0j,(0.11738392031660437-0.12202730881781901j),(-0.08691592580573548+0.11765990500601642j),0j,(0.09977838348691474-0.08412176869053685j),0j,0j,0j,0j,0j,0j,(0.16403119130523022-0.08097906636331537j),0j,(-0.1406341705134909-0.2501409166326726j),(0.08818208774447155+0.15760327319347572j),0j,0j,(-0.13772204493120555+0.018491942173558117j),(-0.12938249107099337-0.23007987636624727j),0j,(0.15997318714291653-0.09277719687032493j),0j,0j,0j,0j,(0.1732992159481147-0.13214850472649556j),(0.06766312178060911+0.11130944152584099j),0j,(-0.0014245928609469619+0.09304596813137611j),0j,0j,0j,(0.037623030592125455-0.0708196609816904j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.10068318694422032-0.06710433184078148j),0j,(-0.06046564206587678+0.11323082871264198j),(-0.12453493938661968-0.023734089815893453j),0j,0j,(0.12229129681621262-0.12760259143044062j),(0.28039512567165137-0.05340242820707705j),0j,(-0.043760420053757645+0.009127532021576217j),0j,0j,0j,0j,(-0.12505615021554664+0.14361807104751328j),(-0.2206768259328038-0.003414881937283976j),0j,(-0.22744573135734725-0.0014674903050406196j),0j,0j,0j,(-0.13637682011483632+0.14559294113971358j),0j,0j,0j,0j,0j,0j,0j,0j,(0.03867818235625267-0.052758585882280835j),(-0.008759088342579003+0.1159862708955562j),0j,(0.05827925364175114+0.10436145393084345j),0j,0j,0j,(0.17136097877471207-0.12684679953696307j),0j,0j,0j,0j,0j,0j,0j,(-0.029160597666282918-0.0660567500355983j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
12.5,0j,0j,0j,0j,0j,0j,0j,(0.038169466558033674-0.014761867767285584j),0j,0j,0j,(-0.02337795749577811-0.011571328000332719j),0j,(-0.047597640145633426-0.0033040197581190034j),(0.048678178665372246-0.02072358269512858j),0j,0j,0j,0j,(-0.040784467048829244-0.02150578100012385j),0j,(-0.056477960482202924+0.09322094348677434j),(-0.006737766578074782+0.24669174115898782j),0j,0j,(0.0023888574491754827-0.050758961958634524j),(-0.07088096886566825-0.06656324726378801j),0j,(-0.056177903050327896+0.04244244307326463j),0j,0j,0j,0j,0j,0j,(0.016313043342084072+0.010087488275958945j),0j,(0.2552366720796418-0.18640203563969188j),(-0.003922545269137434-0.046266959943628824j),0j,0j,(0.38967349720399547+0.5030803269715037j),(0.23756464652698653-0.1833878903505924j),0j,(0.026836915124673257+0.015241545780524633j),0j,0j,0j,0j,(-0.021677407912659694-0.1872803798592224j),(0.029661470977182233+0.12984497280888457j),0j,(0.07507838055070318-0.050011093722845706j),0j,0j,0j,(0.0646070706767155-0.08916346206161196j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.0608750028508757+0.04150127161206883j),0j,(-0.0647783595058938-0.043537094799466255j),(0.015832609895507423+0.2565163030242286j),0j,0j,(-0.04376306654400859-0.065146668092912j),(-0.04199503299759946+0.11563231625371741j),0j,(-0.039041268210756985-0.003934810587448028j),0j,0j,0j,0j,(0.0037550139315807793+0.03340542771816528j),(0.011070957500406826+0.11993679260794549j),0j,(0.014223017255563592+0.12579050377073273j),0j,0j,0j,(-0.01640013594914151+0.05295672898973306j),0j,0j,0j,0j,0j,0j,0j,0j,(0.06610013003337738-0.07336202704385757j),(0.07693128539464936-0.043613058263094105j),0j,(0.03000795143026859+0.14118334208636873j),0j,0j,0j,(-0.006104023350968359-0.18374963273342873j),0j,0j,0j,0j,0j,0j,0j,(-0.08728974854640677+0.1174045481114521j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
15.0,0j,0j,0j,0j,0j,0j,0j,(-0.000372091398496123+0.0307017904434152j),0j,0j,0j,(0.05364838479033601-0.06116386910550685j),0j,(0.06892984190829009-0.06335198743615832j),(-0.012323394179219122+0.04350748167787137j),0j,0j,0j,0j,(0.04859968778089299+0.05301921231186298j),0j,(-0.4118850803734072+0.2610320376236402j),(-0.053161484545096796-0.2095146594534455j),0j,0j,(0.049712996705972325+0.019592944895225683j),(-0.020676899856017887+0.10122772212239302j),0j,(-0.06477456469087614+0.07416481870906473j),0j,0j,0j,0j,0j,0j,(0.11631282782070099-0.016313707670337324j),0j,(0.12921285409441635-0.2461898631800948j),(-0.02723717528959057+0.14869249980281685j),0j,0j,(0.008945615045731159-0.17014031550652362j),(0.13098947563330435-0.2684016925182193j),0j,(0.11788463650610015-0.0026548916126538855j),0j,0j,0j,0j,(0.0069776137736939775+0.0806360285383407j),(0.034844736545786834-0.05618854615565413j),0j,(-0.06761325399236841+0.05390084900504955j),0j,0j,0j,(-0.07722825273030604+0.11967212623603406j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.046077985606964925+0.09620895494782392j),0j,(0.0006975187370606151+0.1179297142683918j),(-0.07614735603225672-0.18811342648258608j),0j,0j,(0.06295296365084968-0.0057446320232395764j),(-0.3823819531056242+0.2957656511049504j),0j,(0.05006606077990196+0.06951289797910301j),0j,0j,0j,0j,(-0.045678530717470606+0.03439861062079817j),(-0.0978155985139086+0.050747892564633766j),0j,(-0.09964065227714701+0.041774603918104225j),0j,0j,0j,(-0.029362109920551323+0.027187492112186993j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.0625983288000177+0.12377778943511199j),(-0.06949019595559741+0.049874726060274044j),0j,(0.061923419924815565-0.04868500436171825j),0j,0j,0j,(0.010657016812455638+0.06679546290585167j),0j,0j,0j,0j,0j,0j,0j,(-0.02100199870239073+0.07739216819815098j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
17.5,0j,0j,0j,0j,0j,0j,0j,(-0.024038957066985403+0.05325821683276842j),0j,0j,0j,(-0.05097863598113807+0.07743244704867638j),0j,(-0.05314679763886279+0.07538578027461429j),(-0.02394844502819147+0.05006694808885677j),0j,0j,0j,0j,(0.14672105970009552-0.07367956902288182j),0j,(-0.15829959294798224+0.0034817512531629194j),(0.07782299418158863-0.06415741533424375j),0j,0j,(-0.018046044913244463+0.09130777083669306j),(0.06792428061569307-0.1473582276619455j),0j,(0.07627278775223828+0.07560098551819694j),0j,0j,0j,0j,0j,0j,(-0.0878441509835049+0.06211916798228989j),0j,(-0.19455952883660285+0.10007500580800281j),(0.1783630600526672-0.09643995267631598j),0j,0j,(0.38090246414563594-0.05150155072174792j),(-0.2081736981334018+0.08550775561936075j),0j,(-0.08874045507093677+0.07196352053076675j),0j,0j,0j,0j,(-0.1174535027612261+0.20528199851960072j),(0.19824913232033342-0.0951968038532743j),0j,(0.08759212304816863+0.09954875279400263j),0j,0j,0j,(-0.047704644355786724+0.12104213621055734j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.07138865073227044+0.0695229187740173j),0j,(0.051803529864698446-0.158319427523878j),(0.0854018812269364-0.08426420486113283j),0j,0j,(-0.015233276192138018+0.11229929144019038j),(-0.15548135570245847+0.009738708366493163j),0j,(0.12240879329603284-0.06473922559582868j),0j,0j,0j,0j,(0.04511595944561888-0.18251431329223788j),(0.14858137433209928+0.035715768629644484j),0j,(0.1380648482410384+0.030504746713480593j),0j,0j,0j,(0.05004963481879332-0.1834208507319548j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.07238663234256149+0.11620803701604975j),(0.09704725311010609+0.08563304213776696j),0j,(0.2388781702123789-0.09269266218377989j),0j,0j,0j,(-0.14575442940659744+0.21399138044709612j),0j,0j,0j,0j,0j,0j,0j,(0.10249992266673759-0.12238778498859697j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
20.0,0j,0j,0j,0j,0j,0j,0j,(0.1413496079027735+0.05658038188767577j),0j,0j,0j,(-0.021674263418313033+0.024481696484167082j),0j,(-0.015843351865254575+0.017277423288243138j),(0.14793689952095684+0.050332232400608266j),0j,0j,0j,0j,(-0.16672437992893607+0.08287868757399834j),0j,(0.3077863809806079+0.08576050937258689j),(-0.15375668160193962-0.13586992808971754j),0j,0j,(-0.17666426850075675+0.19287479037857738j),(0.14986238623685977+0.048917884589696384j),0j,(-0.014202884741656365+0.03474034119949743j),0j,0j,0j,0j,0j,0j,(0.04534654429515019-0.05885434888527654j),0j,(-0.2100814152879513+0.13005831834857423j),(-0.05252768912704539+0.175938023060801j),0j,0j,(-0.25397322647648723-0.05673885165331109j),(-0.20663524864488025+0.14687337172513998j),0j,(0.06038631029054087-0.04933068874103652j),0j,0j,0j,0j,(-0.019799287468232403+0.14466676614140317j),(0.054241211314284346-0.029508565334498995j),0j,(-0.09082857388427025+0.030011278544574912j),0j,0j,0j,(-0.01711579409800337+0.048083711140817026j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(-0.00011133255435494954+0.06951417110493485j),0j,(0.14378999061465345+0.007338633471666311j),(-0.15824203984319796-0.1273107379199925j),0j,0j,(-0.15911284788678143+0.19986883207361705j),(0.3120891655398354+0.049679989594374405j),0j,(-0.14905757257316998+0.09307276676350788j),0j,0j,0j,0j,(0.07851619303167995-0.04845669647677514j),(0.04536247443396704-0.20367681609976898j),0j,(0.04768977754092084-0.19692759394625256j),0j,0j,0j,(0.0764836700674842-0.05295482104296167j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.0265825318565661+0.05379007791236276j),(-0.10541203439076556+0.013581737044916857j),0j,(0.050917437482986105-0.029803709478403717j),0j,0j,0j,(-0.04690876478078676+0.12683508236506705j),0j,0j,0j,0j,0j,0j,0j,(-0.013132616697432107+0.024255152061960678j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
22.5,0j,0j,0j,0j,0j,0j,0j,(0.046792613967380436-0.11917460570462471j),0j,0j,0j,(-0.18492274912536344-0.054879485748089304j),0j,(-0.1759381915174235-0.059728556561186266j),(0.050185911935444735-0.12388430556018484j),0j,0j,0j,0j,(0.044670222384177435-0.01788821779974146j),0j,(0.15196371367047257+0.07031890899518942j),(-0.031767812321034115-0.003619266589776314j),0j,0j,(0.1321640309491683-0.08855371232458482j),(0.04032261136260659+0.16142429395771232j),0j,(0.10586710909369525-0.06278327586669022j),0j,0j,0j,0j,0j,0j,(-0.16436166888023473-0.07565327260222823j),0j,(-0.24291686972041598-0.17926754710231924j),(0.06180066001747487+0.003907983400572496j),0j,0j,(-0.31659124288659013+0.24886461004067675j),(-0.24102161180867848-0.17848332647887327j),0j,(-0.173734293479285-0.07813588674450372j),0j,0j,0j,0j,(0.21115027051263333-0.16516960692844632j),(0.0017176884483856986+0.029406126247494793j),0j,(0.10034665398616399-0.031329112464496864j),0j,0j,0j,(-0.06938463050392304-0.08684985315598814j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(0.10734511167460913-0.07196405053261322j),0j,(0.07306390294704769+0.13109327471800686j),(-0.017558126875684282-0.007206899884523981j),0j,0j,(0.12806611444395088-0.14684176517307915j),(0.15855091879567917+0.037379108218961885j),0j,(0.07050005184221629-0.01707760903048525j),0j,0j,0j,0j,(0.011915606243637009+0.1788195871656627j),(-0.03999864057001923-0.09608122850993286j),0j,(-0.03970514670539779-0.08943225185428187j),0j,0j,0j,(0.013227452249489693+0.15746969147010204j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.049734750894241765-0.09322592194609497j),(0.10159272428520161-0.01900602127584006j),0j,(-0.029959474573961857+0.02071949365233214j),0j,0j,0j,(0.22566947898581466-0.14235163594086317j),0j,0j,0j,0j,0j,0j,0j,(0.015581124267441617-0.02800680495850043j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
