,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.0,0j,0j,0j,(0.031932548998534725-0.1371037268816304j),0j,(-0.3560847816932944+0.014450542222604723j),(0.3260280577466276+0.1049968070485997j),0j,0j,(0.011065813722193927-0.16547953310949942j),(-0.35612165806622786+0.014406118594712306j),0j,(0.0319210636840087-0.13710576466323543j),0j,0j,0j,0j,(0.21958580651460619+0.17237656341759466j),(0.39797865951579836-0.2107395608901852j),0j,(0.39799395489213996-0.2107069870267803j),0j,0j,0j,(0.21966166697634512+0.17241916765337628j),0j,0j,0j,0j,0j,0j,0j
4.0,0j,0j,0j,(0.2991310439283422-0.20392715221644903j),0j,(-0.03554365021732339+0.21858586509568292j),(0.08839517789863832-0.4021919695245748j),0j,0j,(0.6290007903104773+0.0682073012076144j),(-0.035538833731869966+0.2186069462133631j),0j,(0.299157111668401-0.20395562784037036j),0j,0j,0j,0j,(-0.1401524922708442+0.0477451876823627j),(-0.030423357814733133-0.10991514262223669j),0j,(-0.03048145505767485-0.10989789072806481j),0j,0j,0j,(-0.14020875831905946+0.04780794644504328j),0j,0j,0j,0j,0j,0j,0j
6.0,0j,0j,0j,(-0.045735765018090103-0.01437009019881813j),0j,(0.10816474471620152-0.058827475530993587j),(-0.24929855110299995+0.2413837016397554j),0j,0j,(0.38610229932372975+0.6097642648973128j),(0.10817183228328164-0.05883510630856231j),0j,(-0.04577034899359102-0.014363237893434832j),0j,0j,0j,0j,(0.026081806199189733-0.11064475345669181j),(-0.3057381240983988+0.23561069980420668j),0j,(-0.305703518254095+0.2355728843022979j),0j,0j,0j,(0.02616761325213362-0.1105871480367091j),0j,0j,0j,0j,0j,0j,0j
8.0,0j,0j,0j,(-0.13817364677686012-0.04469084568729994j),0j,(0.21707901144745306-0.222363544445599j),(-0.41495051212911194-0.09234567426763268j),0j,0j,(-0.3548702889674494-0.1326934735197231j),(0.21714473163641262-0.2223872147486214j),0j,(-0.13817803538466067-0.04467999555484806j),0j,0j,0j,0j,(-0.1383877696856583+0.054053594778032024j),(-0.04156112748913958+0.4431453192678518j),0j,(-0.04157300892204155+0.44316255735472554j),0j,0j,0j,(-0.13846830530425977+0.054032510892361336j),0j,0j,0j,0j,0j,0j,0j
10.0,0j,0j,0j,(0.05168552414762287-0.33407034192408475j),0j,(-0.0737668034432564+0.1502061639552234j),(-0.12921936927752806+0.010879495332576594j),0j,0j,(0.567745397608203-0.48173604776737367j),(-0.07375575933606053+0.15019810409241752j),0j,(0.05169451830563587-0.33408227906783367j),0j,0j,0j,0j,(0.07275253914150921+0.04258284382902633j),(0.18689355042776112+0.17339350663057881j),0j,(0.18686549495561236+0.1734502940302994j),0j,0j,0j,(0.07275497885330792+0.042676665489847894j),0j,0j,0j,0j,0j,0j,0j
12.0,0j,0j,0j,(0.1705167681327619+0.04215444572770734j),0j,(-0.08354160189637319+0.19995026583068293j),(-0.045005181115197995-0.36838047586739675j),0j,0j,(-0.045913793342077555-0.13785251660378797j),(-0.08351542488329448+0.1999761188812798j),0j,(0.17051650052435685+0.042136274448185115j),0j,0j,0j,0j,(0.12431366679230313+0.12454763283721643j),(0.0711265301428791-0.5538838290462286j),0j,(0.07111411652350594-0.5538198500279793j),0j,0j,0j,(0.12421799825674609+0.12455537144134216j),0j,0j,0j,0j,0j,0j,0j
14.0,0j,0j,0j,(-0.21715297583298962+0.17603049165630086j),0j,(0.034429547121120084-0.12513284981468764j),(-0.41876558340409+0.2509477538654196j),0j,0j,(-0.5382602066354127+0.37322875096460095j),(0.03445936291965347-0.12517607467440042j),0j,(-0.21714908794216758+0.17604220637185078j),0j,0j,0j,0j,(-0.031885953616004284-0.08466750384281022j),(0.244671810056621-0.05724991576577386j),0j,(0.2446863219607887-0.057259744269056084j),0j,0j,0j,(-0.031952359565651955-0.08456849294996377j),0j,0j,0j,0j,0j,0j,0j
16.0,0j,0j,0j,(0.12399484336103644+0.14961951445392005j),0j,(0.03466384267726527-0.2572715701680064j),(-0.3313063929944159-0.12799674364442074j),0j,0j,(-0.05574956207829164+0.3781673567913159j),(0.034683917089871424-0.2572759672436137j),0j,(0.12398279925314884+0.14966598227690442j),0j,0j,0j,0j,(0.06329991834737644+0.05601012900552718j),(-0.48334060383013877+0.13399578114734112j),0j,(-0.48335938838775616+0.13393311576919698j),0j,0j,0j,(0.06321600795874983+0.05594799808349436j),0j,0j,0j,0j,0j,0j,0j
18.0,0j,0j,0j,(0.28510975542705125-0.18017526955041538j),0j,(0.10212323735153364+0.17995819278624875j),(-0.10564604433733778+0.03792364397897002j),0j,0j,(0.20021037549753762-0.5172010350303105j),(0.10215595412204914+0.1799651723368491j),0j,(0.2851420363618702-0.18020316237014009j),0j,0j,0j,0j,(0.1101388641709365+0.0033413572658995416j),(-0.34830873374053495-0.22337380600883447j),0j,(-0.3482731324811783-0.22329834012026253j),0j,0j,0j,(0.11012575566898539+0.0034299560650949065j),0j,0j,0j,0j,0j,0j,0j
20.0,0j,0j,0j,(0.06633926901130807+0.17673374262513397j),0j,(0.13517482838766642-0.2311101409659061j),(-0.08908345876294155+0.35367658488179554j),0j,0j,(0.07940798955601162+0.5531758433724066j),(0.1351387524100404-0.23117604930635582j),0j,(0.06637266229227659+0.1767265912127544j),0j,0j,0j,0j,(-0.24840621004667557+0.0728966980592258j),(-0.2992783580164332-0.1158057755438432j),0j,(-0.29928840156976905-0.11590795038976712j),0j,0j,0j,(-0.24833131803070602+0.07301249885474152j),0j,0j,0j,0j,0j,0j,0j
22.0,0j,0j,0j,(-0.035220370582133585+0.05164636842130943j),0j,(0.25803199671333+0.05133629118133985j),(-0.06546169632741525-0.43870930520562557j),0j,0j,(0.20965459629559544-0.26484642338028475j),(0.25804757891603786+0.05140876693682941j),0j,(-0.03530787298331306+0.05162947275712075j),0j,0j,0j,0j,(0.08520812233431516+0.17828590214649687j),(-0.24999857619502844-0.41223172051463175j),0j,(-0.24991066445681567-0.41223185374396515j),0j,0j,0j,(0.08523170163000607+0.1781779238241275j),0j,0j,0j,0j,0j,0j,0j
