,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.7999999999999998,0j,0j,0j,0j,0j,0j,0j,(0.1071972643606628-0.12157373485743199j),0j,0j,0j,(-0.05543502658674721+0.06435576386233977j),0j,(-0.04171402197437147-0.16913006442857167j),(0.17485208789837395+0.1839446281474043j),0j,0j,0j,0j,(-0.04496870640023848-0.1644676419801603j),0j,(0.054415379328898277+0.31908268018358354j),(-0.10320393905568984-0.15742696242698667j),0j,0j,(-0.08725141155945887-0.15879507137180907j),(0.003101518550134355+0.16307364053277545j),0j,(0.11127894103290414-0.11302042704962326j),0j,0j,0j,0j,0j,0j,(0.17403049965583814+0.17326883122987785j),0j,(-0.09366305127980208-0.16090825697093897j),(0.0006358433528309041+0.16838845680614958j),0j,0j,(0.015588986047258368+0.17030375341754844j),(0.5140038152748719+0.25669659809406253j),0j,(-0.054718279463067954+0.06631461974470544j),0j,0j,0j,0j,(0.13131707426056144-0.12252545850639204j),(-0.052313249406465284+0.06816852680493622j),0j,(-0.05505118715286033-0.15190808316987775j),0j,0j,0j,(0.17046090358025787+0.18173619770635888j),0j,0j,0j,0j,0j,0j,0j
3.6,0j,0j,0j,0j,0j,0j,0j,(-0.022096486349284617-0.1555616995209501j),0j,0j,0j,(-0.0177960543105723+0.23917660905415722j),0j,(-0.11204078408702622-0.07464031152112978j),(0.06729559415485761+0.007296808513209584j),0j,0j,0j,0j,(-0.11565823516591935-0.10195401306483666j),0j,(0.050443505198854294-0.47825745665019037j),(-0.05554262971132898-0.13189583574497482j),0j,0j,(-0.07970459400049704-0.026087701241661196j),(0.030954195867907878+0.1504578830601654j),0j,(-0.010616442798819556-0.2561403101244756j),0j,0j,0j,0j,0j,0j,(0.16126476295915168-0.013466870757087891j),0j,(-0.022217080865391085-0.11001202157902118j),(0.058632008800820756+0.15507572074301684j),0j,0j,(0.06962717235632279+0.13564950412791033j),(-0.40370926011375957-0.26145802202743046j),0j,(0.005282781749597532+0.197083018779033j),0j,0j,0j,0j,(-0.04522602337349124-0.2631031334695863j),(-0.026896312145644505+0.22515401372984298j),0j,(-0.1453368020527608-0.08874557191491976j),0j,0j,0j,(0.1079808050792481-0.011479292055090698j),0j,0j,0j,0j,0j,0j,0j
5.4,0j,0j,0j,0j,0j,0j,0j,(-0.0949787150352415+0.08550587626982742j),0j,0j,0j,(-0.08320639097450037+0.029530698297789166j),0j,(-0.016775450072635287+0.009551298378770867j),(-0.028275999645104685+0.017652138817364642j),0j,0j,0j,0j,(-0.016071064671361233+0.011940409969450134j),0j,(-0.1884183088681581+0.10865733433741856j),(-0.022301567231903328+0.0024633547848461218j),0j,0j,(0.011653216980549611-0.038467321335231654j),(0.06475701441488253-0.005577207256350966j),0j,(-0.05439761549490164+0.02045355413772506j),0j,0j,0j,0j,0j,0j,(0.056891539862691694+0.028801093021902684j),0j,(0.028259365360955233+0.04017959881163749j),(0.07639874148627974+0.061679897550431746j),0j,0j,(0.022517810828712903+0.022210490499431638j),(-0.4017055616753959-0.8420316993658031j),0j,(-0.06448305683920862+0.008773413194615037j),0j,0j,0j,0j,(-0.08219099792529283+0.05363611015169624j),(-0.030269896112186372-0.07316663160076405j),0j,(-0.029217920791945986+0.024489395123021514j),0j,0j,0j,(-0.07223154114007109+0.051437860351013394j),0j,0j,0j,0j,0j,0j,0j
7.2,0j,0j,0j,0j,0j,0j,0j,(0.25438373963284827+0.02355549442553323j),0j,0j,0j,(-0.08687935952485074-0.13928055019836752j),0j,(-0.024000325922861325+0.1248242108007928j),(0.09027960386990444-0.1869497311950308j),0j,0j,0j,0j,(-0.12948135350508883+0.10949247286362847j),0j,(0.5408254396216565-0.024394107753642j),(-0.031215956165417134+0.10609567592770568j),0j,0j,(0.014142006950834864+0.09138106367240888j),(-0.1570350201535654-0.1725710558153494j),0j,(0.20761451857916327+0.11455255209074237j),0j,0j,0j,0j,0j,0j,(0.001277976931858701-0.21101380668645112j),0j,(-0.02414757180420668+0.115269133670414j),(-0.09816346727637891-0.1782846780211475j),0j,0j,(-0.13795693584132054-0.16091793418316244j),(0.16370399741862454+0.07014048197944739j),0j,(-0.04722746239725961-0.14792291961785806j),0j,0j,0j,0j,(0.23754428726658136+0.13185149972176954j),(-0.04971871191491108-0.20940416567499023j),0j,(-0.07313568339815253+0.12077880744158152j),0j,0j,0j,(0.14411410855783896-0.18391168437573865j),0j,0j,0j,0j,0j,0j,0j
9.0,0j,0j,0j,0j,0j,0j,0j,(0.013774321036950117+0.08866805800102688j),0j,0j,0j,(0.037330525649401536-0.0667172694155816j),0j,(-0.2858032832230225+0.027252375961900544j),(0.1419263659218284-0.062125009649605586j),0j,0j,0j,0j,(-0.3090081128975395-0.07898145886196052j),0j,(0.13812648547935263-0.639896165981179j),(-0.15219543598136312-0.014023023160630295j),0j,0j,(-0.14868367420762232-0.009787644998943553j),(0.10649812230034965-0.06545300763617723j),0j,(-0.006509600643793443+0.12006744372977803j),0j,0j,0j,0j,0j,0j,(0.016342742958007882-0.08390632136901334j),0j,(-0.2582686772691771+0.054488168994397415j),(0.11815055006547999-0.10435153478575954j),0j,0j,(0.09415487230193915-0.02961542181446799j),(0.31000395560392685-0.10358297429110251j),0j,(0.025689589217663362+0.033991381853716654j),0j,0j,0j,0j,(-0.034105521843607614-0.010386887104141438j),(0.05761834574542296-0.007613343026024952j),0j,(-0.10036057874622867+0.003876773482712054j),0j,0j,0j,(0.19029980051808254-0.05089026140895049j),0j,0j,0j,0j,0j,0j,0j
10.8,0j,0j,0j,0j,0j,0j,0j,(-0.01760254741627388+0.08017669511747758j),0j,0j,0j,(-0.03731853503713025+0.05648865126859443j),0j,(-0.022558365019184026-0.010685558262788981j),(-0.18002701614390076-0.06166632932531993j),0j,0j,0j,0j,(-0.05443226631676603+0.014224219693494092j),0j,(0.2542219389976917-0.6440629257758401j),(0.11556396237825402+0.0948233507146722j),0j,0j,(0.03234519182556418+0.0314670786440655j),(0.09168745138897182+0.02031702624148687j),0j,(-0.05755271448563778+0.1040604273736889j),0j,0j,0j,0j,0j,0j,(-0.33223530961355063-0.03006729687931505j),0j,(-0.0359133721928529+0.07003677853777023j),(0.016298882057786047+0.040882045615377754j),0j,0j,(-0.05189905527028661-0.06194092426570682j),(-0.4713422062460402-0.1599431949277497j),0j,(-0.03178266640247293+0.1291365544730234j),0j,0j,0j,0j,(-0.049874738889893064+0.04777109428500136j),(0.025908220352648344+0.06966488715044035j),0j,(-0.11583023028830987+0.044050594000079865j),0j,0j,0j,(-0.05606200643306016-0.0414283768089933j),0j,0j,0j,0j,0j,0j,0j
12.6,0j,0j,0j,0j,0j,0j,0j,(-0.1691310208481402-0.13455287785513262j),0j,0j,0j,(-0.06185208143010061+0.24311479868622962j),0j,(-0.11862360776193766-0.1068531226067212j),(0.18737330961056342+0.013050411939551339j),0j,0j,0j,0j,(-0.1747586154926975-0.14038499889929804j),0j,(-0.09629659176178537-0.24330984119708984j),(-0.14535655112466472-0.053260298639143396j),0j,0j,(-0.18717498687892573+0.06602995858605784j),(-0.000557255300390142+0.238726572814249j),0j,(-0.18602991332340324-0.15973206194983494j),0j,0j,0j,0j,0j,0j,(0.1184435783257291-0.21465730273981165j),0j,(-0.14277895492636167-0.06343039002323075j),(-0.013849494978878144+0.21182123896774077j),0j,0j,(0.08456579456651514+0.23091921516995456j),(0.10783581051524961-0.39224988184870146j),0j,(0.05609341095461762+0.18075468862209176j),0j,0j,0j,0j,(-0.12334453618821398-0.18775945818114712j),(-0.034302004852224385+0.15711822523323354j),0j,(-0.17475876275797822+0.0227845376548675j),0j,0j,0j,(0.16116660063949506-0.0753364655721396j),0j,0j,0j,0j,0j,0j,0j
14.4,0j,0j,0j,0j,0j,0j,0j,(-0.04653696627019543-0.002260234337950752j),0j,0j,0j,(-0.10718268104573542+0.13920925319240574j),0j,(0.0923509688778707+0.10492144431776591j),(0.06255881395704521+0.0959536221511665j),0j,0j,0j,0j,(0.08199945259713028-0.07144343292834844j),0j,(-0.051536728967043643-0.09088457725110191j),(0.05086528729080756-0.027530712255882002j),0j,0j,(0.06880646633630291-0.028329577142417905j),(-0.10417319517797158+0.17477639899297076j),0j,(0.044569560162909035-0.02289143341097768j),0j,0j,0j,0j,0j,0j,(0.019848536467208796-0.04661808953436862j),0j,(0.00826068499910888-0.035286823968532825j),(-0.023973715450501625+0.24039591156229223j),0j,0j,(-0.14972326006342837+0.21444839641555866j),(-0.6074472892595588-0.43501929743338663j),0j,(-0.16384121311109706+0.21714213977875496j),0j,0j,0j,0j,(0.0878561153046022+0.02198148575581838j),(-0.16256230941047622+0.12678335065010116j),0j,(0.16267028571302206-0.015563657945872018j),0j,0j,0j,(0.017765865763591262+0.13478563340650335j),0j,0j,0j,0j,0j,0j,0j
16.2,0j,0j,0j,0j,0j,0j,0j,(-0.2418887821194253-0.017072990185637692j),0j,0j,0j,(-0.011106491009201653-0.0003260161541744676j),0j,(0.05390362243050461+0.09757539635424144j),(-0.05449542284811245+0.2262607965225024j),0j,0j,0j,0j,(0.13329133490044429+0.1478654570494583j),0j,(-0.5927574671940484-0.2535015070878838j),(0.03162098390989823+0.09245906549173494j),0j,0j,(0.0681485282797457-0.018780919427827253j),(0.060600173107041404+0.1643253902261928j),0j,(-0.17787415549323168-0.02787297166803577j),0j,0j,0j,0j,0j,0j,(0.038208909776624084+0.07136124332926322j),0j,(0.021977095155689515-0.03166908386245103j),(0.00794052327083087+0.024308685223391933j),0j,0j,(0.04524700825928892+0.1314605913164483j),(0.22464467437940414-0.34021939175560495j),0j,(-0.013499834210861992+0.09729672153201513j),0j,0j,0j,0j,(-0.22727737243307755-0.05219381943659991j),(0.034209380453389+0.1801012481282539j),0j,(0.03792799400427608+0.10381627827658851j),0j,0j,0j,(-0.06970205684240736+0.18068514463947694j),0j,0j,0j,0j,0j,0j,0j
