,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(-1.410816767423191e-17-4.148090637529596e-18j),0j,0j,(-0.3998909071709116-0.3808867635649021j),(-0+0j),(0.48527589438156427-0.3657435680273036j),(0.5706894306065957-0.00806587105211587j),0j
4.0,(-3.8428422090881565e-17+1.3168521237833689e-17j),0j,0j,(0.05613570480010399-0.8805291574877042j),(-0+0j),(-0.12897559072186632+0.08038500480443402j),(0.42413688895114876-0.13611992099603717j),0j
6.0,(7.890550753005598e-18-1.4418587087416207e-17j),0j,0j,(0.44410740937394677+0.3903590493618812j),(-0+0j),(0.6835834167599424+0.2841741817755875j),(-0.29806045462091174-0.11622019469354014j),0j
8.0,(-4.123434867911683e-18-5.691822603266844e-18j),0j,0j,(0.4183109580390981+0.6940214651592729j),(-0+0j),(0.028738314362755937+0.08331175032823364j),(0.4587830866865907-0.3536968888720201j),0j
10.0,(1.1549005145897923e-17+6.421538144094243e-18j),0j,0j,(-0.15743461991521734+0.3698548139198252j),(-0+0j),(0.7561539763668568-0.20738429644693684j),(0.39677164815669763-0.25732651224329806j),0j
12.0,(4.547153814708219e-18-2.778381646073099e-18j),0j,0j,(-0.1699325675411711-0.08316181022681833j),(-0+0j),(0.3842650888467488-0.050301534415966465j),(-0.25395168707102694-0.865751507981039j),0j
14.0,(1.0529171495561041e-17+3.0297919215151e-18j),0j,0j,(0.28001926334047167-0.20103285183646047j),(-0+0j),(0.5035037154718037+0.25963543936530475j),(-0.16788501768151415+0.729426536815402j),0j
16.0,(2.2041845241786623e-17+5.38121345152723e-18j),0j,0j,(0.6415331654786671+0.632127181868582j),0j,(-0.27645355320684595+0.061306689953285726j),(-0.16375893958790927+0.286091516695499j),0j
18.0,(3.523283428831323e-18+6.309079743345871e-18j),0j,0j,(0.4900362650662392+0.3590016148352789j),0j,(0.6693208492038887-0.26204933146075876j),(-0.2230155088838219+0.2541380155837334j),0j
20.0,(-3.1728394206569396e-18+9.387639464820903e-18j),0j,0j,(-0.18834692687824844+0.6702310174654553j),0j,(-0.33345504345948884+0.28910948984100643j),(0.5647656997186719+0.03973612536877069j),0j
