,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(-6.816226007412792e-18-8.382704336669226e-18j),0j,0j,(0.4152322695302772-0.10266031268748774j),0j,(-0.04393554795884169+0.6740278602721318j),(-0.4221128389599754+0.4273404789243826j),0j
4.0,(-3.042831022594106e-17-1.396446522003217e-17j),0j,0j,(0.7788636613082021-0.4537979856593453j),0j,(-0.04729591968232609+0.10904420115135174j),(0.26808748967208085+0.3184970036956257j),0j
6.0,(-2.8117094949997916e-17-4.6134749832191566e-17j),0j,0j,(0.6113181286588331-0.2648686403462438j),0j,(0.18236447877941836-0.6690864085523973j),(-0.045536074853341435+0.27042150356639755j),0j
8.0,(9.6784755607535e-18+2.623832845169056e-17j),0j,0j,(0.7182686786535126+0.14542833121932636j),0j,(0.38185143973375507+0.0253043632777587j),(-0.16939964220538106-0.5364640101042689j),0j
10.0,(-2.077998007793152e-17+1.5799000438756794e-17j),0j,0j,(-0.49553288301917575-0.09816597931247106j),0j,(0.2598963666425927+0.4713920077496331j),(0.24966329122364686+0.6266755915172157j),0j
12.0,(1.5482488561961327e-17+4.4779789588602245e-17j),0j,0j,(-0.2589840259919758-0.12070048785352268j),(-0+0j),(0.5983464183504276+0.1011916877228744j),(0.45913253679210275-0.5824927348514902j),0j
14.0,(1.0837646331755722e-17-1.0671190577997228e-17j),0j,0j,(0.2325230131715851-0.14866029837310796j),0j,(0.04947781312977319-0.20599862905669128j),(0.6723383433973462+0.6533841342316143j),0j
16.0,(4.492400274503669e-19+9.59439348625935e-18j),0j,0j,(-0.3582302487439323-0.682193980850863j),(-0+0j),(0.4139975449835301-0.3379334043374503j),(0.3330543960726814+0.09881435934562201j),0j
18.0,(4.601055716672812e-18-1.528668432646364e-17j),0j,0j,(0.1837202957774663+0.8530958332475482j),0j,(0.46334542912901044-0.052739750021359055j),(-0.1330619070935533+0.0574318132107678j),0j
20.0,(1.1377941987302818e-17+2.232588565749278e-17j),0j,0j,(0.5017890543518333+0.26247832337831j),(-0+0j),(0.6170400998711032+0.09613936316753413j),(-0.13216798099081842-0.5214050608603782j),0j
