,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(-7.97771382184652e-18+2.9520817237360284e-17j),0j,0j,(0.2974485080823095-0.38950558672807395j),(-0+0j),(0.6118357147195723+0.06030988654252545j),(0.04870462541640275+0.6160011511264354j),0j
4.0,(8.157040689129729e-18-1.4924088788233692e-18j),0j,0j,(-0.828281990106021-0.32752903322178895j),(-0+0j),(0.011661819377011051+0.4170928789793706j),(-0.18020256413784602-0.00991188248886199j),0j
6.0,(-7.493385256882058e-18-1.4721007656527897e-17j),0j,0j,(0.13442997949491262-0.0180431928730337j),(-0+0j),(0.8871895213575196-0.0749496111667346j),(-0.15502220106798023-0.4060153321727564j),0j
8.0,(2.2113716682673187e-18-7.443053174104192e-18j),0j,0j,(0.3798105035359157-0.19023199109512617j),0j,(0.032791471889259134+0.046147201832044994j),(-0.30580611883863124-0.8501961795862404j),0j
10.0,(1.873958135999891e-17-2.0440111700692457e-17j),0j,0j,(-0.3255853262526288+0.02451343302793238j),(-0+0j),(0.5796516159444105-0.05914055646746702j),(0.7265277872466251-0.16142199355239362j),0j
12.0,(5.922635142122332e-18-2.6954204635092023e-18j),0j,0j,(-0.07840535600155019+0.6972604004423045j),0j,(-0.009648894332896108-0.062339600614262206j),(-0.7090389308924913-0.031064475491266785j),0j
14.0,(2.0880208350757153e-18-2.843539182943589e-17j),0j,0j,(0.4838435833989593+0.0051879840818821465j),0j,(0.7982624925773039-0.17584984068354337j),(-0.2828080661193123+0.13319870809627554j),0j
16.0,(3.3474238799134256e-18-3.257008546729873e-17j),0j,0j,(-0.7577471935209873-0.3264957978692461j),(-0+0j),(-0.14853390296996588-0.08386828217278156j),(-0.08633443431148566+0.5316670396505715j),0j
18.0,(4.4129515177672223e-17+7.00782833224863e-18j),0j,0j,(0.16677193980224767+0.16728152295593518j),(-0+0j),(0.6225598092191417-0.3626344511618702j),(-0.20764884162865804-0.6180627067846514j),0j
20.0,(-4.005898421823018e-17+1.2076302371947692e-17j),0j,0j,(-0.06782677707916601-0.1479128311882945j),(-0+0j),(0.2766636476822692-0.5026812757727908j),(0.7354681119359592+0.3215225342722531j),0j
