,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(-6.606658035997797e-18-1.1085486020924032e-17j),0j,0j,(0.10623492136262416-0.5748363812361517j),(-0+0j),(0.5422092643479153+0.13842729156195152j),(0.3509531309128941+0.4711222503755841j),0j
4.0,(-1.2021468849901537e-17-7.986134929479241e-18j),0j,0j,(0.9083705952621457-0.13667817217884531j),(-0+0j),(-0.08004617945204105-0.04784005096446697j),(0.15787361633507638+0.3500882729499505j),0j
6.0,(-4.364737012041419e-18+7.165367124577545e-18j),0j,0j,(0.4706749152134143+0.3284554866746274j),(-0+0j),(0.7707091489000706-0.06033243802323768j),(-0.2651882171736608-0.05123213501635812j),0j
8.0,(9.71415320887406e-18-1.7871486662798685e-18j),0j,0j,(-0.6633313485703876-0.1277510997177252j),0j,(-0.20785309664841822-0.10036441799952131j),(-0.010365898980448096+0.7002055415921176j),0j
10.0,(-7.886114791686744e-18-7.040160145908691e-18j),0j,0j,(0.025500683882447805+0.3670948630271089j),(-0+0j),(0.2696195233199297-0.6014452371667479j),(0.24020233382557932-0.6102973495105053j),0j
12.0,(2.8326511813395265e-18-1.6815789800907958e-17j),0j,0j,(0.08331620556308374+0.29775921175744563j),0j,(-0.21284964153666996-0.29034733821045927j),(-0.7811096270821728+0.4057820418346727j),0j
14.0,(-1.4293694929779378e-17-1.7588777626137698e-17j),0j,0j,(0.34807234047772634+0.1776983639454508j),0j,(0.21431268140918405+0.34047559528861954j),(-0.6779937601875664+0.4751208709289238j),0j
16.0,(6.483721879807623e-18-3.616017373019444e-18j),0j,0j,(-0.7054905158800658+0.6505653693445308j),(-0+0j),(-0.13895471554259933-0.07944273277802806j),(-0.08930482581796154-0.21319690320394175j),0j
18.0,(5.612789633646976e-17-1.9000775309030935e-17j),0j,0j,(0.1821863884980202+0.7782658391026696j),0j,(0.5077050910625387+0.2148443918898001j),(-0.20891089864999648-0.116378983239238j),0j
20.0,(-3.4154480797368436e-17+2.93777268720985e-17j),0j,0j,(-0.565570040392378+0.42314580876304986j),0j,(-0.20901895962792474+0.3434104352488727j),(0.544743639501327+0.20667091870390603j),0j
