,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(-9.114623110643782e-17+8.820339708483954e-18j),0j,0j,(-0.30583404554985744-0.49136963185507765j),(-0+0j),(0.42412906254225713-0.016119477563506818j),(0.6918668485646033-0.07871712698392697j),0j
4.0,(-2.2317772558729723e-17+1.3854601416742628e-17j),0j,0j,(0.7245498476923506-0.23073663770933536j),(-0+0j),(-0.022075980776950013-0.06737787127559174j),(0.2527367375696473+0.5940413598776936j),0j
6.0,(5.478451465516357e-18-6.167820780726374e-18j),0j,0j,(-0.2825508518341664-0.5952252948000798j),0j,(-0.1931767626806015-0.49155594124595275j),(0.5283502444700545+0.08816676648503641j),0j
8.0,(-3.676659189291309e-17-3.8560610544736416e-18j),0j,0j,(0.28478878271261393+0.9180498499112875j),0j,(0.0664999118635152+0.19635662901044004j),(0.00934387921727367-0.1816985145946577j),0j
10.0,(4.761778976509049e-18-3.829860774687378e-18j),0j,0j,(0.38737659783469497+0.6881920895529637j),0j,(0.5000749188261946-0.3157795467333101j),(0.08493072462526573-0.1390185051252159j),0j
12.0,(1.9823276248248285e-17+8.858109294022225e-19j),0j,0j,(-0.11846280872977827+0.055404912168755795j),0j,(0.2399929599631734+0.6240956488091747j),(0.7189317517069531-0.1376299217051528j),0j
14.0,(-2.491916983664349e-17-1.2014220591745539e-18j),0j,0j,(-0.3969129085113432+0.08667849050306034j),0j,(0.16416486883416226-0.20436600055100532j),(0.08448250367772137-0.8712600774584874j),0j
16.0,(1.9773717321524252e-18+3.954481510489578e-17j),0j,0j,(-0.08357315582069746-0.7339045568693531j),0j,(0.10877218393726858-0.0807799120786455j),(0.6552393796740882+0.08187919249093523j),0j
18.0,(5.5118211179755905e-18+9.514339777881314e-18j),0j,0j,(0.7748689053443962-0.28060249675167503j),0j,(0.3446111067843142-0.11048787602255626j),(-0.1198677892113734+0.4189364460029651j),0j
20.0,(-2.847706970310967e-18+6.395723413032719e-18j),0j,0j,(0.8208159202881161-0.40110420097704935j),(-0+0j),(0.1366919336201911-0.32205442627399206j),(-0.19069822234212622+0.08128403752393713j),0j
