,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(4.148437446992424e-18+2.9497527420488774e-18j),0j,0j,(-0.6438353391740326-0.07622332696965667j),(-0+0j),(0.16332612634839813-0.5290015939011243j),(0.3518439639475767-0.3864631620117087j),0j
4.0,(-2.0229343996161758e-17+3.3658623949130336e-18j),0j,0j,(-0.05445221520742005-0.8659395164406738j),(-0+0j),(-0.28616675208736986-0.0038646805900991454j),(0.38547042060669223-0.12918947018429508j),0j
6.0,(1.5040066116255589e-18+9.79876866829181e-18j),0j,0j,(-0.20822906282414116+0.6373085914476719j),(-0+0j),(-0.3121319735634974+0.5865834903272753j),(0.13801427375816114-0.2998731679497171j),0j
8.0,(1.4804026403658506e-17+1.3334523608166855e-17j),0j,0j,(-0.2620773393808976+0.8781489453216j),(-0+0j),(0.20833355741540996+0.06292927821022941j),(0.3353603655237352+0.018448795298271148j),0j
10.0,(-3.202427132471975e-17-3.3600730157637986e-17j),0j,0j,(-0.21904922530628831-0.29196829507128713j),0j,(-0.5426274247896472+0.5156702515433609j),(0.11726903493883223+0.54098021641254j),0j
12.0,(5.165637045850233e-17+3.772525996889135e-17j),0j,0j,(-0.03651446561727724-0.00642196918006383j),(-0+0j),(0.022939689449789975-0.007551859257519471j),(0.6877582666921408-0.7245900625725277j),0j
14.0,(-5.957920369213316e-17-2.4130030461756555e-17j),0j,0j,(-0.3713549568625993-0.4261574023944088j),(-0+0j),(0.5015010703144055-0.26333116933729084j),(0.5996703815829728+0.005845475097827013j),0j
16.0,(2.2867816389617085e-17-2.4149004718739516e-18j),0j,0j,(-0.582935210867982-0.6156788686619353j),0j,(-0.008670170648995862+0.17248135112298513j),(0.17964600580926612-0.468004695346045j),0j
18.0,(-1.2767496842376357e-17-1.1102435319649981e-17j),0j,0j,(0.6174608021948784+0.028466629218074635j),0j,(0.6939214700709098-0.025863839492995033j),(-0.3265083551347267+0.1706697336446633j),0j
20.0,(1.0677770963992207e-17+4.305639982622836e-17j),0j,0j,(0.18772752192435632-0.8701934723219908j),(-0+0j),(-0.01689941047126222-0.012552078151837356j),(-0.44832759954245605-0.07798023460229933j),0j
