,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.52,0j,0j,0j,0j,0j,0j,0j,(-0.04400285318192366+0.15028111494088517j),0j,0j,0j,(-0.016035714848757945+0.12398527425270656j),0j,(-0.04648509424216761+0.05047607207233613j),(-0.13580797114945553-0.04962167991611087j),0j,0j,0j,0j,(-0.04647231837292753+0.05047894247885397j),0j,(0.4570921037189901-0.05756708647817166j),(-0.11553996717888014+0.17613059398439782j),0j,0j,(-0.11556385263768625+0.17617084448217687j),(0.03394303565421315+0.03905453496905401j),0j,(-0.043987729829043164+0.15028455505128743j),0j,0j,0j,0j,0j,0j,(-0.13579150346588317-0.04962013209997666j),0j,(-0.11553150100863083+0.17617388672298312j),(0.03397770787990442+0.03903939806975157j),0j,0j,(0.033957151316485544+0.03903972799257787j),(-0.1382331678971275-0.6558939120829508j),0j,(-0.01606643686123711+0.12397278577826032j),0j,0j,0j,0j,(-0.04398295975536338+0.15025728781944245j),(-0.016062919095214713+0.1239632740057437j),0j,(-0.04648486559298026+0.0504582203201219j),0j,0j,0j,(-0.13579882773479737-0.049600350533182534j),0j,0j,0j,0j,0j,0j,0j
5.04,0j,0j,0j,0j,0j,0j,0j,(-0.05486343541416229+0.09303508837278338j),0j,0j,0j,(0.034517498242796596-0.1518234989286492j),0j,(-0.049661713535955554+0.024716420085513086j),(-0.011215311137488044+0.025874806339767503j),0j,0j,0j,0j,(-0.04971961544600789+0.024683878425491964j),0j,(-0.06502457827692756+0.2733424997064288j),(-0.007973881707105663+0.01892828645331509j),0j,0j,(-0.007959586341801191+0.018872179179457736j),(0.07122499735962083-0.16509816066496458j),0j,(-0.05484562179654837+0.09307558259222778j),0j,0j,0j,0j,0j,0j,(-0.011207866800554182+0.025856048398505433j),0j,(-0.008040448417523877+0.0188598072626655j),(0.07125315606583933-0.1651130531348513j),0j,0j,(0.07129680895985278-0.16514332468976736j),(-0.8285918349336058-0.12980258310430265j),0j,(0.03450283242567588-0.15183535213316834j),0j,0j,0j,0j,(-0.054816775695588314+0.09307341924538626j),(0.034517054501730905-0.15182097832908004j),0j,(-0.049725188874329626+0.024702832333638684j),0j,0j,0j,(-0.01116559813990654+0.025857696106969207j),0j,0j,0j,0j,0j,0j,0j
7.56,0j,0j,0j,0j,0j,0j,0j,(0.10373576151226209+0.12549950338058533j),0j,0j,0j,(0.06818397513951521-0.10644002454495513j),0j,(-0.12316812776324369-0.07933836649644727j),(0.1320899988188405-0.14766595441458977j),0j,0j,0j,0j,(-0.12351271767175481-0.07812518956274388j),0j,(0.3375744555301072+0.5347582299771155j),(-0.1349846866589408-0.01104482446615057j),0j,0j,(-0.1345176350958737-0.011242726104128554j),(0.05025371049220307-0.26679189635989425j),0j,(0.10318547685081426+0.12488580747669871j),0j,0j,0j,0j,0j,0j,(0.13255797942490724-0.14986685675157144j),0j,(-0.13515372277430798-0.011792058183197417j),(0.04917415778111008-0.2666532265841641j),0j,0j,(0.048001106699277166-0.2673159829926632j),(-0.0713459239591263+0.09235890140378342j),0j,(0.06734797857382253-0.10786218256987402j),0j,0j,0j,0j,(0.10412849447755378+0.12518557462816843j),(0.06935421106933971-0.10686457712535521j),0j,(-0.12354161735407891-0.07796911996961829j),0j,0j,0j,(0.13313705847821936-0.1472279720950272j),0j,0j,0j,0j,0j,0j,0j
10.08,0j,0j,0j,0j,0j,0j,0j,(-0.04833291368566845+0.008361945302337003j),0j,0j,0j,(-0.10089451061912995-0.05262428326542679j),0j,(0.23140859814416587-0.08475134755933857j),(-0.1827435942545763-0.01780088128237948j),0j,0j,0j,0j,(0.23071989168817225-0.08425543832035236j),0j,(-0.3452745430590499-0.28416482223065537j),(0.2867302840489592-0.09923996849140893j),0j,0j,(0.2877492725157572-0.09879756215823142j),(-0.05795652213716486-0.044784482832600496j),0j,(-0.04713279699678618+0.007435859154241094j),0j,0j,0j,0j,0j,0j,(-0.18221224477959297-0.0193368022717993j),0j,(0.28947320062385284-0.09983843807695349j),(-0.057247536770334284-0.0442016921664345j),0j,0j,(-0.05653777498296302-0.04362888033315799j),(-0.36630209284130233+0.20898729902299448j),0j,(-0.10078632305629028-0.052093394699113275j),0j,0j,0j,0j,(-0.04746304873722426+0.007865678657908546j),(-0.10055157178989638-0.053926467834467036j),0j,(0.23079523508808072-0.08342837006474985j),0j,0j,0j,(-0.18271024597427696-0.017442001750825362j),0j,0j,0j,0j,0j,0j,0j
12.6,0j,0j,0j,0j,0j,0j,0j,(0.059196452903974975+0.22107358027017415j),0j,0j,0j,(0.09582872761583372-0.181440130114549j),0j,(0.1061227276434776+0.14170151270325662j),(-0.16595256721968482-0.00855482567734559j),0j,0j,0j,0j,(0.10514992380956113+0.1395664272500338j),0j,(-0.0832639891589553+0.2766288002598146j),(0.22873267936379157+0.07068419327857078j),0j,0j,(0.22948824975183102+0.0711576165373034j),(0.01860996940153119-0.19463997648603024j),0j,(0.05838940479143367+0.2207339722899545j),0j,0j,0j,0j,0j,0j,(-0.1670441523113352-0.009680851629280353j),0j,(0.22918645128451973+0.07238862129211573j),(0.020045365183867684-0.19424625942142806j),0j,0j,(0.01951717357607163-0.19410912111179424j),(-0.26694174513139973+0.3158649004211914j),0j,(0.0963566177422727-0.1822699093104398j),0j,0j,0j,0j,(0.05860521199762617+0.21998070822321075j),(0.09476897290458168-0.18075832478074466j),0j,(0.10589238455860422+0.14004390908396028j),0j,0j,0j,(-0.16520570020494973-0.008585636161832815j),0j,0j,0j,0j,0j,0j,0j
15.12,0j,0j,0j,0j,0j,0j,0j,(-0.08279608965538172-0.1832167151189074j),0j,0j,0j,(0.2344438786746771+0.12806834906758652j),0j,(-0.03266355126360181-0.1407597952500121j),(-0.03933047721416418-0.0373432882889861j),0j,0j,0j,0j,(-0.033799799259964104-0.14253065703557388j),0j,(-0.35257124274633644-0.03370500674607515j),(-0.016318824414019727-0.15985241525742533j),0j,0j,(-0.0165001687347721-0.16054102104795484j),(0.29960073949912713+0.0915267569416917j),0j,(-0.08424817723565181-0.18481979792520947j),0j,0j,0j,0j,0j,0j,(-0.04051968343638701-0.03686983715347065j),0j,(-0.01718812383732463-0.16007362808162653j),(0.29900171583821755+0.09161988344498846j),0j,0j,(0.2981682677821234+0.09253052797367049j),(-0.3051690649822253+0.035814287239668105j),0j,(0.23347628676251614+0.12849988472414567j),0j,0j,0j,0j,(-0.08421162702327842-0.18360677595477934j),(0.2358283850098965+0.12750210537734066j),0j,(-0.03303845017756021-0.14126856572057786j),0j,0j,0j,(-0.038988344803250995-0.037021955650756215j),0j,0j,0j,0j,0j,0j,0j
17.64,0j,0j,0j,0j,0j,0j,0j,(0.13607386472634334+0.035056647525547234j),0j,0j,0j,(-0.15211615081457702-0.11065765016662897j),0j,(-0.005972162246174685+0.21989688986576783j),(-0.08729531020465181-0.1943825397327437j),0j,0j,0j,0j,(-0.0069305365965180695+0.22283995356922204j),0j,(-0.32066364187921387-0.2619995821760432j),(0.08893786621385565+0.1497541692573121j),0j,0j,(0.08773072146300881+0.14885471908543632j),(-0.13076000229176643-0.0011611988636965472j),0j,(0.13493799182063576+0.03409219995602778j),0j,0j,0j,0j,0j,0j,(-0.0883521453168254-0.19527217304149203j),0j,(0.08715326576073244+0.14841553313714945j),(-0.1306953618294509-0.0005959525435344123j),0j,0j,(-0.13028585388814767-0.0007273192338129827j),(-0.11550048093927584-0.4745943104415983j),0j,(-0.15256717057294705-0.11188912953631922j),0j,0j,0j,0j,(0.13501821910470083+0.03450781783088832j),(-0.1525278794626678-0.11105122401226504j),0j,(-0.006577673094290698+0.22132007941122056j),0j,0j,0j,(-0.08677570880548638-0.19409608833118663j),0j,0j,0j,0j,0j,0j,0j
20.16,0j,0j,0j,0j,0j,0j,0j,(0.007150225580931235-0.048750712087319965j),0j,0j,0j,(0.08655325630181906-0.13134663367114469j),0j,(0.09779255580020188+0.19501578252776455j),(0.10049337482673995-0.1380769433938937j),0j,0j,0j,0j,(0.09711077429300281+0.19583344363962613j),0j,(-0.622434797188359+0.10060439784941798j),(0.16461646263874383+0.1281719006721367j),0j,0j,(0.16321088471443035+0.13017934074126497j),(0.07948189158544143-0.20966355356453928j),0j,(0.00758259818387677-0.046469235489008776j),0j,0j,0j,0j,0j,0j,(0.10181607592672372-0.1370036655037802j),0j,(0.16522367693446147+0.1290310760371639j),(0.07816843926348241-0.20603524892851818j),0j,0j,(0.07742654678698996-0.20847653486021953j),(-0.11625110350566206-0.011615142001576588j),0j,(0.08380182154625744-0.13064531450493644j),0j,0j,0j,0j,(0.008590182525875867-0.047147408092425534j),(0.0868009711657586-0.12701672293503766j),0j,(0.09524247949436157+0.1955382590774175j),0j,0j,0j,(0.10047422457444168-0.1375862264134691j),0j,0j,0j,0j,0j,0j,0j
22.68,0j,0j,0j,0j,0j,0j,0j,(0.14405230941214245-0.03512420406101862j),0j,0j,0j,(-0.17602709326357405+0.004066078276814537j),0j,(0.1039716109976816-0.10272721427886058j),(-0.11054905510057211+0.043798625193305886j),0j,0j,0j,0j,(0.10194788119089386-0.10343717632830976j),0j,(0.4503692065246233-0.0885953702279718j),(0.04710174567747776-0.012758464121546548j),0j,0j,(0.04781844909149074-0.008981658745259882j),(-0.02893397101262643+0.0733188000443932j),0j,(0.14242264974401836-0.03440848358719892j),0j,0j,0j,0j,0j,0j,(-0.11215849031522758+0.04545874888058955j),0j,(0.050416352311604185-0.012607136678533434j),(-0.02749579975782863+0.07416942003506706j),0j,0j,(-0.028019361818533563+0.07595380398116014j),(0.11714860142938417-0.6965652780712291j),0j,(-0.17603247063097005+0.0050258029321483865j),0j,0j,0j,0j,(0.14196006698295582-0.0333924811616165j),(-0.1740775825412231+0.005929811227086879j),0j,(0.10219329139705917-0.10467532074501258j),0j,0j,0j,(-0.11144065606805+0.04223800678051145j),0j,0j,0j,0j,0j,0j,0j
