,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(2.5291728573906226e-17-1.5519986510135607e-17j),0j,0j,(0.44833499587958286-0.34138121914340447j),(-0+0j),(0.2802594072543003+0.4923393020703082j),(-0.06560247180927548+0.5976684588136808j),0j
4.0,(-4.2280480594023114e-17-1.5834662484363503e-17j),0j,0j,(-0.005958482227801876-0.8771608245017961j),(-0+0j),(-0.11295447992623395+0.07771219032169725j),(0.4353184903206233-0.1491753913145238j),0j
6.0,(-2.1154529952213232e-17+1.2353734565934116e-17j),0j,0j,(0.5511707834005896+0.3067196881660642j),0j,(0.6922574162055724+0.11913529688488472j),(-0.3290599502821158-0.020971415826313816j),0j
8.0,(1.1102518829473903e-17-4.650353852672682e-18j),0j,0j,(0.5384918279083016+0.618851059060394j),0j,(0.10382404675749946+0.07650934228851576j),(0.32733212657371163-0.45085528137753056j),0j
10.0,(-2.5201328379881707e-17-1.789545920996264e-17j),0j,0j,(0.2887899797932926-0.3130679193550407j),0j,(-0.7609949995199172-0.29719320927068194j),(-0.37920533601033235+0.08576097977553601j),0j
12.0,(-4.91462309798113e-17-2.6552603168383973e-17j),0j,0j,(0.10259919062721815-0.00525084140224448j),(-0+0j),(0.007862821396808578+0.3561197743311192j),(0.8867416828913028-0.27613747471204125j),0j
14.0,(-2.1401114576031714e-17-1.5994298564411855e-17j),0j,0j,(0.10046078784512465-0.2759271374723854j),0j,(0.5250262893199122+0.2240940760133926j),(0.077742795630172+0.7627956104082567j),0j
16.0,(-6.1799382986681495e-18-9.95589305354369e-18j),0j,0j,(0.5335631965968588-0.6837205906620554j),(-0+0j),(0.07448217391134232+0.29886063394813905j),(0.3629458261532441+0.14574472088404505j),0j
18.0,(7.345939398286593e-17+8.384666172317216e-18j),0j,0j,(-0.02894545714560187-0.6287190258880397j),0j,(-0.5610317575803396-0.3604561555378028j),(0.39891295997433285+0.007597649818576385j),0j
20.0,(1.0960920229877528e-17-2.8672521618457213e-18j),0j,0j,(0.18764980232093842+0.7312100384681912j),0j,(-0.12947884003153645+0.4272675962723649j),(0.39823783879443675-0.2687074361537451j),0j
