,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,(-1.3837973085567452e-17+1.383797308556745e-17j),(-4.220174907420011e-17+2.896526719901124e-17j),(-5.999388338548861e-18-1.7962692329571075e-17j),(-0.26298545517077704+0.2618161338504664j),(1.3972563405076115e-17+8.123462214102923e-18j),(-0.014978694918491742+0.5800815361908718j),(0.16900908361102757-0.003372878078775232j),(-8.17102874259867e-34-8.171028742598668e-34j),(-1.5934880761869062e-17+1.5988450841510903e-17j),(0.1708574835820903+0.013286761038371689j),(-0.5820064261862425+0.05879812183756211j),(-1.3448151472193642e-33+1.3448151472193643e-33j),(0.34631959200805407+0.07417404577335907j),(-1.5524225151181903e-33-1.2088305587084855e-33j),(-3.219479649734612e-33-7.74911867621751e-34j),(9.813077866773595e-18+9.813077866773593e-18j)
6.0,(6.378500613402836e-17-2.4532694666933983e-17j),(3.388456356843614e-17+2.8359432478663868e-18j),(2.00809285717113e-17-1.3777006600345676e-17j),(0.13104049465145465-0.40189712720767845j),(-1.8258877237469012e-17-9.409632163058895e-18j),(0.11448452566875085+0.12873894427564803j),(-0.3581880930359206-0.06664894688342196j),0j,(-1.4360454549532796e-17-3.704042657518624e-17j),(-0.35162746689866087-0.053641176385018474j),(0.2567330300563706-0.6386103055141619j),(-2.7236762475328894e-33+1.634205748519734e-33j),(-0.2086871887500632+0.12280597843253718j),(4.662964674240739e-34+6.781904568087642e-35j),(-1.0683332569884478e-33+2.3537966386491084e-34j),(1.2266347333466992e-17-1.2266347333466993e-17j)
9.0,(-9.8130778667736e-18+4.906538933386797e-17j),(1.2644638424847917e-17+3.107906464898859e-17j),(2.5251671860192263e-17+1.1534377728470874e-17j),(0.026240766984325883-0.12785108123475392j),(-1.5820365908021602e-17-2.1252469265937366e-17j),(-0.32030707597929603+0.5105050314687776j),(0.3597548998142018-0.23940572124978143j),(-1.6342057485197336e-33+2.7236762475328898e-33j),(3.370027136028243e-17+3.905867108036238e-18j),(0.3693232179625098-0.24750033290545675j),(0.4493489758699908-0.12729075928354988j),(-1.0894704990131558e-33+1.089470499013156e-33j),(0.05151875996594601-0.12077727241936617j),(2.0184918525433295e-33+2.6464261013028902e-33j),(3.243583402018438e-33+3.30059572285539e-33j),(3.0814879110195774e-33+2.9439233600320786e-17j)
12.0,(-4.450384141923493e-17-4.412051806506409e-17j),(2.7232295289033847e-17+1.1688038069050401e-17j),(6.084811520898503e-18-2.833339389664872e-19j),(0.204900868031053-0.29407960374284137j),(-3.409490820147883e-17+3.2881709295800656e-17j),(-0.3754180399782037+0.2757009587420317j),(0.28107839994432693+0.2457166130022694j),(-5.138811045149945e-34-1.6703795736822796e-34j),(1.9953860014190545e-17+1.3865785434997412e-17j),(0.2585647758600555+0.22935428260368937j),(0.09485684096707657-0.32164102907375086j),(1.3001298337832777e-33+6.873026780883775e-34j),(0.4289984667180985+0.31504252118894255j),(1.96640466092275e-35-2.7058224050280006e-36j),(2.6252501294406604e-34+1.9078503012716172e-33j),(4.8567068973445866e-17-9.698080860522342e-18j)
15.0,(2.606598808361736e-17-1.1346371283456964e-17j),(1.7852484653215343e-17-1.3065110023903263e-18j),(-1.386303267888143e-17-7.017672146178447e-18j),(0.061811340467431516-0.06795694252626104j),(-1.6860952945761619e-18+4.006279947761093e-17j),(0.32127089596519154-0.10630712214361482j),(0.24798378170223878+0.16405653590909147j),(1.0894704990131558e-33-1.089470499013156e-33j),(3.6566588178293846e-17+1.557445631887062e-17j),(0.2820816148012804+0.1468589154913029j),(-0.44349507613729044-0.3465350571025227j),(-5.44735249506578e-34-5.447352495065779e-34j),(0.5255829044625592+0.3073843198456672j),(-6.465222149380632e-34-8.051190127436303e-34j),(-2.6477135676979757e-33+2.010841618155955e-33j),(2.943923360032078e-17-4.906538933386797e-17j)
18.0,(-2.943923360032078e-17-2.9439233600320786e-17j),(4.110053619527574e-18+5.496096751074485e-18j),(1.229681365416725e-17-4.2343876950610855e-18j),(0.10750617058351766-0.12174084757946903j),(1.9960450387458424e-17-5.3964632791619996e-17j),(-0.6407351325228745-0.5709372213017895j),(0.2293733945706864-0.20944605263971j),(-1.0894704990131558e-33+1.089470499013156e-33j),(9.170145389894686e-18+1.1767133581646066e-17j),(0.25618300987527703-0.15324138665211023j),(0.021453160958126077+0.17527061699689866j),(5.44735249506578e-34+5.447352495065779e-34j),(0.07935919345627993-0.11849219164794458j),(1.1688329519884582e-33+6.919494782945617e-34j),(-2.004543235367805e-34-2.91120764351292e-33j),0j
21.0,0j,(3.1057340348251605e-17+3.934821005355896e-17j),(-7.302478905357782e-18+1.2166225026168532e-17j),(0.4298575237874117+0.21911279405642572j),(-3.498772327558415e-18-2.032690811139844e-17j),(0.43420003759515957-0.456116049404609j),(-0.1415148805756215+0.1989055996182137j),(-3.268411497039467e-33+1.0894704990131561e-33j),(6.818461102365178e-18+2.3733945946769005e-17j),(-0.0823143547152452+0.17277295905090356j),(0.3784525283481086+0.3264493417613577j),(-1.0894704990131556e-33+3.268411497039468e-33j),(-0.07179651149458358-0.1395503285002895j),(-1.08623910630542e-33-4.077073640509287e-34j),(-3.562438171556972e-34+9.491267504447095e-34j),(-4.9065389333868e-18-3.434577253370758e-17j)
24.0,(1.9626155733547193e-17-5.887846720064156e-17j),(8.67882847249282e-18+1.9173090044524558e-17j),(-2.0281699776038835e-18-4.308763007457146e-17j),(-0.041339354406520784-0.5202498249577306j),(-8.839199861836752e-18-7.674219188227044e-18j),(0.004427142847820531-0.03752294338676832j),(-0.05237213855581736+0.12759082278722433j),(1.3448151472193643e-33+1.3448151472193642e-33j),(2.652719427889656e-17-2.459868983475155e-17j),(0.007430133635406316+0.13906086586816474j),(-0.404625284623784-0.7105166745947262j),(4.4259739022409455e-34-4.425973902240946e-34j),(0.11869182975695355+0.07172795822513782j),(-1.4186467149931577e-33+1.9813692076158534e-33j),(-2.178276383235817e-33+2.1095712014986872e-33j),(-4.477216776715452e-17+4.354553303380783e-17j)
27.0,(3.150917971284334e-17-4.699544322134541e-17j),(9.760747342195929e-18-2.173509038779501e-17j),(8.67298770861772e-19+1.8308814277723953e-17j),(-0.03580421034702921-0.03497497038507176j),(-3.273162952557395e-17-3.615747413684022e-18j),(-0.6396986147832036-0.14014610236711564j),(0.09901123033614564+0.15389632168564146j),0j,(-3.827958889964739e-17+1.720430467388091e-17j),(0.1404194355442173+0.21610203023686436j),(-0.06678438486044752+0.6747649249345231j),(5.447352495065782e-34+3.8131467465460455e-33j),(-0.07709079617804993-0.05498823922622571j),(-1.2118336437891809e-33+2.397894821835485e-33j),(6.893572504468686e-34-1.4661179311832844e-34j),(-2.3306059933587283e-17+6.1331736667335e-18j)
