,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,(-3.700501434143901e-18+5.719741689797071e-18j),0j,-0j,(0.21689749667275668+0.22796471910203892j),(-0+0j),(-0.4810083784256312-0.00599206844493122j),(-0.12068140126470017-0.00599420453820302j),(-0+0j),0j,(0.2765305247171428+0.16819905655585152j),(-0.24074559571966936+0.013814242151688999j),0j,(-0.08402165469963954+0.009258987380616111j),0j,0j,(1.661150466441414e-17-4.666733494011698e-18j),0j,(-0.38383153315240537+0.04588861800563804j),(0.21653077942964882+0.2384119211544661j),0j,(-0.3582252707427474-0.21191522786078115j),0j,0j,(-3.733374471346287e-17+2.3643886494700576e-18j),(0.18575794671408785+0.15501713984787244j),0j,-0j,(-2.0380640719073974e-17-8.16799750151056e-20j),(-0+0j),(1.7738932786117312e-17-3.4348802987450773e-17j),(2.6862020013332107e-17-2.023832515793309e-17j),(-0+0j)
5.0,(-7.096744267290616e-18-2.1750827193959086e-17j),0j,-0j,(-0.43759301502623493+0.1408695629578607j),(-0+0j),(-0.10167909565700031+0.091289859113919j),(0.1780498051202219+0.09198749869977378j),(-0+0j),0j,(-0.32241092933370674-0.07571261758201756j),(0.1604791110029229-0.7155880851441416j),0j,(0.046260696812917786+0.12450993780372442j),0j,0j,(-4.982116130507179e-18+1.5098667216781778e-17j),0j,(-0.015148190126186484-0.03502005100212536j),(-0.09817678070570965-0.05050793460151919j),0j,(-0.17448748186974464-0.054610552538853184j),0j,0j,(2.499004462199897e-17+1.0157326323451186e-17j),(-0.025328069801321504-0.1302807127506428j),0j,-0j,(1.434985813654881e-17+2.5915772999432804e-17j),(-0+0j),(-3.333078578984876e-19-6.566891382930113e-18j),(-2.3316090275137027e-17+5.609202165902453e-18j),(-0+0j)
7.5,(-3.844574625304647e-17+3.474182500193538e-17j),0j,0j,(0.6142217294916438-0.14465088671238616j),(-0+0j),(-0.15627968524186533+0.17535648413945404j),(0.050346926798256905-0.2468363810852189j),0j,0j,(0.1420524345945683-0.28179894938750255j),(-0.024910874995213182+0.042455124565895994j),0j,(-0.0008449953472919325+0.145933529245396j),(-0+0j),0j,(-6.215977757492325e-19-1.7278301685709305e-17j),0j,(7.064965219238939e-07+0.4993706561810388j),(0.23007454805607264+0.027971870747328875j),0j,(-0.10786007644550782+0.08985659817375026j),(-0+0j),0j,(-1.1276241432001844e-17-1.5197376811345647e-18j),(0.18162891834995168+0.06385025669802175j),0j,0j,(-1.0082215252307162e-17+2.243432134980158e-17j),(-0+0j),(-1.706698708666234e-17+9.30694135594772e-18j),(-7.35017915824081e-19+2.995791287280306e-17j),0j
10.0,(6.918856806202762e-18-3.3498704823359105e-17j),0j,0j,(-0.12786768063716097-0.25061932839282386j),(-0+0j),(0.11351635035714236-0.4683236902925415j),(-0.44828588928350255-0.2797046853543123j),0j,0j,(-0.12935563451880344-0.12210196265028808j),(-0.07241296746075832+0.38292935531767447j),0j,(0.07249048870340657-0.3528550381021894j),(-0+0j),0j,(4.5357765817426114e-18-6.6844890142517e-18j),0j,(0.001720543640850683+0.1869279025053336j),(0.19553988381556478+0.00011489882831233755j),0j,(0.09008397629235113+0.04139242876838591j),(-0+0j),0j,(1.1056029274559491e-17+3.6062439463178236e-17j),(0.047743476725234754-0.10421715320164537j),0j,0j,(-1.747602927065022e-17-8.956805789509183e-18j),(-0+0j),(-2.2765495036743667e-17+3.635573097425479e-17j),(4.801651766191015e-17+3.441723566929951e-17j),0j
12.5,(-3.1424089512628157e-18-2.9355132110531636e-17j),0j,0j,(0.04412765806153696-0.1599802207821575j),0j,(-0.2960766784367695-0.33155701046952946j),(0.12867125140258331-0.38511813806448447j),0j,0j,(0.07147998645996113-0.12611371802011506j),(-0.030595987968055967+0.11930203237757568j),0j,(0.1006965352449261+0.03848523505172402j),0j,0j,(-2.171396708489959e-19+2.425249009210176e-17j),0j,(-0.3518221160607182+0.25560770642507036j),(-0.012904626509643496-0.42553919863903256j),0j,(-0.3590643800052583+0.16042051574556554j),0j,0j,(-3.505386985422278e-17+1.2788437621169494e-17j),(0.19274003557684743-0.004046170734212609j),0j,0j,(1.4887667171257897e-17-9.002979339476156e-19j),0j,(1.37327652798427e-17-2.7775237844704486e-18j),(-1.288667216945991e-17+6.23869496453005e-17j),0j
15.0,(-4.2893283813726285e-17+9.586906368103748e-18j),0j,0j,(0.1462108558100365+0.4570678990028132j),0j,(0.007562478036528972-0.13984166276828686j),(-0.09700078452531238+0.3612055451664412j),0j,0j,(0.2277302497346239+0.013462758751204146j),(0.26191823881637166-0.3763483456465035j),0j,(0.03392950285068738-0.021449322014959277j),0j,0j,(3.1738871077520802e-18+1.2779604843083703e-18j),0j,(0.3555795905429463-0.17428072340537237j),(0.13303596602135176-0.3381890309531054j),0j,(-0.17386893104768678+0.0643370539717959j),0j,0j,(-3.4556708736299614e-18-1.5818962638776247e-17j),(0.06096123710641163-0.13914044909719342j),0j,0j,(1.3173273028981397e-17+1.6232072714395018e-17j),0j,(-7.761458650989482e-18-1.2054432347417282e-17j),(8.417643687823716e-18-8.70654805129376e-18j),0j
17.5,(5.0261475475084924e-17+3.841022605394828e-17j),0j,0j,(0.22855963546626468+0.20688115015649972j),0j,(0.0966813968184643+0.034073397212353154j),(-0.11447095433830398-0.20081867326417174j),(-0+0j),0j,(0.15994028068439464-0.012625644636656455j),(-0.258457615560408-0.1910631426908103j),0j,(-0.41688388779796237-0.010194145360632262j),0j,(-0+0j),(-5.2098416476502424e-18+1.3773837899192499e-18j),0j,(0.10299089525557092-0.555557116702476j),(-0.15250691475749178-0.011314308060946743j),0j,(0.20937247323820923-0.2824019217966967j),0j,(-0+0j),(1.1603283018645288e-17-1.1651624202985619e-17j),(-0.24741960676838065+0.10313800352645061j),0j,0j,(7.19801091539534e-18+1.1505944418669942e-17j),0j,(2.016267757242429e-18+4.882785709973327e-18j),(-9.0542077251354e-18+3.1751908527364778e-18j),(-0+0j)
20.0,(-6.8570359075923166e-18+2.9275122001851275e-17j),0j,0j,(0.19416508509126534+0.2445215033020016j),0j,(-0.04154973096364738+0.019372393778208798j),(-0.0994617474190766-0.04925791266496095j),(-0+0j),0j,(-0.19001160745475468-0.128871953114105j),(-0.006924627299228353-0.36226961230096744j),0j,(-0.3936073375317811+0.1956833603314767j),0j,(-0+0j),(-1.0710484438647835e-17+1.598241057324588e-19j),0j,(0.12484100216191046+0.04746298051954624j),(0.06663310403210793+0.14116864731007112j),0j,(-0.5843497614168189-0.2277731277560696j),0j,(-0+0j),(-5.62064756288639e-18+1.8504597174460348e-17j),(-0.05870280675116439+0.26809018449281147j),0j,0j,(6.4223339182634196e-18-1.0008792840382686e-17j),0j,(2.836099109400591e-18+1.9855689883522854e-17j),(-1.0725528059120583e-17-4.707293627880219e-18j),(-0+0j)
22.5,(-1.9323036725155924e-17+1.4939928956898555e-17j),0j,0j,(-0.09478463651012814-0.16279363091326385j),0j,(-0.19253271645652215+0.38902172463114904j),(0.035504662380025004-0.1802149725486732j),0j,0j,(-0.23166793954600615-0.15541354047301498j),(0.40998949751199076-0.04525184007213087j),0j,(0.24191061577835676+0.10320092769630335j),0j,0j,(-1.0104633118481871e-17+4.062107048531991e-17j),0j,(0.05050248024768379+0.08856282443695263j),(-0.07599680130857754-0.20710121674054624j),0j,(-0.12357345936893702-0.42459856735587787j),0j,0j,(4.550384595637765e-17-2.2691290990279026e-17j),(-0.09147094007568327-0.4028077261004973j),0j,0j,(-2.4699155991256397e-17+1.0047265481548329e-18j),0j,(1.2194461714285755e-17+5.342026208517065e-18j),(8.137653114174585e-18-2.723421283022852e-18j),0j
