,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(9.233106162895094e-18+6.901141254923588e-18j),0j,0j,(-0.555247681208253-0.10927966851220106j),(-0+0j),(0.18488621063282557-0.5358339515608772j),(0.4871587970504031-0.3480421504525214j),0j
4.0,(9.950178862354328e-18-1.7735496243171488e-17j),0j,-0j,(0.11067855077408961+0.8657306827549878j),(-0+0j),(0.1038671418470686-0.09242759248975205j),(-0.4204709647194066+0.20526462957394948j),(-0+0j)
6.0,(1.4790037812541044e-17+1.9735886837397967e-18j),0j,0j,(0.6247525910209604-0.07084656362184649j),(-0+0j),(0.6378878965133793-0.2955845317539717j),(-0.280554699212193+0.17799674506869423j),0j
8.0,(8.871241250551893e-18-9.258404719333224e-19j),0j,0j,(0.6208987469666835+0.5481017269500028j),0j,(0.10722083637769794+0.06292554907623829j),(0.26311830442888345-0.4789384807300593j),0j
10.0,(-1.4967062020157215e-17+4.640424767728766e-19j),0j,0j,(-0.16777435368276072+0.3925984240669616j),(-0+0j),(0.7492119413506038-0.06915932410895714j),(0.4175296605222193-0.278003023503561j),0j
12.0,(-8.203508701499192e-18+1.2641558928167812e-17j),0j,0j,(-0.11347545323617268-0.03900736490343714j),0j,(0.34219123679998953-0.058896179514361435j),(-0.22641752184212155-0.9020938145752433j),0j
14.0,(7.006383665195491e-18-2.4357192801790168e-17j),0j,0j,(0.22201804456603502-0.26450396944421534j),0j,(0.46768534904958514+0.1866796453534459j),(0.01039533476316773+0.7918703803941458j),0j
16.0,(8.903715987044895e-18-2.326735586835692e-17j),0j,0j,(-0.8243728908884785+0.377501844239468j),0j,(-0.0013336310373415483-0.25717452622608467j),(-0.1590924828184418-0.29402510226727463j),0j
18.0,(-2.5734028316503038e-17+1.680022208275499e-17j),0j,0j,(-0.6295727101434818-0.3181536453884872j),0j,(-0.5343947596266145+0.3436585707322297j),(0.18962177480067882-0.2505615108829411j),0j
20.0,(6.7689218285872386e-18-6.059368855968861e-18j),0j,0j,(0.20841280897474965+0.6671328918502151j),0j,(0.011243603350251402+0.4717704377191879j),(0.40253969078919793-0.35604190551690496j),0j
