,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,(1.9626155733547187e-17+1.962615573354719e-17j),(-9.827640851179059e-18-3.840892832442332e-17j),(8.096509498537443e-18+1.0725189622952405e-17j),(-0.17623703690845796-0.3524611033947523j),(-2.598279913207475e-17-7.700145013401977e-18j),(-0.4763674894979811-0.3028794739698927j),(-0.0480468037405932+0.15759565637294776j),(-5.44735249506578e-34-5.447352495065779e-34j),(2.4472017209317862e-17-2.5762575340165084e-17j),(-0.08057181713639307+0.0991001440021099j),(0.27181144668370594-0.5334069207875338j),(-1.1235164521073168e-33+1.123516452107317e-33j),(-0.23414072179856285+0.2633740511149602j),(1.6633115380324462e-33+1.8500917256845664e-33j),(7.476207339765197e-34+6.109782168374721e-34j),(-4.906538933386797e-18+4.9065389333867974e-18j)
6.0,(-7.703719777548943e-34+9.813077866773593e-18j),(-2.2788820472420742e-17+2.887913885922501e-17j),(-2.2670378198796385e-17+2.5819807492308206e-17j),(0.02576696115515889+0.47498182645036j),(1.4826771527342597e-17+1.2676756828208238e-18j),(-0.1288044599181734-0.09143500640308548j),(0.3679876967111335-0.07006801877630559j),(5.447352495065781e-34+1.9065733732730228e-33j),(3.1085457312594624e-17+5.264042018233814e-18j),(0.36148067927838334-0.07360456191487932j),(-0.04433520058945706+0.6473618987273122j),(-1.3618381237664449e-33-2.4513086227796003e-33j),(0.13022331203613205-0.18538027084595993j),(1.4518233115710218e-33-2.482212654499879e-34j),(-2.3335800952217435e-34+2.221465098887653e-33j),(-9.199760500100243e-18+9.199760500100245e-18j)
9.0,(5.887846720064156e-17+4.661211986717457e-17j),(2.734510290941048e-17+7.321948531369197e-18j),(-2.6681636527700518e-17+6.2601620292154036e-18j),(0.0006232013117757028+0.0593515307992596j),(-2.5186996639104937e-17-1.3612207534682505e-17j),(0.20361886089606673-0.3496566032684892j),(-0.34587525718409506+0.41113643604477706j),(-2.178940998026312e-33-2.1789409980263115e-33j),(-3.611331794901203e-17+8.549022742514815e-18j),(-0.1352175276136675+0.19921010668976066j),(-0.5417966658465148+0.11464211204555999j),0j,(0.21679326359136492+0.3639224609964528j),(-1.0409496726412009e-33+2.9628349656414352e-33j),(-1.7441227601098788e-33+1.3902852749767158e-33j),(-5.642519773394817e-17+2.453269466693406e-18j)
12.0,(7.513137741748535e-18-4.8912059992199634e-17j),(2.1744169538601633e-17+1.8333749064668437e-17j),(-7.699171124681951e-18-3.539169835553596e-17j),(-0.16962831121220034-0.24409350215889283j),(-3.0334670072809242e-18-1.0177923349543652e-17j),(0.11228544925986242+0.5765653067024198j),(0.022424663131554515-0.173064515323744j),(3.5748250748869187e-34+1.038401569371914e-33j),(3.7642986696017357e-17-9.941234897063453e-18j),(0.07868171539232682-0.3777205569996207j),(-0.11342448652575413-0.2543695542656977j),(1.6342057485197336e-33-5.4473524950657805e-34j),(0.20220130479610102-0.5184947905143928j),(9.2277436002176e-34-1.3974979398531521e-33j),(9.748203142003945e-34+1.0683466022421126e-33j),(9.813077866773592e-18-2.9439233600320786e-17j)
15.0,(4.415885040048117e-17+4.9065389333868e-18j),(2.833884893215256e-18-1.3656464770617536e-17j),(-1.401236228631057e-17+5.246954614760621e-18j),(-0.11776825350685709+0.1773716143530271j),(3.276713431424509e-17-2.4066764463070344e-17j),(0.0015961339062240086-0.045526344996495244j),(-0.3770070809217909-0.29438257745308166j),(-5.447352495065782e-34-3.8131467465460455e-33j),(-2.969693348387803e-17-2.821684943839041e-17j),(-0.19822323915962323-0.21180358612093536j),(-0.09596267342293163+0.4327575974300486j),(2.383216716591277e-34-1.9406193263671838e-33j),(-0.007148651474960743-0.6656628459693641j),(3.421444710510295e-33+9.516172774652096e-34j),(1.519862740771621e-33+4.601293233099651e-34j),(9.8130778667736e-18+4.906538933386797e-17j)
18.0,(2.0852790466893883e-17+7.727798820084206e-17j),(2.08322693588171e-17-3.760843958278112e-17j),(-3.3522743081884867e-18+1.556163592965647e-17j),(-0.16474890741263137+0.13130603538707455j),(-1.9881760094378224e-17-3.057133425778963e-17j),(-0.6465321454207691-0.24678947559680367j),(0.1528815542818452-0.37206685129449474j),(1.6342057485197336e-33-2.7236762475328898e-33j),(1.639561790132759e-17-6.993702681832956e-18j),(0.011583710933253527-0.40830099950304366j),(0.06500486973298103+0.287270788875258j),(5.447352495065779e-34-5.44735249506578e-34j),(0.05501758458985381-0.2414129001926517j),(1.6160742698152088e-33-5.607778768412319e-34j),(4.424555725773214e-34+1.2750878661730936e-33j),(2.4532694666933986e-17-4.9065389333868e-18j)
21.0,(1.9626155733547187e-17+1.5407439555097887e-33j),(-3.798557044530664e-17+1.824182474397847e-17j),(-1.3693272385259753e-17-3.740300347513752e-17j),(-0.32135571631780135+0.3884730845168406j),(9.518706473387052e-19+1.4740681782223718e-17j),(0.0018131161450873345+0.7882619718575384j),(-0.11412173293400438-0.12548734757061347j),(-1.634205748519734e-33-5.447352495065778e-34j),(-1.0412812066785172e-17+7.785944692775711e-18j),(-0.1319683341745806-0.25007719081753776j),(-0.11376246395305735-0.05115085463201457j),(-8.851947804481893e-34-1.2937462175781224e-33j),(0.0122211321595011-0.005117753732239365j),(-2.0821431251881172e-33+3.713792124128471e-33j),(-1.1345532850280502e-33-1.59490354582802e-33j),(-5.5198563000601466e-18+4.293221566713448e-18j)
24.0,(-2.943444205839365e-17-9.827452492555004e-18j),(1.766170873893492e-17-1.1480767103508338e-17j),(-4.078528333480585e-18-4.9320437642202175e-17j),(-0.1558440546054486-0.6805616753626844j),(-2.8206835515135117e-17-1.6470063726169301e-18j),(-0.3579752122694183+0.028783993836763055j),(0.09777437187419162+0.11838290020335099j),(2.780862809370738e-33-2.2355955918470647e-33j),(7.449538291630086e-18+1.6375911203730846e-18j),(-0.1152829846142374+0.12882119984441456j),(-0.382039563869352-0.37632294707804587j),(-1.129966564314609e-33+1.8365530830227265e-33j),(0.12828445542191344+0.16150593946472175j),(2.72412382994226e-34-2.72322829706435e-34j),(-8.953856784465871e-38-8.956801257811429e-38j),(-5.98942740891943e-22-5.9894274089194295e-22j)
27.0,(-3.434577253370758e-17+3.4345772533707573e-17j),(-1.2632232872157239e-17+1.371370927331069e-17j),(3.3096288094827396e-17-1.6814960682095182e-17j),(0.04267750670826946+0.1955928736589345j),(9.67792846983272e-18-1.1671271988802642e-17j),(0.11382343406028386+0.19860208868423296j),(0.10808561631381206-0.2987983171151226j),(-3.268411497039468e-33-1.0894704990131556e-33j),(2.8915794469763694e-17+3.0945905702817985e-17j),(0.019615903373004416-0.06781016424893627j),(0.7856577398792589-0.32146212036398164j),(1.429930029954767e-33-7.490109680715447e-34j),(-0.20109601852909573-0.20135036600232675j),(2.8230194137579876e-33-2.5022815731362138e-33j),(3.685000927115246e-33+4.811600405739694e-34j),(-1.4436915826459394e-17+5.189239907087795e-18j)
