,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,(1.3321255145473456e-17-3.042774136729081e-17j),0j,0j,(-0.2582879179822084+0.30034657616862076j),0j,(-0.06945502573063711-0.46398348412785106j),(0.054833469818526916-0.0088642695171641j),(-0+0j),0j,(-0.14783825700281372+0.3386249298501216j),(-0.19011210103093465-0.24452467177044912j),0j,(0.003608018424819129-0.07844551646079002j),0j,(-0+0j),(1.5332912278893696e-17+2.1691933412352524e-17j),0j,(-0.1002063594347121-0.3093015968446301j),(-0.18097761934480347+0.19742421637623542j),0j,(0.18767391315683526-0.3095282999294947j),0j,(-0+0j),(-6.391209932822964e-18-6.654043430906825e-18j),(-0.21117916344434162+0.16793085812240097j),0j,0j,(5.830702686046858e-19-1.8818380872328693e-17j),0j,(6.7983375732266125e-18-9.044198667172036e-19j),(4.883840828677662e-18-3.3266157604536805e-18j),(-0+0j)
5.0,(-6.066942236301427e-18-2.791189800051098e-17j),0j,0j,(-0.16014979200183607-0.22858614920398357j),(-0+0j),(-0.016069513467885155-0.4529565036224714j),(-0.1520220171003813-0.004041703038703548j),0j,0j,(-0.016605706912796357+0.05565905263650145j),(0.23327125325771159+0.5942818364034363j),0j,(-0.07692156071110831-0.2617499492889757j),(-0+0j),0j,(2.767894937678381e-17+4.338023372486036e-18j),0j,(0.23986279036087305-0.12386325023973624j),(-0.09684591429058428-0.2726759946670885j),0j,(0.01594263192216689-0.12939294760805262j),(-0+0j),0j,(7.316453562170048e-18-1.3726018264357541e-17j),(0.059089240690058616-0.17623765303264058j),0j,0j,(-5.0816672852384074e-17+2.470266249754609e-17j),(-0+0j),(2.727634510171165e-18+9.092396441785904e-18j),(-3.272879235479602e-17-2.868263066019992e-17j),0j
7.5,(-2.1999208089433964e-17-2.202123575986894e-17j),0j,0j,(-0.2373925713377811+0.19647150031097999j),0j,(0.445782935151374+0.05416785540143837j),(0.17879640834622407+0.21776141850500527j),0j,0j,(-0.1865311814949034+0.23053543145426178j),(-0.11641763089649372-0.17711728076882116j),0j,(-0.13072565558482133+0.4712330288065315j),0j,0j,(-4.836651061163298e-17+3.4939801140601515e-17j),0j,(0.18445303670898425-0.24621637985479633j),(-0.1153619158199631+0.1542054456529316j),0j,(0.10588759232438669-0.14773275043886014j),0j,0j,(7.376729079394235e-18-1.377092517763722e-18j),(-0.16326697273397642+0.24608686446480837j),0j,0j,(-1.883836606917299e-17-2.178183986866353e-17j),0j,(1.8835510853811018e-19-1.371310969440416e-17j),(-4.940574432533174e-18+1.984823381266126e-19j),0j
10.0,(-4.893375929234264e-18-1.249919571357194e-17j),0j,0j,(-0.206689464296596+0.16906568261019345j),0j,(0.09907983876086614-0.09159050275062089j),(-0.38064076095597044+0.2748474378984858j),0j,0j,(-0.20833680984309538+0.10014964851512978j),(0.3112829429027555+0.42891762655148014j),0j,(-0.09363125393819943-0.17252982836839795j),0j,0j,(-2.9392828196887924e-17+2.110823502314174e-18j),0j,(0.3765486280930035+0.03035572736035405j),(-0.17377526692478348+0.23436299999218282j),0j,(-0.11503170618115527-0.21915794587934298j),0j,0j,(-2.783270895681872e-19+2.0042168591452768e-17j),(-0.13946717721740837+0.09316329246816409j),0j,0j,(3.4266038909824746e-19-1.7725545257879513e-17j),0j,(-1.825171790468918e-19+2.4796084478175244e-18j),(-1.2431659776089304e-17+2.7329900566668523e-17j),0j
12.5,(-2.081501216677947e-17-3.1251383805882056e-17j),0j,0j,(0.07306428740359301+0.04408390390144109j),0j,(0.23476917292034358+0.1883250453198276j),(-0.19049604901178033+0.31525267058045814j),(-0+0j),0j,(0.15573503413957449+0.2436691649787026j),(0.25885426171711146-0.3854188844779492j),0j,(-0.1069986735295487-0.02492408057475813j),0j,(-0+0j),(-9.11853399749998e-18+1.1986970603436735e-17j),0j,(0.45720619957269304+0.07140150028845513j),(-0.16524164756788132-0.1562309859119893j),0j,(0.25259035482822606+0.2811697432597629j),0j,(-0+0j),(4.486207084855162e-18+3.2963774015900176e-17j),(-0.2049082660556557+0.06720707857452263j),0j,0j,(-4.7183492793743536e-18-1.7849893337500643e-17j),0j,(-1.0930278126085074e-17+1.4693798289235542e-17j),(-1.7257868677944007e-17+1.6308733785392787e-17j),(-0+0j)
15.0,(3.860923620133791e-17+5.790702981846053e-19j),0j,0j,(-0.23878573612592957+0.07372203137022312j),0j,(0.1483536005359841+0.09889286415283145j),(0.16501764032880029+0.027845328961308785j),0j,0j,(-0.06416981630110707-0.1742287879574592j),(-0.23262232219290963+0.36759796329136996j),0j,(0.10130109136239057+0.014336760663798777j),0j,0j,(-1.5625615471683602e-17-1.4620465447500962e-18j),0j,(-0.17464699435049125+0.4328214912596059j),(-0.18161610503963768-0.052317208995871056j),0j,(0.30164198974603285+0.4560957876636087j),0j,0j,(9.204733873952138e-18+1.6638916663935946e-17j),(-0.1017638742090502-0.2839801126629832j),0j,0j,(-2.606643898729402e-18-8.236132363221003e-18j),0j,(2.0927432615032984e-17-1.8481648229386925e-17j),(-2.5069283620145954e-17-1.4779058527369592e-17j),0j
17.5,(4.488687377183681e-17+5.217542094739422e-17j),0j,0j,(0.09454399066042049-0.17254568387677538j),0j,(-0.147289501030362+0.09283152256786252j),(0.2057698941043083+0.009667923804699372j),0j,0j,(0.17264870572952265+0.11690027447680829j),(0.06437759696254064+0.8537389771237377j),0j,(0.10119244061532208+0.13573832760198556j),0j,0j,(1.3893560269606307e-17+3.45495730418609e-17j),0j,(-0.18251654054112337+0.047368603214527544j),(-0.08310468469796113-0.0485977908845778j),0j,(-0.0478311407252265-0.07206573125220866j),0j,0j,(9.299255670833934e-18+1.2379363917121966e-17j),(0.1742220486943058-0.02704124022617077j),0j,0j,(-6.801571400221273e-18+5.152708810604161e-18j),0j,(4.5016586956385535e-17+4.281630673661048e-17j),(3.074396007043545e-18-1.0066114580423053e-17j),0j
20.0,(3.9682733299421373e-17+3.1906961777347607e-18j),0j,0j,(0.27094635671685136+0.42534756867594736j),(-0+0j),(-0.45518435071136254+0.0105965203413452j),(-0.2559732952513492+0.044046548234951854j),0j,0j,(0.292857449153481-0.037116573139098025j),(-0.13573823429001838-0.15780618024061943j),0j,(-0.10418353741708605+0.026802093370338953j),(-0+0j),0j,(1.376704719107213e-18-2.8591673915967784e-19j),0j,(-0.2247267724053087-0.13268320953158177j),(0.07719822113568249+0.3081922120096807j),0j,(-0.27153547065703637+0.05722645075844046j),(-0+0j),0j,(-1.8842957643637574e-17-1.3895456513969943e-17j),(0.17342709908442214+0.22961787289849517j),0j,0j,(-7.733503809944387e-19+8.118347376458988e-18j),(-0+0j),(2.600616522766972e-18-3.438461838286122e-18j),(1.6119867777541977e-18-1.0895843323296146e-17j),0j
22.5,(-4.764918726217354e-17-9.8953217645527e-18j),0j,0j,(0.06424649514675418-0.431854630865392j),(-0+0j),(-0.15075394747184495-0.33294455276445384j),(-0.07559454000155269+0.15046467577092904j),0j,0j,(-0.004935411238357501-0.25868797609361666j),(0.17609489894364785+0.5892962192535702j),0j,(0.16156843556022205-0.10105632429345489j),(-0+0j),0j,(-6.4401259293641386e-18-1.6580825626487e-17j),0j,(0.010627747329836394-0.10892999860477065j),(0.028663712024975068-0.04556181656648538j),0j,(-0.010931793251840027-0.061810413053020805j),(-0+0j),0j,(2.36904586537528e-17+4.5478487520943175e-17j),(-0.02096884335737259-0.3829426394163226j),0j,0j,(6.825061436019475e-18+3.5802816154379596e-17j),(-0+0j),(1.5921497160166657e-17-2.7191317776574425e-17j),(4.0925551851053665e-17-1.9830435270189207e-17j),0j
25.0,(2.195273936288787e-17+1.5371373969239514e-17j),0j,0j,(0.2545603517045106+0.3680947196302147j),(-0+0j),(0.06647369251612173-0.10561582410238388j),(0.3571147863448372-0.20804770401178715j),0j,0j,(0.06085799852607075+0.20621211290697147j),(0.030154677310337663-0.24509808198262661j),0j,(0.01114529168970435-0.34135727804830196j),(-0+0j),0j,(6.729820956930495e-18+2.000475465722648e-17j),0j,(-0.164452475556632-0.11242864938151209j),(0.278055385533127+0.26661416758384615j),0j,(-0.18533024755767274-0.09221132411314412j),(-0+0j),0j,(3.865220541220663e-18-4.3532581129314203e-17j),(0.2913925284332732+0.2713226011951342j),0j,0j,(2.842796603469904e-17-2.4515011635785933e-17j),(-0+0j),(9.865719883133254e-18-3.6806792704991736e-18j),(1.1033294835478196e-17-3.159768230004565e-17j),0j
27.5,(-1.3496761904211659e-17+1.3505234144752443e-18j),0j,0j,(-0.004121127824088203+0.1449129591487794j),(-0+0j),(0.1687298612805908-0.03462120232537318j),(0.22099532439122826+0.19486068948101284j),0j,0j,(0.3449725460878158+0.1260535940628395j),(0.12918467098976597-0.6194105999940145j),0j,(0.39085395268869927-0.0421776317151247j),(-0+0j),0j,(-5.332452993284067e-18+1.78099823761887e-17j),0j,(-0.20080521345371252-0.12015813884593016j),(-0.036202989062111-0.27768693862916916j),0j,(-0.030874480125612416+0.01055405475471661j),(-0+0j),0j,(-1.0106576055968563e-18-1.3807519919598849e-17j),(-0.08525660847404995+0.17660979072487826j),0j,0j,(1.7189288205115922e-17-7.624859104139584e-18j),(-0+0j),(-7.102534672945805e-18+1.0306973096279033e-17j),(2.816408216673748e-17-3.9338942498978605e-17j),0j
30.0,(-5.428409633183508e-17-1.1113650201092415e-17j),0j,0j,(-0.19741876851629558+0.0851132379018838j),0j,(0.14639952653352212-0.05003673760554189j),(0.059728183671245466+0.3494694233989446j),0j,0j,(-0.17818037594782057-0.1598409248240107j),(0.25025906562988304-0.04542097553035203j),0j,(0.04395258943435572+0.18244105963715124j),0j,0j,(4.556186685107205e-18+6.423595826629505e-18j),0j,(0.5837104420304675+0.015957780522255882j),(0.12381194295825793+0.052544096514309295j),0j,(0.31994831319769174+0.18772869439315376j),0j,0j,(-4.040788428881498e-17-3.068978656252958e-17j),(-0.19267378861910794-0.33637352529253417j),0j,0j,(1.575775670340464e-17-2.4056635530545757e-17j),0j,(2.826889735364031e-18+2.837019557236848e-17j),(6.937511901443588e-18+1.8529242802495567e-18j),0j
