,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
0.5,0j,0j,0j,(-0.014762571689781376+0.0032086971039837486j),0j,(0.048293037287507445-0.22124565362358184j),(-0.05750130082937123-0.012477867650515489j),0j,0j,(0.8602746218319859+0.18581162395290984j),(0.04834755274792531-0.22157877734800915j),0j,(-0.014653316010733254+0.0035848676795180194j),0j,0j,0j,0j,(0.005913685469043625-0.2362484073850623j),(-0.059441717205238644+0.00026612948839123407j),0j,(-0.0606111154078737+0.00042126020734195926j),0j,0j,0j,(0.005889483503685039-0.23595970058807653j),0j,0j,0j,0j,0j,0j,0j
1.0,0j,0j,0j,(0.07521374509439245+0.01731102997286366j),0j,(-0.2551961535181094+0.21136292316154412j),(0.12983653320447497+0.15282098937650823j),0j,0j,(-0.3808549076593673-0.4293272879058603j),(-0.25569736694355927+0.21159122636165817j),0j,(0.07555759069812429+0.016811756201702117j),0j,0j,0j,0j,(-0.24523221794403696+0.3068614864393759j),(0.18435716090062462+0.10489529900300089j),0j,(0.18493899165865912+0.1054449834738388j),0j,0j,0j,(-0.24494337514262277+0.3064382339943125j),0j,0j,0j,0j,0j,0j,0j
1.5,0j,0j,0j,(-0.01251509430939246-0.14949025741424699j),0j,(0.15497543981075002+0.21059136420376573j),(0.25454272548370294-0.2310703240753202j),0j,0j,(-0.13267943389600406+0.16848769858383586j),(0.15521657751379925+0.21129272421304607j),0j,(-0.013080069766829815-0.1499569293635371j),0j,0j,0j,0j,(0.3400101801352083+0.25435878606317375j),(0.1168905029883874-0.36464805426763636j),0j,(0.11715802854605152-0.3648571285037822j),0j,0j,0j,(0.3394937578847642+0.25400369634024533j),0j,0j,0j,0j,0j,0j,0j
2.0,0j,0j,0j,(0.1624840368844431-0.11197580294173566j),0j,(-0.1071119651323155-0.019297994140353353j),(0.3031719717137162+0.27866647533509104j),0j,0j,(0.0024846381876377655+0.10079995105731243j),(-0.10785563396247652-0.019089978015021627j),0j,(0.16301722778093147-0.11255928549938946j),0j,0j,0j,0j,(-0.1861253454569944+0.2940985688861411j),(0.487864350302323-0.016599957883732606j),0j,(0.4876950208106557-0.016715756939700795j),0j,0j,0j,(-0.18586937286735822+0.29349851087379075j),0j,0j,0j,0j,0j,0j,0j
2.5,0j,0j,0j,(-0.15347430158161846+0.1546463895908337j),0j,(-0.06089944555820574+0.25401846593253985j),(-0.10388359544773215-0.3655794981819243j),0j,0j,(0.056877232117824125-0.24122193114220938j),(-0.060188437809857886+0.25426572554659027j),0j,(-0.15407990362953794+0.15478769422014305j),0j,0j,0j,0j,(0.21079458891852113-0.09851932234959303j),(-0.47499187218878014-0.04100455022997565j),0j,(-0.4748337600362822-0.04036876793103182j),0j,0j,0j,(0.21049630613350467-0.09805480792928609j),0j,0j,0j,0j,0j,0j,0j
3.0,0j,0j,0j,(-0.20135387295908683+0.16401523989860206j),0j,(-0.3756905998033358+0.16109246299570035j),(0.26190949723050383-0.18223978255409945j),0j,0j,(0.34752938717563625-0.06577922061916817j),(-0.3755789285205705+0.16168625996324273j),0j,(-0.20159262262104727+0.16372451760638898j),0j,0j,0j,0j,(0.12025728761840991+0.09291999410577433j),(-0.3114842286455191-0.17824668718430298j),0j,(-0.31215560436136586-0.17751303330487955j),0j,0j,0j,(0.11987929295655114+0.09321660429126273j),0j,0j,0j,0j,0j,0j,0j
3.5,0j,0j,0j,(0.1684927093885154-0.3009682067235189j),0j,(0.3806405865479368-0.06572064278818852j),(-0.3438976364676094-0.04139952289099465j),0j,0j,(-0.46331313312917904-0.12737215647127012j),(0.38078951640655595-0.06608026370506322j),0j,(0.1683867661563022-0.30081936089300554j),0j,0j,0j,0j,(-0.07916716868427226-0.06728999296087648j),(0.21283411178093462+0.007395053499272414j),0j,(0.21384306068187947+0.006855649706147378j),0j,0j,0j,(-0.07892793030433948-0.06776507646890166j),0j,0j,0j,0j,0j,0j,0j
4.0,0j,0j,0j,(-0.34813092227235476+0.24256409615080654j),0j,(-0.12736564359179214-0.17637382381516037j),(0.15538606008571948+0.3724450869870807j),0j,0j,(0.22942080728281602+0.4940474059523179j),(-0.1275992306248309-0.1765423209030311j),0j,(-0.348027301221432+0.24285129778508957j),0j,0j,0j,0j,(0.11055093675556013+0.05812766466475238j),(-0.15912937105525812+0.04382462178657268j),0j,(-0.1595648695874793+0.0431009295858979j),0j,0j,0j,(0.10929711910242507+0.05835043724130022j),0j,0j,0j,0j,0j,0j,0j
4.5,0j,0j,0j,(0.0761244534370929+0.4443025267956331j),0j,(-0.03321000997823222-0.19116687548280087j),(0.3565079524105121+0.09878054614453582j),0j,0j,(0.4455827911715773+0.0318510229485007j),(-0.032909401401368596-0.1902546198636625j),0j,(0.07591434521288681+0.4426910135750135j),0j,0j,0j,0j,(0.13470453289007875-0.20598487944531635j),(0.0632690069997483+0.16128706108716093j),0j,(0.06451612742902058+0.16603064600200473j),0j,0j,0j,(0.13606583466223288-0.20709049332041268j),0j,0j,0j,0j,0j,0j,0j
5.0,0j,0j,0j,(0.22838410730892497+0.3528426236408596j),0j,(-0.04771940143476341-0.3671322160225181j),(0.21840665914989776-0.04697188308535443j),0j,0j,(0.1240764918051421-0.17546294079970534j),(-0.04853743030942256-0.365965090153441j),0j,(0.22860816133105444+0.3506942954155355j),0j,0j,0j,0j,(-0.013685439872048233-0.3496156995818445j),(0.11358396323524327+0.054520898651555086j),0j,(0.11465334570374565+0.058478681809186334j),0j,0j,0j,(-0.011948030476221708-0.3516459106450812j),0j,0j,0j,0j,0j,0j,0j
5.5,0j,0j,0j,(-0.24214055982131474+0.2917390607575773j),0j,(0.3607985272997135-0.20331786030656201j),(0.04758562321949512-0.014965364896452551j),0j,0j,(0.03948999993495422-0.32372832032900745j),(0.3590320992017488-0.2048532946206417j),0j,(-0.2396836274747731+0.2920394830425306j),0j,0j,0j,0j,(0.2837122808391583-0.22092598522959575j),(-0.004873181566598909+0.035331831240645144j),0j,(-0.007838344965730963+0.035764245749608514j),0j,0j,0j,(0.28662937222760015-0.21959172577772218j),0j,0j,0j,0j,0j,0j,0j
6.0,0j,0j,0j,(-0.1623807480874955-0.3323857043193506j),0j,(0.058891797349639056+0.2686281448393589j),(0.1810782918883277+0.00980039723568751j),0j,0j,(0.6346440960714423+0.00032212028343418797j),(0.061685703656472156+0.26788726913166j),0j,(-0.16412708652770389-0.33066624770186887j),0j,0j,0j,0j,(0.15523387577969755+0.20714829132646267j),(0.02838861051428961-0.04438222716878603j),0j,(0.030485087949107217-0.045576396482443236j),0j,0j,0j,(0.15292274084981775+0.20938510463736065j),0j,0j,0j,0j,0j,0j,0j
6.5,0j,0j,0j,(0.3502152773883658-0.1186355169475449j),0j,(-0.031661379660351346-0.05287443225522941j),(-0.02395346347173586+0.25921267072333704j),0j,0j,(0.030328159645990657+0.7868683938710804j),(-0.032174899684947245-0.04992812309430344j),0j,(0.3498225921178921-0.12075432289490132j),0j,0j,0j,0j,(-0.034677470532677085+0.10131661619145615j),(0.06601348065661572-0.0010531632357151603j),0j,(0.06475699940263012+0.0019101644082869518j),0j,0j,0j,(-0.036175328800774814+0.09905727012373608j),0j,0j,0j,0j,0j,0j,0j
7.0,0j,0j,0j,(0.28257207233319626+0.19536271224446292j),0j,(0.24134971278310227+0.08957252046777005j),(-0.2156889852353727+0.04155217463945156j),0j,0j,(-0.6010306249993456+0.38889718593665956j),(0.23662571877028088+0.09315547524724704j),0j,(0.28262554939767215+0.19844310070082677j),0j,0j,0j,0j,(0.03209201679201435+0.1413512857673509j),(0.11040067563085626-0.03960978614232518j),0j,(0.11302524085260339-0.042392516381641494j),0j,0j,0j,(0.032864467623535176+0.1436683297651654j),0j,0j,0j,0j,0j,0j,0j
7.5,0j,0j,0j,(-0.1404392987209142+0.22580889642198088j),0j,(-0.2316274127110764+0.2904101526069788j),(0.13950245724267302-0.1338964932806756j),0j,0j,(-0.12004379537410757-0.4768009201622807j),(-0.2353601565659083+0.28630988092683474j),0j,(-0.14365073608510256+0.22557893153002193j),0j,0j,0j,0j,(-0.23234313174118923+0.05253848017394891j),(0.18589351613287852+0.24207054790281374j),0j,(0.18802522693412627+0.2461507748502374j),0j,0j,0j,(-0.23387018713173036+0.05227549795439905j),0j,0j,0j,0j,0j,0j,0j
8.0,0j,0j,0j,(-0.15774950352550673+0.07995439708140162j),0j,(-0.2937309491456276-0.08114779635935604j),(0.1591268744816529+0.21538660185742503j),0j,0j,(0.21314817107805484-0.10954073743202991j),(-0.29363586980807593-0.08696356897618729j),0j,(-0.15947036492732086+0.07767838720975773j),0j,0j,0j,0j,(-0.1313187802454346-0.2147972130835432j),(-0.08378460177545144+0.4880702936678712j),0j,(-0.08682221531798476+0.4916509998267161j),0j,0j,0j,(-0.13091330826179035-0.21553198932523615j),0j,0j,0j,0j,0j,0j,0j
8.5,0j,0j,0j,(-0.035484237979275086-0.11441490910705071j),0j,(0.11733149434548032+0.04270680716715279j),(-0.24914682763328386-0.1944522051989599j),0j,0j,(-0.042792972595379834+0.023825738224315225j),(0.12153088572032103+0.04758653265415497j),0j,(-0.0329894241558079-0.11443976919326555j),0j,0j,0j,0j,(0.1308454036145152+0.2068240307906955j),(-0.2970370925287426-0.5181783636200726j),0j,(-0.29585555139209485-0.5220674239863577j),0j,0j,0j,(0.12981996162669326+0.2073190007324729j),0j,0j,0j,0j,0j,0j,0j
9.0,0j,0j,0j,(-0.09746238212734+0.06583594383407276j),0j,(0.059217624740793756+0.18188495846385022j),(-0.2585300452389213-0.009608941624849043j),0j,0j,(0.11035227846623394-0.09675532691734405j),(0.06598235020169041+0.18172876858684253j),0j,(-0.09675642384171101+0.06300692012809916j),0j,0j,0j,0j,(0.20917512139451064+0.20078849257015752j),(-0.5602303698214731-0.07973619095299384j),0j,(-0.5613873379913461-0.08233777217509242j),0j,0j,0j,(0.20802848058026807+0.2022388216244512j),0j,0j,0j,0j,0j,0j,0j
9.5,0j,0j,0j,(-0.0002696108001812546-0.16526987002026705j),0j,(-0.05852412036340393-0.30654674975202895j),(0.11399381816272437+0.01962716871288318j),0j,0j,(-0.35731034668861+0.23390520575635948j),(-0.06487997532378212-0.3051782482701824j),0j,(0.000407264831260936-0.16125646173621283j),0j,0j,0j,0j,(-0.19510329447359495-0.2552484504431245j),(0.41394329474106256-0.053884350150602646j),0j,(0.4150238220160049-0.05288883977757569j),0j,0j,0j,(-0.1937591001118461-0.25715063721902953j),0j,0j,0j,0j,0j,0j,0j
10.0,0j,0j,0j,(-0.17368682987322806+0.15438752043064444j),0j,(-0.2453372938397677+0.09812978583359132j),(0.0625006124375682+0.030797832230102868j),0j,0j,(0.46383736120128494+0.5515580386277076j),(-0.24246765470852016+0.10294805639257165j),0j,(-0.16910011033278807+0.15184049969044083j),0j,0j,0j,0j,(-0.18702993364613804+0.1746725143723159j),(-0.11848990417358773-0.18789829168486355j),0j,(-0.11930424691867558-0.18902291159620382j),0j,0j,0j,(-0.1894617358250414+0.17385874236493576j),0j,0j,0j,0j,0j,0j,0j
10.5,0j,0j,0j,(-0.0028694665464950864+0.2773624830183844j),0j,(-0.032614082596956785+0.04841531209706555j),(0.1471265580767049+0.02970309781560253j),0j,0j,(0.8488614263789438+0.27013419037456177j),(-0.028503378531293245+0.04936239598593932j),0j,(-0.0004643094093599587+0.2718908171171114j),0j,0j,0j,0j,(-0.038951868748007934+0.07904019279939034j),(-0.07095512367809717+0.0017981734944587345j),0j,(-0.07356467041150899+0.0017290274979986295j),0j,0j,0j,(-0.04164698079657455+0.08038527882407734j),0j,0j,0j,0j,0j,0j,0j
11.0,0j,0j,0j,(-0.21985253231731308+0.17286243411828045j),0j,(0.2033464320526876-0.01681341644305219j),(0.0733889030309991+0.09389776713052754j),0j,0j,(0.29642778361901606+0.7883464457121335j),(0.20579010335948922-0.014905407329802847j),0j,(-0.21406259006616374+0.17129686288531293j),0j,0j,0j,0j,(0.10438478586862912-0.08917330623183217j),(-0.02831451118156614-0.002616292178812171j),0j,(-0.030234778634922552-0.004914445055704904j),0j,0j,0j,(0.10072074183355983-0.09006655221640872j),0j,0j,0j,0j,0j,0j,0j
11.5,0j,0j,0j,(-0.21507488415518777-0.15460660275764113j),0j,(0.20931353514187256+0.3285654110261882j),(0.08817359876469862+0.03253381277140649j),0j,0j,(-0.35085971068780036+0.4623220428814484j),(0.21072712365374235+0.3313580761817302j),0j,(-0.21111319887697683-0.15087221540028972j),0j,0j,0j,0j,(0.28283298380615673+0.1430834052443001j),(0.02511542639613935-0.07165759763388713j),0j,(0.026457867814172444-0.07425981523961864j),0j,0j,0j,(0.28120274372797693+0.13905821771027177j),0j,0j,0j,0j,0j,0j,0j
12.0,0j,0j,0j,(0.016693208162124506+0.28380792528619486j),0j,(0.027828660526506732-0.4026755583967984j),(-0.2585536172166585-0.0932790164744989j),0j,0j,(0.16999560703236835-0.14898781819681406j),(0.02667085048988873-0.4064021650824686j),0j,(0.015015083254318606+0.2794016416491118j),0j,0j,0j,0j,(-0.19782691180594814-0.3393337226922638j),(-0.161433005732063+0.11602295290996986j),0j,(-0.163542861326021+0.1169400452857154j),0j,0j,0j,(-0.19841367066181043-0.33443492722270984j),0j,0j,0j,0j,0j,0j,0j
12.5,0j,0j,0j,(0.28740366957873326-0.15585857000451883j),0j,(-0.240963154702176+0.06153900133964848j),(0.11691456639637599+0.4208299546300573j),0j,0j,(-0.005517827821757672+0.20694046865135549j),(-0.2430604529711692+0.06565531908180984j),0j,(0.2859275046487706-0.15212037772106754j),0j,0j,0j,0j,(-0.1444496680102216+0.31575613434309285j),(0.3018362684973681+0.06447305671936757j),0j,(0.30271678632596155+0.06520026415640366j),0j,0j,0j,(-0.13975430638024205+0.3132120359385066j),0j,0j,0j,0j,0j,0j,0j
13.0,0j,0j,0j,(-0.2911605803770173-0.17119910753813958j),0j,(-0.10332534231699725+0.1157573546045821j),(0.41118974388775464-0.2927879648272112j),0j,0j,(0.28932270837063345-0.23901940039675412j),(-0.09853196919171152+0.11489764866844596j),0j,(-0.2877353642901645-0.17268825503588592j),0j,0j,0j,0j,(0.2213392886663367-0.022385892462380902j),(-0.1691696367402692-0.2969458979227611j),0j,(-0.16939724226279296-0.2966604818048001j),0j,0j,0j,(0.21688161619484547-0.02549418851247555j),0j,0j,0j,0j,0j,0j,0j
13.5,0j,0j,0j,(0.3035421928386308-0.009913770252427873j),0j,(0.3138572962457121-0.12447895708214281j),(-0.4052826637145157+0.2806034143030901j),0j,0j,(-0.27521667014276563+0.2779382949795093j),(0.31010853161534463-0.12156034793219216j),0j,(0.3013161551130587-0.006783120429637662j),0j,0j,0j,0j,(-0.0831223927969796+0.05117566001071039j),(0.28204021000098567+0.09598859194526052j),0j,(0.282657369306911+0.09424647619843772j),0j,0j,0j,(-0.07831383049927446+0.05286915567645864j),0j,0j,0j,0j,0j,0j,0j
14.0,0j,0j,0j,(-0.22536430445724498+0.15754467433828076j),0j,(-0.40940925076121426+0.09027466697019992j),(0.4712657996895014-0.10698289632375108j),0j,0j,(0.3139651156939153-0.12598559875619758j),(-0.4069184275905529+0.08639840080480347j),0j,(-0.2236497950948859+0.153990842428726j),0j,0j,0j,0j,(0.0237088153718127-0.0455243360571883j),(-0.24092699808157797+0.12501577185279722j),0j,(-0.24218856761753568+0.1278349084785266j),0j,0j,0j,(0.019304095890069584-0.04672415876344567j),0j,0j,0j,0j,0j,0j,0j
14.5,0j,0j,0j,(-0.2400052704384667-0.18103049770682797j),0j,(0.08828142379326995-0.31463871368763097j),(-0.19669953883934368+0.47191302113673844j),0j,0j,(-0.11685511822858806+0.29626732874976724j),(0.09273822051941356-0.312371097815174j),0j,(-0.2369892851071781-0.17889732008878423j),0j,0j,0j,0j,(0.06259045135952819+0.07417524234489555j),(-0.26706091516636365-0.20239137746615155j),0j,(-0.2697513951966983-0.20508079766599524j),0j,0j,0j,(0.06422613382519794+0.0708216865843377j),0j,0j,0j,0j,0j,0j,0j
15.0,0j,0j,0j,(0.13189183527406267-0.3073731518464079j),0j,(0.05810144843174192+0.17601557896092024j),(-0.38438725658082923-0.3239337346779595j),0j,0j,(-0.189768813658648-0.1633803795466106j),(0.05633020978793034+0.18165775834398906j),0j,(0.13015796758020343-0.3050649035546443j),0j,0j,0j,0j,(-0.1929929649156537+0.0838341170959242j),(0.13842426772027583-0.36314215959025764j),0j,(0.14159567725238603-0.36528988002078655j),0j,0j,0j,(-0.19020822636682383+0.08500336178302129j),0j,0j,0j,0j,0j,0j,0j
15.5,0j,0j,0j,(-0.2911680142878901+0.12789087872087865j),0j,(0.2946648265152247+0.019529613069716525j),(-0.030753488485749075+0.39372139397636113j),0j,0j,(0.05340172388165543+0.043877578510001215j),(0.30062811818377666+0.016035793168312773j),0j,(-0.2894680396137068+0.12748207703990977j),0j,0j,0j,0j,(0.27579248784233673+0.17160622931004715j),(-0.30227263534926047+0.1819902103543158j),0j,(-0.30538890387687+0.1809939598497898j),0j,0j,0j,(0.27475300622377413+0.16949755184018697j),0j,0j,0j,0j,0j,0j,0j
16.0,0j,0j,0j,(-0.23789100680172057-0.07737730456474437j),0j,(0.22537999832274297+0.342340173898574j),(-0.1154901601111035+0.1749733472752916j),0j,0j,(0.33812360607082187-0.061794231096605166j),(0.23288919367184213+0.34281206321042557j),0j,(-0.23705437530599197-0.07788779095412002j),0j,0j,0j,0j,(0.10361175834935696+0.3471999606243564j),(-0.2357976202289313+0.005354220663922674j),0j,(-0.2374664423729133+0.0036541630883141912j),0j,0j,0j,(0.10366128963197097+0.34532222678414126j),0j,0j,0j,0j,0j,0j,0j
16.5,0j,0j,0j,(0.08786722283548692+0.1609447116824201j),0j,(-0.043427430539741727-0.3523618821255918j),(-0.025657545731245894-0.09074901308185408j),0j,0j,(-0.6862039400939404-0.13263653645094836j),(-0.05028285718728677-0.3555563663347293j),0j,(0.08679775236856856+0.16258070367418767j),0j,0j,0j,0j,(0.06212424206303671-0.2752022047143871j),(0.09873334023279029+0.02993219828024616j),0j,(0.10046365589122241+0.031201995981579994j),0j,0j,0j,(0.06157265653764374-0.27378222179678996j),0j,0j,0j,0j,0j,0j,0j
17.0,0j,0j,0j,(0.06926386868440382+0.156439652998473j),0j,(-0.09637037176655613-0.11444220680154131j),(-0.17038679797486425-0.017562801148729684j),0j,0j,(-0.9055143783790139+0.133601327926905j),(-0.1033982461756596-0.1144097750044601j),0j,(0.06907039151959896+0.15955559285673693j),0j,0j,0j,0j,(0.03157521256158573-0.10667453547281337j),(0.034603352560966444-0.004193923707734569j),0j,(0.03742530465344149-0.004649369954889541j),0j,0j,0j,(0.031496435780512595-0.10575414789280842j),0j,0j,0j,0j,0j,0j,0j
17.5,0j,0j,0j,(-0.1723363702336046+0.029388690330338363j),0j,(-0.1367986872233407-0.04606547456149275j),(0.018029272534761373-0.16396368462861963j),0j,0j,(0.021262819544287825-0.9019338431829664j),(-0.136905006494127-0.05224466471737557j),0j,(-0.17619254729494913+0.02872494607429854j),0j,0j,0j,0j,(-0.11403691673370844+0.08498610463069402j),(0.012783131881437829+0.07976406367687586j),0j,(0.013159974947883478+0.08372419965443356j),0j,0j,0j,(-0.11404564079871812+0.08468255211706334j),0j,0j,0j,0j,0j,0j,0j
18.0,0j,0j,0j,(-0.10510989931879886-0.10803331217904068j),0j,(-0.08839804183272051-0.3114691343824468j),(0.04694006401380696-0.012050794036987977j),0j,0j,(0.6459446664570815-0.19202968084918248j),(-0.084043496539923-0.31473697195900446j),0j,(-0.10613664342468318-0.11202750070210939j),0j,0j,0j,0j,(-0.19207118836744527-0.22554805308338793j),(-0.1857889142554169+0.1415434091267034j),0j,(-0.1900166055211353+0.1433796400771479j),0j,0j,0j,(-0.19133172956758504-0.22463297009727576j),0j,0j,0j,0j,0j,0j,0j
