,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.26,0j,0j,0j,(0.0751908255660459-0.08557064893225616j),0j,(0.09227642116374944+0.08718410758532653j),(0.007221184493601245-0.062472254412658454j),0j,0j,(0.12471152943617886-0.12022483953940677j),(0.2035090863688004+0.14363779952152692j),0j,(-0.15502582598325215+0.3682056571311769j),0j,0j,0j,0j,(-0.004402950039986567+0.03816436930039563j),(-0.25354255869098463+0.1731997827945546j),0j,(-0.41423865534353144-0.10178926899845803j),0j,0j,0j,(-0.0016738189720640062+0.4514822122975786j),0j,0j,0j,0j,0j,0j,0j,0j,(0.023479985359889398-0.05669657884459736j),(0.1584585527718273+0.18867248582067137j),0j,(-0.25353003541171965+0.1731791567173742j),0j,0j,0j,(0.20351992287748366+0.14360339959415527j),0j,0j,0j,0j,0j,0j,0j,(0.07230493258922775-0.08790492784052202j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.52,0j,0j,0j,(-0.21212621323117942+0.09120165009034743j),0j,(0.12122132500756712+0.20069721514798658j),(-0.03911529581239309+0.2237239362220399j),0j,0j,(-0.3727246068025677-0.011306792071203525j),(-0.26983916806406816-0.06614998256526862j),0j,(0.05346399536669118-0.29819349969844794j),0j,0j,0j,0j,(0.20422071551786217+0.25723506339726543j),(-0.0526658760746573+0.13854990270296946j),0j,(0.015416719751232252-0.20035568392361325j),0j,0j,0j,(-0.08335731862228318-0.352341829393192j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.16708856799281052+0.11158839212225688j),(0.054449968922545014-0.1737282944531836j),0j,(-0.05262048493049618+0.1385488854022534j),0j,0j,0j,(-0.26983160774566395-0.06612173950688364j),0j,0j,0j,0j,0j,0j,0j,(-0.16398600129903385+0.17673963298642487j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.7800000000000002,0j,0j,0j,(0.10974905169551225+0.008998646175772361j),0j,(-0.34125252286662083+0.3307945088543765j),(-0.1420461614374421+0.24088236383358835j),0j,0j,(0.14464704591187388+0.2886028245595471j),(-0.09193243546579596-0.29296488042818963j),0j,(0.04275680896500155-0.01783962283324747j),0j,0j,0j,0j,(-0.3355418661821792+0.31654644007036503j),(-0.06334207797941808+0.009927904576909067j),0j,(0.06725229595527613-0.17778141764191024j),0j,0j,0j,(0.08081586238438086-0.07707053679548852j),0j,0j,0j,0j,0j,0j,0j,0j,(0.15280448191982254-0.07989561683206055j),(-0.054434819144265394+0.1268560931077375j),0j,(-0.06337694455519505+0.010002749826310898j),0j,0j,0j,(-0.09193918966032687-0.2929466248447547j),0j,0j,0j,0j,0j,0j,0j,(-0.20086243972569004+0.1735847516902843j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5.04,0j,0j,0j,(0.11977984226667722-0.3546349457042626j),0j,(0.4282220341938864+0.012861351000701043j),(0.20776684277257967+0.05326596373659469j),0j,0j,(0.2302766464212835+0.1891973759883454j),(-0.0026447203001352115-0.25395674221272957j),0j,(-0.16358353937839779+0.10296727859414284j),0j,0j,0j,0j,(0.3307104834419005-0.047475033796294946j),(-0.08521944384317424+0.0228104058205036j),0j,(-0.03685722045132475+0.0019652608186017592j),0j,0j,0j,(-0.058171818649113034+0.13806930547063195j),0j,0j,0j,0j,0j,0j,0j,0j,(0.013929367929751357-0.3951718143266614j),(-0.12282530199615332-0.05140674115987498j),0j,(-0.08527113158593137+0.0228804430499129j),0j,0j,0j,(-0.0026453075807603976-0.25388092565087017j),0j,0j,0j,0j,0j,0j,0j,(0.15703577431595353+0.15950185637766895j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
6.3,0j,0j,0j,(-0.27995059263309174+0.08095817789645583j),0j,(-0.08071399643622937-0.12700120334455312j),(-0.09147714797259653+0.10752839312708999j),0j,0j,(-0.10138540096089896+0.26412227158371837j),(-0.08543744137086964+0.028634369626711457j),0j,(0.14640056808193405+0.0938402442276437j),0j,0j,0j,0j,(-0.08345512660854172-0.03614922479504076j),(-0.022102511985959545+0.09876750126674984j),0j,(0.3250949157757449-0.1595846447918546j),0j,0j,0j,(0.1588492117903574+0.011797787617529146j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.23554241950759777+0.17391135530814472j),(0.3014767314599026+0.6197076543919019j),0j,(-0.022096233287516902+0.09885501575317561j),0j,0j,0j,(-0.08542764391555771+0.028578403894344837j),0j,0j,0j,0j,0j,0j,0j,(0.004652353273692699-0.0033911976693309443j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
7.5600000000000005,0j,0j,0j,(-0.024677135825506662+0.19266882382248196j),0j,(-0.034250137185437776-0.05372924952328335j),(-0.053641637847528324-0.07783750183687363j),0j,0j,(0.09640667334825896-0.18576798490526097j),(-0.03058917557702509-0.050704288862522345j),0j,(0.06857560682589205+0.08426061313228128j),0j,0j,0j,0j,(-0.011063381608971728-0.03387756176918293j),(-0.061633207565128134+0.35449864465854897j),0j,(0.20031919613359084+0.4572270685948839j),0j,0j,0j,(0.10427658136359712+0.038542497881191254j),0j,0j,0j,0j,0j,0j,0j,0j,(0.0632234493061831+0.1756347296697295j),(-0.5419252020790432-0.18114555170932167j),0j,(-0.061600845571558455+0.35441241107114974j),0j,0j,0j,(-0.030607887836256314-0.0508054738202859j),0j,0j,0j,0j,0j,0j,0j,(-0.05577668699711413+0.022491117555809147j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
8.82,0j,0j,0j,(0.22243218860158545+0.16558910732750007j),0j,(0.06775306659138192-0.10322526447756059j),(-0.09847883846175459+0.08809327416528485j),0j,0j,(-0.03523220409600475-0.19732250767590898j),(-0.11523124622603549-0.0281799520889921j),0j,(0.010165674878931774-0.3515287260829174j),0j,0j,0j,0j,(0.17800583534756723-0.1484679250528327j),(-0.09287662266267044+0.10446117859064272j),0j,(0.5793255193672494-0.15414797714185058j),0j,0j,0j,(-0.13855434766808483-0.3500317188848755j),0j,0j,0j,0j,0j,0j,0j,0j,(0.2660711536292108+0.03565419943449635j),(0.13046468868162692+0.030111623928293953j),0j,(-0.09284914667626042+0.10453176836820015j),0j,0j,0j,(-0.1154584309543207-0.02822382419314362j),0j,0j,0j,0j,0j,0j,0j,(-0.11951552194216891+0.012492572104001488j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
10.08,0j,0j,0j,(0.17236069922510122+0.006296224111161137j),0j,(0.00925205581888398-0.09482579860638425j),(-0.00852019951127373+0.22511061745488167j),0j,0j,(0.09665166050764372+0.08159901589964198j),(-0.4131179719497805+0.2509679097181069j),0j,(-0.06529450558889632-0.28367807601406453j),0j,0j,0j,0j,(0.07106717958986063-0.14545402343877345j),(-0.12521610849787593-0.14938207433522527j),0j,(-0.09391884430134166+0.04219769124260959j),0j,0j,0j,(-0.25992352446406736-0.29097006837769923j),0j,0j,0j,0j,0j,0j,0j,0j,(0.07522240711210948-0.12302163978781029j),(0.038863981466210805-0.0665523983836004j),0j,(-0.12535203415247337-0.14922201121048778j),0j,0j,0j,(-0.41320588178561934+0.2509732989778113j),0j,0j,0j,0j,0j,0j,0j,(-0.11377379970336529+0.19398124618369156j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
11.34,0j,0j,0j,(0.09849320837091687+0.017460405518428763j),0j,(0.14590776757599716+0.3746231676559704j),(-0.2757790480151835+0.12253310319829099j),0j,0j,(-0.34823205659328427-0.04478817689170281j),(-0.27607396188842637-0.14021985937514203j),0j,(-0.06531012547391145+0.1515623496492406j),0j,0j,0j,0j,(0.11737493301106591+0.339901525421767j),(-0.11624899851372839+0.015130656464477844j),0j,(-0.030531390157271077-0.28563372495951334j),0j,0j,0j,(0.005432814824496313+0.09923491843699898j),0j,0j,0j,0j,0j,0j,0j,0j,(0.1002640650244716-0.09014296314920997j),(0.1511239365350357-0.06421418991041664j),0j,(-0.11620874140711454+0.014991993870018587j),0j,0j,0j,(-0.2762087070292286-0.14013116476753174j),0j,0j,0j,0j,0j,0j,0j,(-0.315571928304317-0.03279732280381176j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
