,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(2.2072853072224348e-18+4.662310381085427e-18j),0j,0j,(-0.3116979608833817-0.3586879633088522j),(-0+0j),(0.4858602113649538-0.33956664367326395j),(0.6396194411712426+0.11708392780887694j),0j
4.0,(1.6145003588498367e-18+6.990694842156293e-19j),0j,0j,(-0.6906240266563679-0.6127337388723043j),(-0+0j),(0.026285015322321414+0.03840167954311307j),(0.21155892444616636-0.3172901661215901j),0j
6.0,(2.151947016089879e-17-1.1910297579785304e-17j),0j,0j,(0.1796840468761849-0.6438208599658626j),(-0+0j),(-0.2536428997495698-0.6285132880188444j),(0.13642335692792518+0.2742869618591108j),0j
8.0,(-3.8457091527631886e-17+3.193762968487411e-17j),0j,0j,(-0.34143658074359623+0.6464953633004515j),0j,(-0.18291818298045187+0.2411649226138067j),(0.6015703604583686+0.10935413304915959j),0j
10.0,(4.510813616299211e-18-2.259233393890958e-17j),0j,0j,(-0.2500987558910167+0.37093525202119904j),0j,(0.6908989169681508-0.052671039821223176j),(0.5450400777549979-0.15057693331632216j),0j
12.0,(-1.2216313194693543e-17+6.1526929566882406e-18j),0j,0j,(0.2479495157971246-0.023234614321722885j),0j,(-0.35377463320931246+0.18182854377491225j),(0.3476620095565504+0.8117229866097823j),0j
14.0,(2.162884951543199e-17+1.567320325128624e-17j),0j,0j,(0.29027798597535304-0.20228696502020282j),0j,(0.44885744410665596+0.1409799750576236j),(-0.07090308148130836+0.8052596284306417j),0j
16.0,(-8.766062994559827e-18+2.4312443056724365e-17j),0j,0j,(0.8286731862459401-0.34645046310961536j),(-0+0j),(0.1651688710929105+0.2773503359749408j),(-0.020333471263044134+0.29775058708760005j),0j
18.0,(4.839834076643213e-18+3.2082669314752374e-18j),0j,0j,(0.460734919075535+0.7417231494474762j),0j,(0.4211896714262853-0.20500915244856777j),(-0.10149941725759577+0.08853519249814534j),0j
20.0,(9.420194665224541e-18-7.61388145816594e-18j),0j,0j,(0.28795998148856894+0.44960368549912283j),0j,(0.5496481688328376+0.42193102842405744j),(0.08155022554050756-0.477646557103395j),0j
