,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(-2.194199320959681e-17-3.183979816216711e-17j),0j,0j,(0.4566587858258032+0.5167431677126232j),0j,(-0.2617714575007177+0.22993810225192426j),(-0.6140416130950821+0.1612337511464337j),0j
4.0,(-3.620981415551263e-17-6.0481405729791745e-18j),0j,0j,(0.24413411772780094+0.6884435934842125j),0j,(0.19199126747081718-0.09599419874378728j),(-0.5062315641336786+0.40509014015286715j),0j
6.0,(7.721299228138848e-18-1.0746891683586957e-17j),0j,0j,(0.43944336728639877-0.06981321243760596j),0j,(0.670175722927595-0.12732572813045723j),(-0.17514358314212677+0.5531663646280333j),0j
8.0,(2.2614693607103244e-19-6.266756217043308e-19j),0j,0j,(0.5564005860264087-0.7509900045660334j),(-0+0j),(0.2724322401921006+0.1868295037315544j),(-0.0830516863738043-0.10203053141673156j),0j
10.0,(4.631045945732668e-19+3.83775753311212e-18j),0j,0j,(-0.11626141013949566-0.3565148322211934j),(-0+0j),(-0.9171221191884329+0.025960841842141813j),(0.05572200850487304+0.12036847541203621j),0j
12.0,(-1.507959496526868e-17+2.4807514487141416e-18j),0j,0j,(0.04085329100430368-0.3239339694946446j),(-0+0j),(0.3872408679523667+0.014879649888340368j),(-0.5213633328673751-0.686586610246429j),0j
14.0,(7.168889557311203e-18+1.2853349641063745e-18j),0j,0j,(-0.10725855949332075+0.23801656981994268j),(-0+0j),(-0.5986199201506743-0.22975247299718926j),(0.005041885708421956-0.7215859516686456j),0j
16.0,(2.5984632013172738e-17-2.3039647284614773e-18j),0j,0j,(0.7865905266651794-0.5189051996789996j),0j,(-0.08636994317766288+0.07804338521733359j),(0.2628049959957053+0.1714518420014682j),0j
18.0,(4.116663403671337e-18+1.2753968026122665e-18j),0j,0j,(-0.09727747581497814+0.35814246887973483j),(-0+0j),(0.7344376333538288+0.5556329275884373j),(-0.03911179708700124-0.11231537964833405j),0j
20.0,(1.9195334812218736e-18-8.468461324639719e-18j),0j,0j,(0.3040256230691271-0.09811176630399134j),0j,(0.4750403923897456+0.5582563197468143j),(0.21589853123089606-0.5603720488241901j),0j
