,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(1.2590363975245701e-17-1.1103625180881194e-17j),0j,0j,(0.6006954575701603-0.4162371591203722j),0j,(0.3250217944800602+0.3694478758083029j),(-0.020901532795858158+0.47259265834591135j),0j
4.0,(-1.711735227658192e-18-9.650937713002685e-18j),0j,0j,(0.8106044007870357-0.4384370930827445j),0j,(-0.23633091099084289-0.02291088393269916j),(0.30689582003239374-0.011452876850338578j),0j
6.0,(2.47133331870521e-18-4.409065535222427e-18j),0j,0j,(-0.46276973103451047+0.1055238141829157j),0j,(-0.48694821646498687+0.6568852438153123j),(0.05215906510696519-0.32151445308876814j),0j
8.0,(-3.673203534583195e-17-7.131355755755332e-18j),0j,0j,(-0.16677672688889045+0.7332400245949666j),0j,(-0.22764051128156637-0.034328093681458366j),(0.5456019787368135+0.2895935947260218j),0j
10.0,(-2.1032210944306498e-17+1.0970977147245965e-17j),0j,0j,(0.017816846474310893-0.2828289324797921j),(-0+0j),(-0.8124514419771727+0.4256289325504509j),(-0.12463045469218416+0.25083913351478637j),0j
12.0,(1.0866006454930239e-17-2.908937704133275e-17j),0j,0j,(0.08075487685044162-0.2786877351360739j),(-0+0j),(0.3326411814631605+0.29229050491452235j),(0.15948334515462448-0.8332424400494087j),0j
14.0,(-7.354015178524655e-18+3.8649393066629404e-19j),0j,0j,(0.1423173964910026+0.011097628068881246j),0j,(0.7166059414583543+0.36154275759252186j),(-0.3299054819916949+0.4759703072231241j),0j
16.0,(8.915597126556005e-19+2.4241687613393143e-18j),0j,0j,(0.7372377390464583+0.41271892655622255j),0j,(-0.24155921684545698+0.45144406903851747j),(0.1300537279054449-0.08412507909534092j),0j
18.0,(3.6210236650304944e-18-1.0481475378661974e-17j),0j,0j,(0.09429077957194709+0.6224378041305009j),(-0+0j),(0.7308272975469043-0.22344609641167623j),(0.017820177057841786+0.1390186078379951j),0j
20.0,(1.9064858650462193e-18-8.64092328534038e-18j),0j,0j,(0.02794705783361956+0.447167645784627j),(-0+0j),(-0.3099271301028045+0.43912158944132024j),(0.7142397726918936+0.015459926897572251j),0j
