,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(5.49738198507965e-17+5.932986957205503e-18j),0j,0j,(-0.41668283377612714+0.44667508147608675j),(-0+0j),(-0.3420267892705669-0.41044290077886736j),(-0.08143027625333452-0.5786019342824815j),0j
4.0,(-2.5448621258578905e-18-1.273982054710019e-17j),0j,0j,(0.8891765313174307-0.18397878980759574j),0j,(-0.04831126651366602-0.2086919834924189j),(0.1567819634326736+0.3241141690072728j),0j
6.0,(-3.001350293285489e-17+2.3273299425454962e-17j),0j,0j,(-0.055535786571083934-0.6299665809702198j),(-0+0j),(-0.33718132860035716-0.6110945573801839j),(-0.029837128121318446+0.3347235017737901j),0j
8.0,(3.309904761799268e-18+7.000442056083551e-18j),0j,0j,(-0.043698462846688824+0.7740305245318855j),(-0+0j),(0.11471851206375547+0.13320739746765042j),(0.5867951903676202-0.1540585870665195j),0j
10.0,(2.783594655279196e-17+4.04915371557665e-17j),0j,0j,(-0.26470103857299426+0.29013108600209714j),0j,(0.6578564001897163+0.037704296232012824j),(0.6013762441366026-0.2233993484253069j),0j
12.0,(4.078881767238113e-18+3.475568643599981e-17j),0j,0j,(0.22388089377628248+0.06643594540389454j),0j,(-0.25781464184307984-0.008121597413617399j),(-0.11873599631999965+0.9299629153062487j),0j
14.0,(-2.234116196040226e-18-1.4941612391053494e-17j),0j,0j,(-0.20706236324923763-0.3730606955039795j),(-0+0j),(0.2727754784746336-0.4179577469610275j),(0.7308221234020412+0.1864263373025824j),0j
16.0,(1.0608366682705948e-17-1.3803521142635228e-17j),0j,0j,(0.9457163568286264-0.1880166088984042j),(-0+0j),(0.03101043584341677+0.1359239712220311j),(0.00815595389374743+0.2253149674061859j),0j
18.0,(5.465787557329112e-18+2.4142206776348512e-17j),0j,0j,(0.4988479919041621+0.5217561758509682j),0j,(0.636451151641968-0.19484055541944362j),(-0.16168198912735018-0.09872789810300525j),0j
20.0,(-2.2292574330052274e-17-1.6327584508942575e-17j),0j,0j,(0.17409275705349928-0.5426183397633741j),(-0+0j),(0.043656965863351965-0.4023163651259646j),(-0.71122526369633+0.07517503081126298j),0j
