,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(-7.200147484539415e-18+1.3365318309083517e-18j),0j,0j,(-0.3958648753824885-0.5237638547119716j),0j,(0.5152700514502419-0.3136221859060895j),(0.4525568583957658+0.017105947520372755j),0j
4.0,(1.537045193256721e-17+1.827261007691611e-17j),0j,0j,(0.367532536229019+0.63842754785646j),(-0+0j),(0.29609733697951285-0.3228024911888139j),(-0.09434085665974598+0.5065124109355008j),0j
6.0,(1.421873905393308e-17-1.7125480135415358e-18j),0j,0j,(0.4602171787603687+0.2273357288734234j),0j,(0.7393430718958626+0.30204010055097336j),(-0.2702391914825823-0.1601030725408603j),0j
8.0,(-1.8977677248664014e-17+1.3569357485913036e-17j),0j,0j,(0.7235294601577602+0.32160793718127767j),(-0+0j),(-0.02181569793068476+0.0046813887832805965j),(0.2739755763478535-0.5454475213194584j),0j
10.0,(-4.837821702611927e-19-2.3186264823741127e-17j),0j,0j,(0.1207421520650136+0.3303851253598514j),(-0+0j),(0.7418199078380129-0.5416656038846921j),(0.062129854650254376-0.16943577166654222j),0j
12.0,(1.9050907221136918e-17+4.5298004103231125e-17j),0j,0j,(-0.04860665798165417+0.22308733024084137j),0j,(-0.23421481002012634-0.018328303568327042j),(0.5708569864313437+0.7528606995878696j),0j
14.0,(-8.450329252278496e-18-2.5791628363754175e-17j),0j,0j,(0.05952031901337462-0.3444572838393431j),0j,(0.4366691718451648+0.5681181594276147j),(0.07185447921734484+0.5993373310078474j),0j
16.0,(-1.542306170489133e-17-3.5648101992572e-18j),0j,0j,(0.09343157787379897+0.7739599061150789j),0j,(-0.07453220317572144-0.22876432281903009j),(-0.4576920372233535+0.35339275366030226j),0j
18.0,(-1.1865389311262763e-17-1.9179098892130736e-17j),0j,0j,(0.3971802510709002+0.25891284567430084j),0j,(0.7391091341580011+0.08394153128253223j),(-0.36668973123957876+0.29567234337640025j),0j
20.0,(2.1282266644135803e-17+7.089288958966812e-18j),0j,0j,(0.024253411938223668+0.8916068090278587j),(-0+0j),(-0.31184045930407434+0.11443452880446571j),(0.3067093024112061-0.0062241848678536715j),0j
