,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
1.0,(-1.1564083007225045e-17-3.5625204081832454e-17j),0j,0j,(-0.11184619462767732+0.20341724849997786j),0j,(-0.3709817921275379-0.203979269366755j),(0.0010193480951165013-0.8757144399105866j),0j
2.0,(-1.3432488288157667e-17+3.1026019255851544e-17j),0j,0j,(-0.4700622225466391+0.37864038825296337j),0j,(-0.34012660117004706-0.4222493718404201j),(0.03141804219836808-0.5836996086168497j),0j
3.0,(-1.3965413318562525e-18-2.4339511133432028e-18j),0j,0j,(0.8228437733934402-0.30551347591241945j),0j,(0.10195924977008669+0.2746082920323707j),(0.012664713296415386+0.378977364751592j),0j
4.0,(1.3115154461322075e-18-7.874708494219028e-19j),0j,0j,(-0.11241261704807104-0.9350594469564637j),0j,(-0.08588253440029753+0.010324777191527544j),(0.3176554553925496-0.06811633509045129j),0j
5.0,(1.392439773150762e-18+6.95430967909498e-19j),0j,0j,(0.06936753429560422-0.8667715281896398j),0j,(-0.40790409524024046-0.03264447480755739j),(0.25876184285934556-0.09739691543555094j),0j
6.0,(-4.140081680924133e-18+3.826757350471429e-18j),0j,0j,(0.5807786022058589+0.2389402185705642j),0j,(0.2933063470919896-0.7129233048386346j),(0.0507074232695968+0.09351092218628772j),0j
7.0,(5.5213318143645845e-18-9.423876732168894e-18j),0j,0j,(0.08497923388948457+0.09684305253934943j),0j,(0.7190767841038309-0.6309858334548981j),(-0.14449018149023576-0.21750401600305241j),0j
8.0,(4.268294437942614e-17-3.092009324679746e-17j),0j,0j,(-0.05271164748160177-0.24061381365172177j),0j,(0.6483972453946021-0.1420454067394204j),(-0.38168894722934876-0.5941751737085841j),0j
9.0,(-1.8427651722363077e-17+2.004513835642477e-17j),0j,0j,(0.07965353767633851-0.2665406282631993j),0j,(0.19709605413699482+0.05890058140988612j),(-0.5630794213921487-0.7504910656220967j),0j
10.0,(-1.3599423823046326e-17+4.0998156961345565e-17j),0j,0j,(-0.013704170680652977+0.04684640630775728j),0j,(-0.4224138608765132-0.12357045296699237j),(0.1553508624657325-0.8830518629990469j),0j
