,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(5.887846720064157e-17-5.887846720064156e-17j),0j,0j,(0.3845994212432518-0.36915718545799503j),0j,(0.4036037118020261+0.43237615201989776j),(-0.042830528037734295+0.6034291262908924j),0j
4.0,(2.4532694666933987e-18-2.4532694666933983e-18j),0j,0j,(0.8025597720367104+0.4167675496067098j),(-0+0j),(-0.05687965532255746-0.12497279968199303j),(-0.026741739771308642+0.4032790664133671j),0j
6.0,(-1.9626155733547187e-17-1.5407439555097887e-33j),0j,0j,(0.4889631353793755-0.29904458072088946j),(-0+0j),(0.32438122397667235-0.6800380902128609j),(-0.06521434460401274+0.3155305019017145j),0j
8.0,(-1.7172886266853793e-17+2.2079425200240586e-17j),0j,0j,(0.54836791158218-0.5653785597878592j),(-0+0j),(0.12221774815914593-0.05732975280705934j),(-0.4819641954786236-0.3593415553951914j),0j
10.0,0j,0j,0j,(-0.39516756657907803+0.19594277366576396j),(-0+0j),(0.6406764664587518+0.35620638858102827j),(0.5066399488912587+0.10684409211364551j),0j
12.0,0j,0j,0j,(0.16586551610444772+0.026075735247515178j),(-0+0j),(-0.4200459445995465+0.06706823656196995j),(0.05797211881134523+0.8874182644667463j),0j
14.0,(-3.925231146709438e-17+3.925231146709437e-17j),0j,0j,(0.22230493608113422-0.29428823750998107j),(-0+0j),(0.47485577353248964+0.07650307633453385j),(0.1261969950839138+0.7853079273401199j),0j
16.0,(-5.887846720064157e-17-6.162975822039155e-33j),0j,0j,(0.12570758524721637-0.9193078652240927j),(-0+0j),(0.21731960671383926+0.1385613924494146j),(0.26934568404608483-0.009822601203518577j),0j
18.0,(1.2266347333466993e-18-1.2266347333466992e-18j),0j,0j,(0.6649532408564032+0.20401906578731513j),0j,(0.4591927448511311-0.49173716301742576j),(-0.12657863675293335+0.2180088130587032j),0j
20.0,(1.962615573354719e-17-1.9626155733547187e-17j),0j,0j,(0.07532663096669756+0.6892851632989456j),0j,(-0.055213709871628824+0.47527944609025j),(0.4568254371350762-0.28562786396963324j),0j
