,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
1.25,0j,0j,0j,(0.08888207718773979+0.051503478964646354j),0j,(-0.0893050410289806+0.07729407015038807j),(0.06945089205149386+0.01596134043218235j),0j,0j,(0.14003869227512036+0.10693625179338834j),(-0.1256258776644609+0.21240904981417177j),0j,(-0.37171933763910825-0.06509577052584219j),0j,0j,0j,0j,(-0.04624633128783256+0.030252545916719713j),(-0.22903581637085302-0.24950248165813402j),0j,(0.3712790715814841-0.23758901829919435j),0j,0j,0j,(-0.4067050816519231+0.03192982730498077j),0j,0j,0j,0j,0j,0j,0j,0j,(0.06834490766358867+0.022597734794170456j),(-0.18681071200394578+0.18416098273893403j),0j,(-0.2325619564741174-0.24178641617492147j),0j,0j,0j,(-0.12560673685246343+0.21239434215186362j),0j,0j,0j,0j,0j,0j,0j,(0.09358442381193109+0.03722341468003809j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,0j,0j,0j,(0.22869049793340562+0.02532708488958746j),0j,(-0.0951521268982064-0.23896743494927625j),(0.15537869800635817-0.1109239087716474j),0j,0j,(0.4077758420703389+0.23348035085480412j),(-0.0034343688091545872+0.1619244350041683j),0j,(-0.036716472243064596+0.1757026614183938j),0j,0j,0j,0j,(-0.061722846441583816-0.2831916053277796j),(0.0005126066873057077-0.16783596956489202j),0j,(0.31664031027246187+0.1595025432326453j),0j,0j,0j,(0.02379403794851786+0.21832985882366585j),0j,0j,0j,0j,0j,0j,0j,0j,(0.21104411051553693-0.018411308222199125j),(-0.34902581013548645+0.16997911096759113j),0j,(0.0015756302406682854-0.12440297482429918j),0j,0j,0j,(-0.0033499921372602826+0.16205444291075233j),0j,0j,0j,0j,0j,0j,0j,(0.1717520388220794-0.11070142980437353j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.75,0j,0j,0j,(0.06438835091775365+0.11987627123374839j),0j,(-0.13908794928772544-0.43631415684010494j),(-0.21513605850208073+0.011583537162024593j),0j,0j,(-0.011333393261295961+0.29389919745288895j),(0.04240783346675916-0.0107676930894513j),0j,(0.07846659942444142-0.15004394560080422j),0j,0j,0j,0j,(-0.11379783149948866-0.41218876700032675j),(-0.15160874006989325-0.0508901967471202j),0j,(0.24085165373991707+0.007676785604378983j),0j,0j,0j,(0.08941245628532254-0.19523007511208143j),0j,0j,0j,0j,0j,0j,0j,0j,(0.0990594674189333+0.09974492552577882j),(-0.40831959444336563+0.13065431818563433j),0j,(-0.13359586049452696+0.005677924579350999j),0j,0j,0j,(0.04277163944576712-0.010618598599290166j),0j,0j,0j,0j,0j,0j,0j,(-0.2677011049609646-0.02480100490191124j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
5.0,0j,0j,0j,(0.20783322876757573+0.08407265478375416j),0j,(0.17681283858664995-0.22860849535887956j),(-0.07761678166325271+0.2447938876754518j),0j,0j,(-0.13526934636923754+0.14682169789671665j),(0.21617004161356884+0.3011155410819901j),0j,(-0.07558164470686733-0.26375170799745207j),0j,0j,0j,0j,(0.21471988849097834-0.17805818489183492j),(-0.04254191724088369+0.0025181714147487107j),0j,(-0.0063966258461675+0.20670354577512481j),0j,0j,0j,(-0.17769138102071075-0.24948940252085094j),0j,0j,0j,0j,0j,0j,0j,0j,(0.24473114047698144+0.043226577151058224j),(-0.14944483597745517+0.1923907969587302j),0j,(-0.05607017903797927+0.048289783502517725j),0j,0j,0j,(0.2163292968994489+0.3009970547041659j),0j,0j,0j,0j,0j,0j,0j,(-0.10096929888768089+0.23946214698970594j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
6.25,0j,0j,0j,(-0.05364498658787785+0.11418800677642504j),0j,(-0.3028747976016804+0.22019072706773943j),(-0.08547047316281646+0.006680930674896272j),0j,0j,(-0.15874771977157337+0.2971610541895176j),(0.13009599376606135-0.2936672150737832j),0j,(-0.08990136191231593+0.13334133993383504j),0j,0j,0j,0j,(-0.2705466625476617+0.22523219464712077j),(-0.18291159205845578-0.09847945920146065j),0j,(0.37341903679695665-0.004414854688446879j),0j,0j,0j,(-0.016954028152809317+0.15207816909952207j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.08750470134899457+0.1501646078357658j),(0.1690561446169188+0.25164023073605724j),0j,(-0.11438371962826452-0.10330263007742521j),0j,0j,0j,(0.13022518110002712-0.2936359126905815j),0j,0j,0j,0j,0j,0j,0j,(-0.12000419870156709-0.02410225836190832j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
7.5,0j,0j,0j,(0.2828711537481452+0.22915451085527133j),0j,(-0.2836987798329198+0.021842476996047244j),(-0.004732214050256443+0.060300366940241865j),0j,0j,(-0.21941789275414594+0.18905448399072336j),(0.25272149438475805+0.05405798916950033j),0j,(-0.013748666192489503-0.1256491394672068j),0j,0j,0j,0j,(-0.25458925341002747+0.13010095530265472j),(0.3234927292243662-0.21454966976336148j),0j,(-0.003257339176047598+0.14153036087816917j),0j,0j,0j,(-0.02726873234580296-0.1208514718727074j),0j,0j,0j,0j,0j,0j,0j,0j,(0.3168075759246446+0.19500616518756914j),(-0.05876710519162913+0.035700512040194976j),0j,(0.32129150888994856-0.17530671030182357j),0j,0j,0j,(0.25298603564647837+0.05398450755992571j),0j,0j,0j,0j,0j,0j,0j,(-0.03648315101700938+0.05528895986003851j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
8.75,0j,0j,0j,(0.03729707492845683+0.10693206295135775j),0j,(0.033641996950875615-0.24590689234165042j),(0.009611458603520574+0.018950755449261204j),0j,0j,(-0.27759105986977095-0.09984258709549163j),(0.1003678861281812+0.2179638039978482j),0j,(-0.05260320923827484-0.1520211083437236j),0j,0j,0j,0j,(0.006040753562654775-0.18848791508210794j),(0.12869048123817817+0.044202973687593475j),0j,(-0.14541917292861734-0.3043584504507409j),0j,0j,0j,(-0.07466828031678918-0.14899897980892976j),0j,0j,0j,0j,0j,0j,0j,0j,(0.15082657162147906+0.13745645775938176j),(0.4418552961944477-0.5118790099646873j),0j,(0.03693142008905649+0.001398780099978072j),0j,0j,0j,(0.10046773067408801+0.2180057362447042j),0j,0j,0j,0j,0j,0j,0j,(-0.012348106451513265+0.031019653847034763j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
10.0,0j,0j,0j,(-0.00025919645813057834+0.282327851067j),0j,(0.04312581586264421+0.09818018871145451j),(-0.054699113999837616-0.10264456318575224j),0j,0j,(-0.09603547730168098+0.014847818003937682j),(0.4432714863079914+0.02794357916830563j),0j,(0.10681210570887367+0.011073135604238596j),0j,0j,0j,0j,(-0.028127272523078076+0.10242578117362504j),(-0.07154238282084155+0.15067210851322363j),0j,(-0.03232859948860275+0.2774867565752039j),0j,0j,0j,(0.09677111187908852+0.025503655656069213j),0j,0j,0j,0j,0j,0j,0j,0j,(0.001522069129292196+0.2400266110740922j),(-0.27345028192832344-0.35366559938103137j),0j,(-0.11939780233381979+0.24082916960911016j),0j,0j,0j,(0.4434761327565158+0.028062399129605516j),0j,0j,0j,0j,0j,0j,0j,(-0.008550084947389416-0.15033713200750243j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
11.25,0j,0j,0j,(-0.04831951635634338-0.19924780459305336j),0j,(0.09725934449695847-0.08395870989369353j),(0.0360163993867842+0.28416934855255893j),0j,0j,(-0.36335356062065177+0.24653887791380044j),(-0.04723129268810147-0.1044040113254275j),0j,(-0.2616656221036728+0.18871462873009534j),0j,0j,0j,0j,(0.18923684028908672-0.0391013285232903j),(0.024562828569845308+0.0017527797978588314j),0j,(0.2388895643755718-0.08074954848496059j),0j,0j,0j,(-0.22433474629674616+0.2483013540593294j),0j,0j,0j,0j,0j,0j,0j,0j,(-0.03428781275277483-0.2416953893476827j),(-0.35745869339637054+0.21501156347753783j),0j,(0.06462755114821842+0.04065664125963416j),0j,0j,0j,(-0.047415483055855516-0.10465893877777j),0j,0j,0j,0j,0j,0j,0j,(-0.01844305420226795+0.2879280318645745j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
