,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(8.434036193375849e-17+6.248237742283317e-17j),(1.2349666464741675e-17+1.4260765572600515e-16j),(-2.6415203130229153e-17+2.9259195156973136e-17j),(-0.37966112019948645+0.3614817356484664j),(-9.663398267187755e-17-5.4605224982674524e-17j),(-0.512523909531023-0.4709917057038216j),(0.08654259385187675-0.4828921446535165j),(-2.513492936294166e-17-5.845319686511092e-17j)
4.0,(2.0810139200697768e-17-1.1729483081244306e-16j),(-9.677281399438837e-17+7.098534826246592e-17j),(9.362551580501068e-19+5.577323526797297e-17j),(-0.16022234736201302-0.913814384125319j),(2.706814258138304e-17-6.900359174198292e-17j),(0.0006187906142119174+0.025702352198843773j),(0.3609072413618638-0.09141684797487953j),(1.2631844399060448e-16+6.708365273123693e-17j)
6.0,(7.238519554075586e-17-7.335611988271611e-17j),(-4.484219958545414e-17+1.8536104396966314e-18j),(-2.8111854163112583e-18+7.137420748257597e-17j),(0.5602675684832283+0.4972781535813435j),(5.206708901456958e-18+2.5150744745940983e-17j),(0.5897221361037756-0.11454197296015395j),(-0.2659772947843501+0.08472725037090942j),(-2.4078211946881766e-17+2.865616741226848e-17j)
8.0,(-7.881922998567977e-17-7.652286479492202e-17j),(-1.5278642435540032e-16+9.876711491241838e-17j),(3.161655922772665e-17+6.031674939030466e-17j),(-0.6272678058752604+0.3291351484817028j),(5.093813972298704e-17+9.169846327903303e-17j),(-0.3890618158652249+0.28271519478831736j),(0.4659835572475942+0.2230863066006072j),(2.368332291371501e-16-1.3584315788756115e-16j)
10.0,(2.3252694986795936e-17+7.447211693847916e-17j),(2.163939771329053e-17+1.6553594431832617e-17j),(7.35513864128574e-17-2.8106558641690235e-17j),(0.07233003501210855+0.5632031246550498j),(6.316535111178086e-17-1.789325826385064e-17j),(0.28082895934447605-0.18578145601050328j),(0.6468312534662977-0.38183803130289395j),(-8.135636904692296e-17+5.667506212264426e-17j)
12.0,(-6.4112608896052955e-18+3.197744027863006e-18j),(8.480135746743066e-17-7.685580189212452e-17j),(-2.4123488690805315e-17-8.33061421299244e-17j),(0.24976458342102384+0.03460918489315657j),(-5.79651561905505e-17-1.3863364726026754e-16j),(-0.4495339241243907-0.5626709973734407j),(-0.6463091299206069-0.0049965535047159886j),(-2.6837078865579195e-17-1.2806601763464372e-16j)
14.0,(1.7903934389043796e-16-9.597629056307943e-17j),(3.6172831051817285e-17+2.967907975944544e-17j),(-7.686575753868885e-17+6.321792378097373e-17j),(0.21184652275259583+0.10865158728492906j),(5.249451691193494e-17+5.903315866271158e-17j),(-0.10066183264679734+0.21972345729796033j),(-0.8933354535403688+0.2947141811775298j),(5.381861848003549e-17-1.641052409259505e-18j)
16.0,(1.8616853488050106e-17-2.5988900818522425e-19j),(3.3934868545681657e-17-4.5929549319525165e-17j),(-4.2540602943158145e-18+1.0620907531891233e-16j),(0.2087117756932449+0.9245546918232388j),(-4.749924721391956e-17+1.720998566313538e-17j),(-0.1536628885151304+0.03839024089908818j),(-0.2764089878727901+0.012247205176888898j),(1.7802274081870892e-16+4.51301504636851e-17j)
18.0,(-1.933377358761394e-18+2.0933705098877854e-17j),(-1.248954038561499e-16-5.1901154994873444e-17j),(5.703578668115517e-17+4.23419346174339e-17j),(0.15668420626073779-0.787735049943703j),(2.58755139234226e-17-6.417338219215753e-17j),(-0.530432128396345-0.183192621159926j),(0.19953910310948045-0.013781061148462833j),(1.724213941538782e-16+1.263739356198471e-16j)
20.0,(-1.0883756014993983e-16+2.0427185123345115e-17j),(5.559562112144957e-18+4.528934167584019e-17j),(7.482544621103093e-17-1.5034126404204913e-17j),(0.4644118106070797+0.36896125827570564j),(-2.0195919391182203e-18-2.0438697982740426e-17j),(0.43649151127066094+0.40325627606978043j),(0.07139438310444403-0.5384715763347078j),(2.8938166813729684e-17+1.526128196940448e-17j)
