,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(-3.779973160641214e-17-2.781564457958361e-18j),0j,0j,(0.464227527914739-0.3809867950271862j),0j,(0.3157741992630829+0.43616845030946527j),(-0.016693407712838337+0.5908527164314421j),0j
4.0,(-2.1913432901444436e-17-1.6774304556960657e-17j),0j,0j,(-0.17178016259482376-0.8901508711310278j),0j,(0.039568817304778535+0.10189188532162122j),(0.3634315913023069-0.18464244693392606j),0j
6.0,(-1.0500458014162718e-17+1.8396998779386867e-17j),0j,0j,(0.6017442849770546-0.014737066761646767j),0j,(0.6764589744503555-0.14850489405038741j),(-0.34532358595015733-0.19694620503045146j),0j
8.0,(1.2376575088177683e-17-1.4065246747970566e-17j),0j,0j,(0.44390655635987075+0.3368379753917173j),(-0+0j),(-0.005711131055337215-0.27539380857343276j),(0.31786896182619256-0.7159414109015876j),0j
10.0,(1.7653811332644546e-17+1.1409207403064189e-17j),0j,0j,(0.1245211195120114-0.33223985097297026j),0j,(0.026529914050479386+0.7034874131900026j),(0.4195908218019558+0.44995148363374105j),0j
12.0,(-4.279364809995199e-18-3.5377066047628914e-17j),0j,0j,(0.44495331897584584-0.4035618014090826j),(-0+0j),(0.11999123468998527-0.024179675949098117j),(0.40280770470050475+0.6796453606685733j),0j
14.0,(-1.559209605649695e-17-3.0122228772763955e-18j),0j,0j,(0.8150222410123709-0.45860422938409484j),(-0+0j),(0.25160089542078007-0.11898661325061811j),(-0.2102752694703456+0.06119145190283583j),0j
16.0,(-7.707458345342947e-18+5.24879804413668e-18j),0j,0j,(-0.5418795864460701-0.3585950739590368j),0j,(-0.34779795826832616+0.3442775302188728j),(0.06376598891507163+0.5781172439858624j),0j
18.0,(9.062649498120048e-19-1.5844989632404195e-17j),0j,0j,(-0.27306746003789006+0.3233203132139042j),0j,(0.23587650600028665+0.2862367112132446j),(0.8266260725286178+0.004276987088242978j),0j
20.0,(-2.0691044219227757e-17-1.437073792665117e-17j),0j,0j,(-0.29459349651048944-0.1319243644796871j),(-0+0j),(0.5156482638087149+0.13089208535847546j),(0.764520239750907-0.16820691693012613j),0j
