,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(7.991821704568877e-18+5.100875100345794e-18j),0j,0j,(-0.558196907409488-0.11365871970426608j),0j,(0.16404741592258465-0.5422553259261279j),(0.48912223805253097-0.3395658273001344j),0j
4.0,(1.3120227306865097e-17-2.3592519915926685e-17j),0j,0j,(0.8746998212381336-0.13260154938088398j),(-0+0j),(-0.09095512377027001-0.09764100909756533j),(0.20202069162266723+0.39836928946193784j),0j
6.0,(1.66180701111469e-17-3.0091756266470353e-17j),0j,0j,(0.1904453710116877+0.6080955841641567j),0j,(0.4365086580593355+0.5429661052922983j),(-0.23491498903392238-0.23111310878099753j),0j
8.0,(-2.3547395891652966e-17-4.809952124708426e-19j),0j,0j,(0.7306080202775977+0.3851513313266637j),0j,(0.1364311431371035+0.04259026031052014j),(0.12769572168994367-0.5302233380891652j),0j
10.0,(-1.0544418161946182e-17+1.7781718062838828e-17j),0j,0j,(-0.44131274847386925-0.07031009318043288j),0j,(0.22612889998984095+0.694491997369916j),(0.366189077150927+0.3643510598108365j),0j
12.0,(4.400125259765997e-17+3.1275893401179956e-17j),0j,0j,(0.12006369624195845-0.012336495483360112j),0j,(-0.3152876789725036+0.15354803453650748j),(0.40195614600861684+0.8371860348739184j),0j
14.0,(2.555650296687534e-17+5.549328738150277e-19j),0j,0j,(0.27438673609449565-0.24040305890976577j),0j,(0.4265432929312016+0.1950448275852048j),(-0.04812335656874367+0.8028827843231285j),0j
16.0,(1.5554201203076806e-17+1.9264883959220324e-17j),0j,0j,(0.5806693121245361+0.7088560110420972j),0j,(-0.21587988394382682+0.084835990806458j),(-0.2575432863371991+0.20054049865607104j),0j
18.0,(-1.0580625604379277e-18-9.56503437781759e-18j),0j,0j,(0.33866194669189353+0.6456326584101388j),(-0+0j),(0.6211538465134068+0.021454463506818844j),(-0.2790886370079084+0.06544993435761148j),0j
20.0,(-1.5178960709837393e-17-8.306517715853743e-18j),0j,0j,(0.5745167609991636+0.37142530862324874j),0j,(0.36092018175662566+0.316290975880474j),(0.054546111056168106-0.5465300487540871j),0j
