,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,0j,(-2.0799563261889774e-17-2.9649859591567666e-17j),(2.28450727507179e-17+1.2382481420364009e-17j),(-0.0638028788420108-0.38207457015317187j),(-1.9156573278723233e-17-1.6394031431969233e-17j),(-0.47089476996531826-0.34511764297156255j),(-0.06287767248272236+0.13308444975148798j),(-8.171028742598668e-34+1.3618381237664449e-33j),(1.9196429237930162e-17-2.7535409820738238e-17j),(-0.06803543223813313+0.16196136625897237j),(0.30287878314722577-0.4794095523573946j),(-1.906573373273023e-33-2.4513086227796006e-33j),(-0.31988296775859115+0.18077770251248598j),(1.9025369015832977e-34-1.5291746187117217e-33j),(-1.893606807839239e-34-2.3559486175873263e-35j),(-2.4532694666933986e-17-1.471961680016039e-17j)
6.0,(-3.0665868333667113e-19-3.955897015043105e-17j),(2.6549348476491362e-17+1.402999513744255e-17j),(-1.019733875580686e-17+2.548140027149854e-17j),(0.32578326382926504+0.29247347411449603j),(-1.2032421341003903e-17-1.2495555477638757e-17j),(-0.14316250282460988+0.012542668430283718j),(0.1297167120912921-0.3189337600938634j),(2.2427771600778638e-33+6.085714115581298e-34j),(3.917719199408223e-17+1.6082066674138417e-17j),(0.2106088107685041-0.3257936157504845j),(0.5643477180236736+0.42867592046129027j),(-4.357881996052623e-33+3.268411497039468e-33j),(-0.0873046103288093-0.09357085355376843j),(-7.727700055253807e-34+5.722453688217743e-34j),(-3.0479083285276236e-34-4.115947920603817e-34j),(-1.4796281470994562e-17-2.4609359337768152e-17j)
9.0,(3.311913780036088e-17-7.237144926745525e-17j),(1.2253294009094986e-18-2.916719861172804e-17j),(-1.0083653846006907e-17-3.674209192294851e-17j),(-0.09061953443807305+0.11368688493402986j),(2.0695276700675714e-17+2.1158846739408224e-17j),(0.5545868115958423-0.24211343608204225j),(-0.424385328767531-0.17869252358007603j),(4.085514371299335e-34+4.085514371299334e-34j),(-1.7506218908420717e-17-1.621888351177692e-17j),(-0.32077565857789186-0.08492413967921311j),(-0.43139069458995566-0.3114250101684457j),0j,(-0.0569534196886883+0.06486699006732857j),(1.440329648730931e-34-2.913653202634061e-34j),(-8.137543921594121e-34-8.79660929448611e-34j),(-1.8399521000200487e-18+1.839952100020049e-18j)
12.0,0j,(2.1428223586713336e-17-1.0179347278893992e-17j),(-2.674319593847525e-17+1.294719921325374e-17j),(0.11961282334874818+0.33435570634710954j),(-3.6114017909012165e-17-2.856084963872814e-17j),(-0.1648467903739001-0.5439216120712549j),(-0.18044513571027757+0.07694232672951487j),(3.8131467465460455e-33-5.447352495065782e-34j),(-1.3499320576385516e-17-1.267677180619506e-18j),(-0.37223338932879807+0.14242229859223607j),(0.1710764554561005+0.1048117737318254j),(-8.552847072295026e-50-1.0894704990131558e-33j),(-0.5199670388108747+0.20720301847067818j),(4.542134689706467e-34+3.189754983186735e-34j),(-1.360373550060561e-33-1.7839802177612612e-33j),0j
15.0,(-1.5407439555097887e-33+1.4719616800160393e-17j),(3.2654363965304055e-18-2.0214168363690132e-17j),(-2.0323188470586418e-17-1.4958204298962585e-17j),(-0.03788658510740521+0.011034730518665763j),(-1.2168804864613638e-17-3.9775041151013526e-17j),(-0.24773239792973534-0.10371646292838772j),(-0.348678837827362-0.2995733146997597j),(4.357881996052623e-33-4.357881996052624e-33j),(2.7832923295214124e-17+1.3730935297481789e-17j),(-0.19930070733414013-0.19807101587387002j),(0.35984631451296173+0.4184523299043312j),(1.634205748519734e-33+1.6342057485197336e-33j),(-0.2492649845751668-0.5189562974053475j),(-1.406102572309342e-34-1.0047777912545161e-33j),(4.0238085576704216e-33+5.443721921652241e-34j),(-9.813077866773595e-18-9.813077866773593e-18j)
18.0,(9.813077866773587e-18+5.887846720064156e-17j),(7.240510521938878e-19+6.206236396795824e-18j),(-6.416539416593194e-18-7.204586995109458e-18j),(-0.16244555722297224+0.08003708704515647j),(-4.310470095493156e-17+2.7725998549690062e-17j),(0.3114048696863922+0.6318082294767413j),(-0.36573237253850155+0.019500022725628258j),(5.447352495065779e-34-5.44735249506578e-34j),(-1.2395569921916175e-17-2.892893691410297e-17j),(-0.46000782025155346+0.15402747619295612j),(0.0021289782088739773-0.29884589251619276j),0j,(-0.05741813477951268+0.09470245186604037j),(8.414604472823494e-35+2.8901310509671117e-33j),(2.2199241635629886e-33-3.854840337636286e-34j),(-7.703719777548943e-34-9.813077866773593e-18j)
21.0,(-9.813077866773595e-18+9.813077866773593e-18j),(-9.384730253698437e-18-2.2370425867331282e-17j),(-4.729705623485658e-17+1.3609830320420438e-17j),(-0.21259425364133672+0.5287197044464813j),(6.356094472286595e-18+2.4899718443597978e-17j),(0.5329170185821965+0.1597805541264791j),(-0.3152825401883458+0.048550993092310785j),(5.44735249506578e-34+5.447352495065779e-34j),(-6.980524559290204e-18+5.433938973381445e-18j),(-0.27604234379590087-0.13425057865769252j),(-0.18905592850933406+0.35934493232518766j),(1.702297654708056e-33+1.5661138423314115e-33j),(0.047414075053352135-0.05125321214905969j),(1.384934688826153e-33+1.759996359859775e-33j),(-4.939609160468062e-34-2.8570647765571072e-34j),(-5.1058670775556356e-17+2.161943717523558e-17j)
24.0,(-1.9626155733547183e-17-5.887846720064157e-17j),(2.989251565723522e-17+7.017449741803334e-18j),(5.048021490105859e-18+2.4988475804022073e-17j),(0.5129362779298471+0.0006992898840546546j),(-1.9235683666771547e-17+1.0548414676785373e-17j),(-0.0423865448420162-0.048220254253163786j),(-0.10410475990342007+0.1719627892108939j),(8.17102874259867e-34+1.3618381237664447e-33j),(3.84626185172341e-17-1.4001154165328076e-17j),(0.004760052167111655-0.0010268425007973502j),(0.5878862027165596-0.5693597858531934j),(2.178940998026312e-33+2.1789409980263115e-33j),(-0.003838851698179546+0.1501528201190526j),(-2.9676088141366393e-34-7.944203543466075e-34j),(1.388321505305326e-33+4.1519796759087065e-34j),(4.9065389333867974e-18+4.906538933386797e-18j)
27.0,(-2.4532694666933986e-17-4.9065389333868e-18j),(1.1223205198994118e-17-2.9275498053126576e-17j),(-7.04300556814017e-18-1.5564612282511297e-19j),(0.022538000922202275-0.0850446515728332j),(-3.7726886605205626e-18+2.445918977973419e-18j),(-0.38982696846156295-0.38517059004940585j),(-0.0461278614762476+0.23179092779686042j),(8.51148827354028e-34+7.830569211657058e-34j),(-5.1482412352100645e-17-6.789823365974909e-18j),(0.08242069229899818-0.03769419186516423j),(-0.5621677916234677+0.547047553254615j),(1.089470499013156e-33+1.0894704990131558e-33j),(-0.0866773619279562-0.07115155662509287j),(1.6262886835657484e-33+1.129042646418068e-33j),(1.2893492061794698e-33-8.0591114767976e-34j),(2.759928150030071e-18-2.1772766516903912e-17j)
