,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,(-1.0854127090933462e-17-2.3080784634295148e-17j),0j,0j,(-0.28307329864589925-0.15128669004268003j),0j,(0.4453484908731931-0.13204080952823075j),(0.11525978159487918-0.029863752514262827j),0j,0j,(-0.34285467931421987+0.0012201980415974534j),(0.17873227516475412-0.23226430079015103j),0j,(0.04244620801141952-0.014451138208653479j),0j,0j,(3.3989666904080824e-17+3.4641411168047144e-18j),0j,(0.33167710856445426-0.20825183299784145j),(-0.33608247068945224-0.1093537776509125j),0j,(0.36307243334712325-0.0075097157213655785j),0j,0j,(-1.1281142132502087e-17-7.813320084337262e-19j),(-0.21552772796661412-0.07045188043600707j),0j,0j,(-1.1344162823579534e-17+1.571977822803694e-17j),0j,(-2.2522425422721628e-17-2.9549823966463033e-17j),(2.1312462770454292e-17+1.3914324508944285e-17j),0j
5.0,(3.0253050441004915e-17-3.858479539781775e-18j),0j,0j,(-0.19815004580524703-0.10338182076792404j),0j,(-0.18981135604356952-0.2798395663462691j),(-0.13272551107031894+0.12988549889752063j),0j,0j,(-0.11540270969612668+0.03492398068107311j),(0.7186999924139107+0.10527609070226124j),0j,(-0.2782670784896056-0.0752397034017728j),0j,0j,(4.294997196534455e-18+3.188147566711585e-17j),0j,(-0.03806578589003723-0.256869831228787j),(-0.1462896427096228-0.0999411920058198j),0j,(-0.0908208488759303-0.2374779736851231j),0j,0j,(3.661882057756001e-18+2.5641903741561855e-17j),(-0.10667063640753738-0.03372360494996362j),0j,0j,(-9.669164893235366e-18+1.2026060912486631e-17j),0j,(-2.6227636604041767e-18-1.9246679448066693e-17j),(-3.963301231883435e-18+1.5445220908631911e-18j),0j
7.5,(4.5021732403724875e-17+2.9285881228035055e-17j),0j,0j,(0.3114784750309294-0.1886421583531298j),(-0+0j),(-0.27399378886713566-0.013852934437034309j),(-0.17399824346825046-0.2451014133830813j),0j,0j,(0.16728043806678755-0.34200202286627523j),(0.2401662929771458+0.25874253707221573j),0j,(-0.04737594678567221-0.2084137655453634j),(-0+0j),0j,(3.7132875135454516e-17-1.484645973951355e-20j),0j,(-0.05728506369620516+0.2820595302245438j),(0.20466345225579688-0.3457255953534605j),0j,(-0.2525792323672233+0.06769498233357434j),(-0+0j),0j,(-2.3924947843146746e-17-8.570429067102353e-19j),(0.14630903245819527-0.22909946154759844j),0j,0j,(4.8505443156320224e-17+2.0120680010486425e-17j),(-0+0j),(4.1782259064564404e-17+1.8359989245936803e-18j),(2.6673001816328728e-17-3.151629342610538e-18j),0j
10.0,(-8.721694850150677e-17+2.163052766118365e-17j),0j,0j,(0.09576915149076103+0.2853208721865463j),0j,(-0.17791194445074754+0.03734903980056224j),(0.25320679999673024+0.33998488965280654j),(-0+0j),0j,(0.23600259086116382+0.2182336442827175j),(0.33344099598981297-0.4945715976756677j),0j,(0.0537637583269774+0.2485769185934063j),0j,(-0+0j),(-9.781390457310668e-19+1.789341401328207e-17j),0j,(-0.09040181533899148-0.12099415654473082j),(0.19657970219206525+0.05003177831537163j),0j,(-0.2880668814081038+0.013297624380750439j),0j,(-0+0j),(1.199444085028763e-17+7.558318390002897e-18j),(0.13417199822054296+0.0880954144241281j),0j,0j,(-5.034345736438069e-18+1.7012179410698206e-17j),0j,(4.1541899043794064e-18-2.3121437510974938e-17j),(-8.373550166256038e-18-7.76960844515216e-18j),(-0+0j)
12.5,(-1.0661462028933703e-17-5.706261957813092e-17j),0j,0j,(0.03510594000121824+0.10499683087550989j),0j,(0.32328402021012415+0.019106601423271807j),(-0.10881426060706909+0.44255551697834633j),0j,0j,(0.01517721960011642+0.3915091496560819j),(-0.09674362249703326-0.32105954355067456j),0j,(0.029564572971459778+0.0688372118513918j),0j,0j,(-1.7621204729148214e-18-1.3109814928704492e-17j),0j,(0.38289473557399567-0.031224937055468j),(-0.3697416704605138+0.23787419840004803j),0j,(0.18023876709117376+0.08817800386905668j),0j,0j,(-1.0923731356704485e-17+5.774465890528121e-19j),(-0.14664616931380214-0.031078252630256167j),0j,0j,(-1.0824925876043913e-17+3.489782054287637e-17j),0j,(3.064548162611256e-17-1.0361430366937334e-17j),(1.2875862975022832e-17+9.572068877164277e-18j),0j
15.0,(4.2981973769696624e-17-6.080631842889987e-17j),0j,0j,(0.37564127647004086-0.09442385344367765j),0j,(-0.2889865461419041-0.1692709047438098j),(0.07915407449808895+0.08258736538531515j),0j,0j,(0.39632454348078733+0.2976774907218779j),(0.2914000657462956-0.41947568389189516j),0j,(-0.07240715832446822+0.24434119825999526j),0j,0j,(2.5555306701404206e-17+3.1966793890955604e-17j),0j,(0.135214627195947+0.0371200154186793j),(0.1401544247541097+0.03303194402346288j),0j,(-0.06017336399019747-0.2545961564278122j),0j,0j,(-2.556409617043898e-17-8.20836511967148e-18j),(0.0031546024414820517+0.21065686549037127j),0j,0j,(-8.034288343242544e-18+1.2267720646225864e-18j),0j,(-2.152829617763626e-17+1.5519450214162708e-17j),(1.5737719834291806e-17-3.154888906114301e-18j),0j
17.5,(-1.3447633265039996e-17+1.9744770663254326e-17j),0j,0j,(-0.2534534055029821-0.010108448688670155j),(-0+0j),(-0.21191092343519818-0.08921433998512392j),(-0.19855652661782167-0.005242016165892344j),0j,0j,(0.035025285349552085+0.21493401458769376j),(-0.41282605450833665+0.4097203285181887j),0j,(0.00038655445968658816-0.032969322041435524j),(-0+0j),0j,(-1.7568103729274837e-17-2.2219734029064074e-18j),0j,(-0.17996829552382693-0.1408472119628433j),(0.40087469604824316-0.36890636968390866j),0j,(-0.23889457318172183-0.14728981475933778j),(-0+0j),0j,(-1.5086613719050459e-18-5.867908912649293e-19j),(0.05938485934786031+0.158822321010705j),0j,0j,(-3.5884338541299e-18+1.1297743140342273e-17j),(-0+0j),(-1.8540753192470788e-17-7.232462855218893e-18j),(3.077108227686821e-18-2.01447310841086e-17j),0j
20.0,(1.868692816606083e-17+4.50494404030638e-17j),0j,0j,(-0.2117544111049946-0.025442484002770577j),0j,(-0.10662807141704861-0.6175316309677279j),(-0.231118769685157-0.041544600237199775j),0j,0j,(0.2723886163544334+0.10914764799562685j),(0.10995231335734512-0.3639241060787151j),0j,(0.08672939653302851+0.1286777189693556j),0j,0j,(-8.957636193580565e-18-4.66155004343439e-18j),0j,(-0.1422749506985424-0.03392554706954715j),(-0.04061481667392859+0.21361261999204714j),0j,(-0.39223442590066204-0.16070318124084676j),0j,0j,(-3.414767995017103e-17+2.5447258681035416e-17j),(0.05892578064669829-0.010883373215820703j),0j,0j,(-1.2857803950595872e-17-2.1332791279186158e-17j),0j,(6.494594685015644e-17-1.2753980590866983e-19j),(3.93689096855653e-17-1.8569502038589444e-17j),0j
22.5,(2.5108171395085886e-17-5.442105047612284e-18j),0j,0j,(0.21788540456203154+0.28806969424398216j),(-0+0j),(0.20664221962992843+0.08417847012824078j),(-0.25834100788643766+0.11095697384003812j),0j,0j,(0.26107564359241703-0.41330014256755687j),(-0.012800685241161791+0.5616501234460753j),0j,(0.3163852833366587-0.10318334943101302j),(-0+0j),0j,(-2.5260474688162678e-19-4.2413989500837255e-18j),0j,(0.024637225812684082-0.06126460410891367j),(0.20034493619546606+0.06296878958619123j),0j,(-0.0850564444254283-0.12824926874033718j),(-0+0j),0j,(1.5110914426523935e-17-1.0876850381563411e-18j),(0.01970482235729203+0.053200789443679355j),0j,0j,(8.999329723814355e-18-1.485269887863315e-17j),(-0+0j),(1.0200301293255905e-17-2.7435049771788156e-18j),(-5.952855049562056e-19-2.9286167861308266e-18j),0j
