,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(-6.410004024706116e-18+1.2735756227283009e-17j),0j,0j,(-0.4064377981239271-0.4387501809089031j),0j,(0.47211156921740227-0.28280221315466403j),(0.5811652810796355-0.04107414663888692j),0j
4.0,(1.496378375867136e-17-2.3284939038931598e-17j),0j,0j,(0.10423362223074062+0.849393975917783j),(-0+0j),(0.16013751006154597-0.0585136355761458j),(-0.4491937061140222+0.19189156412343653j),0j
6.0,(-3.2244190816644782e-18+1.0908485257131313e-17j),0j,0j,(0.3194408965184947+0.5708090568388093j),0j,(0.44503108189127716+0.5130181991874335j),(-0.23617356789851182-0.23476848924312124j),0j
8.0,(2.1149963551081376e-17+1.0476960293474684e-17j),0j,0j,(-0.7975526286556325-0.24295960252443405j),0j,(-0.10610414123640313+0.057718041197548j),(-0.03212242064976195+0.5378281557245429j),0j
10.0,(-6.080319387626002e-18-1.8969637134363523e-17j),0j,0j,(0.3824447463614007-0.18168003611345312j),(-0+0j),(-0.46036237397121027-0.6031576186551905j),(-0.4936816808699449-0.03569523948085973j),0j
12.0,(3.621260455062345e-18-2.146165189625815e-17j),0j,0j,(-0.020575746351887657-0.0041246107549004415j),0j,(-0.2437441365493092-0.09858344165628186j),(-0.3314758069837134+0.905844090647896j),0j
14.0,(-3.1637467326922686e-17-1.757534374995922e-17j),0j,0j,(0.28484075621215676-0.2608961997998389j),0j,(0.31068328525866934+0.40864039726906165j),(-0.155734002340351+0.7503564213266973j),0j
16.0,(1.092459734120032e-17-2.531807323548903e-19j),0j,0j,(0.4447269024840064+0.7704897142938845j),0j,(-0.16787454364042542-0.018763765928530823j),(-0.34578171952143455+0.2458955947242805j),0j
18.0,(-1.4269955506049393e-17+1.4362937047686766e-17j),0j,0j,(0.6916621211620053+0.08583361393424893j),(-0+0j),(0.493223708467889-0.38859076157445077j),(-0.184934878502757+0.2928528384803597j),0j
20.0,(-1.159515556686321e-17-6.311193818889119e-18j),0j,0j,(0.773255654292598-0.0004680839640394119j),(-0+0j),(0.36259041638360334+0.06492982242247605j),(-0.22032739442355936-0.46673720804688956j),0j
