,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0.0,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
3.0,(1.9626155733547193e-17-5.887846720064156e-17j),(1.0485025998186226e-17+3.293990597454751e-17j),(-3.886843251040986e-17-1.1548882286606419e-17j),(-0.02074251464238891+0.38419221187341923j),(5.011434286715819e-18+8.608137073576952e-18j),(0.350761099817883+0.45945382596051254j),(0.11422547790577627-0.09867946303650998j),(-2.9960438722861785e-33+2.723676247532893e-34j),(4.228563068437112e-18+2.8163794308695026e-17j),(0.11861193933506056-0.10736066961083504j),(-0.41941368164210313+0.4162309643632122j),(-2.1789409980263115e-33+2.178940998026312e-33j),(0.30715266764549776-0.16110837979996134j),(-8.960766085159003e-34+1.1099900408515975e-33j),(1.8532430552694547e-33-2.7812286665111993e-33j),(2.943923360032078e-17-2.9439233600320786e-17j)
6.0,(-1.9626155733547187e-17-1.962615573354719e-17j),(2.1558329217643775e-17-2.1691520552075092e-17j),(-2.464652868155803e-17-2.87061894168127e-17j),(-0.4018703621734734-0.21201825429699467j),(-2.0708395171160498e-17+7.453438648160156e-18j),(0.14541088194128854-0.10247693870583446j),(-0.10006968979679742+0.35053202170260983j),(-1.634205748519734e-33-5.447352495065778e-34j),(-2.8094421809632696e-17+1.0437012608407005e-17j),(-0.11717545100853868+0.3376749047715532j),(-0.5993325480466404-0.3210513111356783j),(1.634205748519734e-33+5.447352495065778e-34j),(0.09841178770018646+0.1711818568748203j),(-2.5628634808299657e-33-1.6772014118686698e-33j),(-2.363080600971049e-33-8.121620440151848e-34j),(-2.4532694666933987e-18-2.4532694666933983e-18j)
9.0,(1.9626155733547187e-17+9.813077866773596e-18j),(2.7348094670125734e-17+1.1994515257236023e-17j),(-1.389237295629772e-17-2.896965113414665e-17j),(-0.1132907265702699-0.002139006267892783j),(-1.3591832098737775e-17-8.92671824337081e-18j),(0.5666419928387227+0.23336031499291873j),(-0.25574362841346515-0.3536868746154426j),(-1.634205748519734e-33-5.447352495065778e-34j),(2.6357015009793283e-17-2.943225486601562e-17j),(-0.25717051133748-0.342782216018737j),(-0.16922046348539535-0.44292356955144685j),(2.3151248104029564e-33+2.042757185649667e-33j),(-0.1074139117467317-0.03362024435915381j),(-8.632197758947878e-34-1.538819536820489e-33j),(1.2072385943692343e-33+3.351623384451041e-34j),(-3.679904200040098e-17+2.453269466693403e-18j)
12.0,(-3.6799042000401e-18+2.3306059933587283e-17j),(-1.1013765896770878e-17-7.374762434199965e-18j),(4.982478257015576e-18+1.5457984453666287e-17j),(-0.02881457539724172+0.3334909973021828j),(5.864315571162945e-18-1.6698169588023397e-17j),(0.18401101135693965-0.4669134150855555j),(-0.33732795704792856-0.08849339522775518j),(3.4045953094161118e-34-3.404595309416112e-34j),(-3.8793296069139194e-17-3.8623775565019476e-17j),(-0.3398519395340132-0.09725266915049645j),(0.07409631846251817+0.28387855194147926j),(1.4682317271856965e-34-2.032117825307742e-33j),(-0.547532783027179-0.06030908934019355j),(4.04162162986798e-34-3.869394660459761e-34j),(2.88217951589779e-35-2.5747568855168167e-34j),(-4.170558093378777e-17+3.679904200040098e-17j)
15.0,(-6.133173666733497e-19+6.133173666733496e-19j),(-2.3439361087650894e-17-2.2178912529117484e-17j),(-7.334342960600331e-18-9.247231093021778e-18j),(-0.05278153740362946+0.03828166271797177j),(-1.7667398294609143e-17-3.7566439162161235e-17j),(-0.2982726074822423+0.04032910791124322j),(-0.2612075858121641-0.20936849980606387j),0j,(2.6575020641470955e-17+1.179753118293548e-17j),(-0.24511310629909422-0.1922093813049033j),(0.42619274704612575+0.3307723050051488j),(1.089470499013156e-33+1.0894704990131558e-33j),(-0.4818103504096651-0.41578166914450576j),(-1.5368663427704342e-34-2.1015973676168022e-35j),(7.540639599168581e-35-5.5143555951756496e-34j),(4.661211986717457e-17+4.6612119867174566e-17j)
18.0,(5.887846720064157e-17-2.943923360032078e-17j),(-8.357400388563973e-18-2.2699786029961465e-17j),(1.1834945032047716e-18-1.4634894856332347e-17j),(-0.17261276942340037-0.024451763437729743j),(-4.424749666960374e-17+2.4595473574054907e-17j),(-0.12947416824981234+0.7950677361347989j),(-0.31147924786464226-0.15406624282423362j),(-1.6342057485197336e-33+1.634205748519734e-33j),(-5.515129405687158e-19-1.9636949216122635e-17j),(-0.33459798320554834-0.14456597616336356j),(0.1126326688931991-0.17306323821089525j),0j,(-0.13852568719203112-0.07261851291935133j),(-7.078829626255557e-36-1.964058510459279e-33j),(-1.4236418725378143e-34+3.829427755514139e-34j),(9.813077866773595e-18+9.813077866773593e-18j)
21.0,(-1.2266347333466995e-18+3.6799042000400975e-18j),(-2.3716893040084817e-17-1.6232611700241387e-18j),(-3.6170621279876655e-17-1.6135265143069124e-17j),(-0.3081689858164387+0.4343658195811108j),(2.3674644450536593e-17+4.90424520985524e-18j),(0.36532251651689607+0.4313517129079863j),(-0.21157173184852018-0.1334361238077333j),(1.3277921706722835e-33-2.3491707634971175e-33j),(-2.450881049258809e-17+2.074585830099583e-17j),(-0.22111734158706206-0.15644807361884144j),(-0.3459021205712365+0.33782926469760216j),(1.4469530065018477e-33-8.511488273540289e-35j),(0.11135932522163683-0.12132149808750496j),(6.975588779450688e-34+1.8606786920771547e-33j),(1.2321568695571543e-33-1.0998395049690361e-33j),(-5.80734881568828e-18-1.2592172184512208e-17j)
24.0,(1.8092862316863812e-17+7.022483848409853e-17j),(3.678436080035442e-17+4.692345093101958e-18j),(2.0237785104891588e-17+2.8303273850134735e-18j),(0.3634528167724618-0.4060912066087608j),(-8.929995254962247e-18+1.5601664140991465e-17j),(0.10515239765978471-0.015669263924064522j),(-0.05724451440314182+0.10447729556002198j),(-8.851947804481891e-34+3.404595309416113e-34j),(1.1081510499540309e-17-3.8868455609397845e-17j),(-0.07332146562371089+0.0991387991698975j),(0.10697696077974145-0.7916619995886569j),(5.447352495065778e-34-1.634205748519734e-33j),(0.05650512159312208+0.14466108769879546j),(2.7505406058532725e-33-2.193806179957858e-33j),(9.777084178382842e-34+1.2258269342647298e-33j),(4.354553303380783e-17+3.3732455167034225e-17j)
27.0,(1.471961680016039e-17+4.906538933386798e-18j),(-1.1232627343889953e-17-3.2834326458320333e-18j),(-1.1572125044905784e-17-2.2751585231506074e-17j),(0.11059670670987345-0.08501727038569258j),(3.869686933194295e-17-2.949079372570913e-17j),(0.02532738388598893-0.6904693190432079j),(-0.1465383777274435+0.09828131191207502j),(2.7236762475328894e-34-2.72367624753289e-34j),(-2.3807097337338352e-17-5.19282262084003e-18j),(-0.14580986876361363+0.10770799605229128j),(-0.6571700139754736+0.03477842891180366j),0j,(0.02101798631183745-0.0750540504655304j),(3.349396731058695e-35+6.2884971422688e-34j),(-8.55819230332711e-34+1.461198497353534e-33j),(1.0794385653450954e-16+5.887846720064156e-17j)
