,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.0,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,(1+0j),0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j,0j
2.5,(-1.1979452263493319e-17+1.6682623890447327e-18j),0j,0j,(0.12942781412931437-0.28780715042437993j),0j,(0.13967238965948894+0.4081103302046503j),(0.037630649309553135+0.08912158436449857j),0j,0j,(0.06112785564295273-0.35428128784702795j),(0.22014426966489678+0.18997094775653195j),0j,(-0.015165220034923009+0.08581657078678248j),0j,0j,(5.394200696078363e-18+1.446219992520961e-18j),0j,(0.1847816073232792+0.32030003390594336j),(0.1439786673684837-0.3676274867560302j),0j,(-0.013510664391373078+0.360293763888606j),0j,0j,(9.077957777705404e-18-1.0962908202693688e-17j),(0.08885875826339523-0.23041132257722702j),0j,0j,(-1.00427793027872e-17-2.19141338406817e-17j),0j,(1.4791010887969056e-17-1.7661349498657713e-17j),(2.023408002501275e-17+1.4877772129936883e-17j),0j
5.0,(-2.5947066234675162e-17-5.105410247569064e-18j),0j,0j,(-0.24124126057836415+0.14661631244638082j),0j,(-0.26454011342356926-0.0802875455696471j),(-0.08727885813185308+0.16453707227480907j),0j,0j,(-0.08844198646600968+0.15389345993207318j),(0.5802931784848439-0.38449987303881433j),0j,(-0.23919810959940435+0.24200081787030944j),0j,0j,(8.137423971034656e-18+1.2876920609194858e-17j),0j,(-0.31035394575535835-0.16809888206453782j),(-0.07229776769323079+0.0006746634160685883j),0j,(-0.17119895589770795-0.07143096986721409j),0j,0j,(-8.155605901231516e-18+1.2947761216366273e-17j),(-0.10448061196922843+0.046809946183462015j),0j,0j,(-4.918428271857604e-19-1.748969015874563e-17j),0j,(-4.12342907627681e-18+2.265679248295636e-17j),(-1.0786285272798583e-17+1.6136920129816545e-17j),0j
7.5,(-3.876584490964651e-18-2.675697964401145e-18j),0j,0j,(0.28544385873310896+0.05678238533332257j),(-0+0j),(-0.1627532941380845-0.21511079292029123j),(0.07279086811812086-0.3401494121260032j),0j,0j,(0.36895226849169427+0.06725828971901662j),(-0.1014761664122592+0.22915884423340693j),0j,(0.20373664594637136-0.1260849585194215j),(-0+0j),0j,(-2.5430359922563686e-17+2.198775691337642e-17j),0j,(-0.34930577224969234+0.03738337794275853j),(0.44709438834213244+0.01994725836544245j),0j,(-0.13012568559093585-0.2527490701786369j),(-0+0j),0j,(-1.5533033882540988e-17-2.203730928881928e-18j),(0.23511010996626402+0.029573439325068715j),0j,0j,(5.342631781270389e-18-8.358704921350434e-18j),(-0+0j),(-1.765995939577222e-17+1.082154813024684e-17j),(1.1921637943151346e-18-7.604931078476446e-18j),0j
10.0,(-5.731021781532116e-18+5.584879743298334e-18j),0j,0j,(-0.11922220161026725-0.09754660509518762j),0j,(0.1001074181169202+0.024315329586943032j),(-0.31564751920159395-0.3118791485421453j),0j,0j,(-0.34067534591247+0.02067130174383075j),(-0.28050655454246043+0.5638070682567412j),0j,(-0.14688021219499706-0.27898710148323574j),0j,(-0+0j),(6.71107420000694e-18+1.5509644660701786e-17j),0j,(0.1931800012062836+0.1324383845230579j),(-0.09698550551755303-0.06018571518252562j),0j,(0.20389515093024008+0.09500066441234264j),0j,(-0+0j),(1.4673600110447243e-17-2.3926265317980764e-18j),(-0.194218781386782-0.009636621093183653j),0j,0j,(1.735227914504194e-17+4.523690370622588e-17j),0j,(-7.07071400726971e-18+2.5365397884565608e-17j),(-4.4698693394338846e-18+1.1312729503410421e-17j),0j
12.5,(-1.7333289506637992e-17+3.4681699967194535e-17j),0j,0j,(0.013602295572265909+0.10140966852270339j),0j,(-0.31943956417185626+0.052180767948527745j),(-0.1415584517353529-0.11094376786707652j),0j,0j,(0.026866882830145516-0.2396426296951196j),(0.26017295389503126+0.5073202943409896j),0j,(-0.016783654195982614-0.12707245242352855j),0j,0j,(-2.189537094524538e-18-3.240189584695559e-17j),0j,(-0.26519283071701805+0.488549217605675j),(-0.04886579056481635-0.10458996262462379j),0j,(-0.3368761877832093+0.0945427025485534j),0j,0j,(-2.3039539850278302e-20+9.183030816825022e-18j),(0.0887820026015774+0.011630769208497108j),0j,0j,(1.329004430924138e-17+8.928401355524508e-21j),0j,(2.827606833916871e-18-1.9542244511383545e-18j),(-3.3303908464050872e-18-2.359163892433311e-18j),0j
15.0,(2.5544102736001113e-17-8.915401273211036e-18j),0j,0j,(-0.07123740690972395+0.10353732211177155j),0j,(0.3928462369430766-0.44126902991136746j),(-0.22305210801651706-0.04731007026687638j),0j,0j,(0.03653539463714733+0.12164227747123325j),(0.4501616019390382+0.17854216973628378j),0j,(-0.10751739110099318-0.1887656225685137j),0j,0j,(2.271235373636172e-17-8.771454903243032e-18j),0j,(0.28943176191202663-0.030462659326854824j),(-0.11036536135770386+0.10435387332823083j),0j,(0.30150435203062315-0.282095860697521j),0j,0j,(5.80552788806335e-18-1.5011917388412956e-17j),(-0.04724983565642139+0.06954772262675021j),0j,0j,(1.2857925026264568e-17+4.265191887820958e-17j),0j,(-1.0425644097894202e-17-3.518715781887744e-17j),(-3.566486972114143e-17-3.5926599035817083e-17j),0j
17.5,(3.859409011582412e-18+4.396770134833389e-18j),0j,0j,(-0.08291988859898418+0.09391525976431891j),0j,(0.16029489493710442-0.006603661840186445j),(-0.13675873511433098+0.14522882451280494j),0j,0j,(0.17342493282933172+0.13193561868414644j),(-0.7883673810018594-0.06057040086329468j),0j,(-0.051065621588516644+0.22095944133633488j),0j,0j,(4.654878135502175e-18-3.3543650187323435e-17j),0j,(-0.10685408872980569-0.21042976578684675j),(0.07472113798516067+0.2875091244678746j),0j,(0.13466236949859509-0.024412437883271985j),0j,0j,(-8.524286159944834e-18-8.731927852067792e-18j),(-0.035295149481310434+0.17534824484023825j),0j,0j,(2.1968479892799672e-17-8.59509845814124e-18j),0j,(1.8593644545417585e-17-9.604225687612956e-18j),(9.837326415702257e-18+1.1555619950734561e-17j),0j
20.0,(2.605286336637988e-17+3.8912494679032226e-17j),0j,0j,(0.28979683488616803-0.2080993989181827j),0j,(-0.09984376715342064+0.4330345156555153j),(0.08685078642597464-0.04470255664809501j),0j,0j,(0.25033290911049877-0.22253760490396723j),(-0.15486808494856147+0.09785270191895336j),0j,(0.20161891089797412-0.0013104664745367117j),0j,0j,(2.7640991602716725e-18-3.817473257211092e-17j),0j,(0.07316533810375027-0.051347498523485476j),(0.22000654185364538-0.30349087939291286j),0j,(-0.13908447695258966+0.4055239644394323j),0j,0j,(2.278716488068737e-17+1.261138999281289e-17j),(0.2555262315799824-0.28582424972044296j),0j,0j,(-4.254179422117259e-17-5.046407261574864e-17j),0j,(3.1184934435018603e-17+3.365609496129349e-17j),(-1.6167844333858823e-18-1.2636598089621465e-17j),0j
22.5,(-2.0334250368333835e-17-2.2466840271439895e-17j),0j,0j,(-0.08767803304419748+0.04212173633877768j),0j,(0.02519670425074992+0.22111176575686275j),(0.08691494276394711+0.09719998250913067j),0j,0j,(0.12001983142543542+0.33836475878406924j),(0.2545192040062204-0.6467582898056164j),0j,(0.12437546296775467+0.04195971819229847j),0j,0j,(-1.8429350849505368e-17-2.7658431564669554e-17j),0j,(-0.06336887291247052-0.014219051227251128j),(-0.06152462260684566+0.34874507163467344j),0j,(-0.028839672672046207+0.386915616529091j),0j,0j,(-6.226440439601001e-18-1.0074752988974989e-17j),(-0.016030708899020495+0.11996137920466696j),0j,0j,(-8.046867057316745e-18-4.6291907562218125e-18j),0j,(-1.491245627473872e-17-1.2848331362443004e-17j),(-1.623013580028399e-17+9.451787054892049e-18j),0j
