,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(2.3798411278450027e-17-2.2441544290412448e-17j),0j,0j,(0.004892123106251339-0.49882498340508374j),(-0+0j),(0.3865137998865661+0.4813742546332336j),(0.6082320251075917-0.009456012346381715j),0j
4.0,(1.686844902706598e-17-8.820632810856856e-18j),0j,0j,(0.020742466644820663+0.07819316473459784j),(-0+0j),(0.5882986975341755+0.01420481679910568j),(-0.14198899690272299+0.7918317810520943j),0j
6.0,(-2.7390623602126108e-17+2.9670257799432944e-17j),0j,0j,(0.15520242331355905+0.8867213308203794j),0j,(-0.4046593824873633-0.05598874238542245j),(-0.11113755085305788+0.10199009239707245j),0j
8.0,(-1.807328476381434e-18-9.130235257171663e-18j),0j,0j,(0.6020149571451326+0.13820244952590496j),(-0+0j),(0.24370113479222155-0.685777242618815j),(0.11624295045567666+0.27438108753166796j),0j
10.0,(-5.354149683320956e-19-6.539403435802213e-17j),0j,0j,(0.261191026979928-0.4564776182928189j),0j,(0.6602666283369105-0.01911790790315282j),(-0.3875773146136036-0.3699645141385972j),0j
12.0,(-1.9981334422019025e-17+2.2127507876571292e-17j),0j,0j,(-0.3066797303322635+0.23008759727267827j),(-0+0j),(0.6868620473682963+0.007194877950060796j),(0.6098336456955759-0.09632718608250912j),0j
14.0,(-1.3337989904097029e-17+1.1081616838129277e-17j),0j,0j,(0.013010832283491092+0.02830873232398928j),0j,(-0.02042651421824425+0.026753854486098315j),(0.9911517163906525+0.12455760836011504j),0j
16.0,(-7.823225564610225e-18+4.1184920994901845e-18j),0j,0j,(0.15119178281272933-0.7141246063905458j),0j,(0.38261632635148163+0.2254208647799404j),(0.44249806556395416+0.2723099958884653j),0j
18.0,(3.217675083666132e-17+1.2488018198047178e-17j),0j,0j,(0.2700858570513087-0.7625537945349609j),(-0+0j),(-0.5608342671300319-0.1116422891417718j),(0.0870391557871807-0.10483534570435898j),0j
