,0,1,2,3,4,5,6,7
0.0,0j,0j,0j,0j,0j,0j,(1+0j),0j
2.0,(1.9815714677256572e-17-1.5611911458376034e-17j),0j,0j,(-0.4531436707121296-0.13900929713343838j),0j,(0.1446058376932128-0.3986473090736381j),(0.6610457752943697-0.3981522154187547j),0j
4.0,(3.01735106240606e-17-3.930428496777947e-17j),0j,0j,(0.2540627990371783+0.8418902161059079j),0j,(-0.10838831073341652+0.04717564865402696j),(-0.45711483224967875+0.06119984132592035j),0j
6.0,(1.1992065464477203e-18-2.4326834357995414e-18j),0j,0j,(-0.05101198316821398+0.7866822689364622j),(-0+0j),(0.4376814360538401+0.34026016999994857j),(-0.22729715862752445-0.13972388571584377j),0j
8.0,(6.946304492830798e-18+1.3222734328024587e-17j),0j,0j,(-0.32313462139789306-0.6499014999650502j),(-0+0j),(-0.21427851554746613-0.338522352471557j),(-0.31347150372581084+0.46307127723601504j),0j
10.0,(-2.1874435511772077e-17+7.613403993644938e-19j),0j,0j,(0.04511486967114686+0.535486108467675j),0j,(0.46000441874585596-0.24136837183353682j),(0.4813859912479833-0.4578471878428576j),0j
12.0,(-1.1084128978292163e-17+2.3212289381121844e-17j),0j,0j,(0.03275371982236881-0.19927261802315j),0j,(-0.06330833045233494+0.3215798062703322j),(0.6093930478696163+0.6931350620525922j),0j
14.0,(2.6474231055315337e-18-6.5064408308732504e-18j),0j,0j,(-0.06326974181846132-0.3998639966722788j),0j,(0.4350644903269254+0.11751265411061962j),(0.5985177482217944+0.5242059656084253j),0j
16.0,(2.8951487655296427e-18+1.1290813758185069e-17j),0j,0j,(0.8311692857582859+0.015965726498105348j),(-0+0j),(0.0200064024045718-0.0823344624489839j),(0.024794631101343+0.5487337427332675j),0j
18.0,(-5.707763755440396e-19-7.551483743376883e-18j),0j,0j,(0.8347275224956003+0.15052498239979156j),(-0+0j),(0.36585141723026793-0.0071944323480957195j),(-0.28412211320964864+0.2568030340571868j),0j
20.0,(-7.800282252206935e-18+2.224643034804537e-18j),0j,0j,(0.9149602896931508+0.14801781546992965j),0j,(0.26893804433259944-0.14897526100637237j),(-0.18930268016140267-0.1028668546738182j),0j
22.0,(-1.5828106854448132e-17-1.848258664053975e-18j),(-0+0j),0j,(-0.41194081595976334+0.4059339040715798j),(-0+0j),(0.14546886962237981+0.5873964856610624j),(0.5460979272927318-0.03322137989325996j),(-0+0j)
24.0,(2.532042391074379e-17+2.0259694607577998e-17j),0j,0j,(-0.19707809824740546+0.030845729303252342j),(-0+0j),(-0.005568871756019306+0.1590054760159437j),(0.6766696269919936+0.6906614411893582j),(-0+0j)
26.0,(-2.1208479506399316e-18+3.515677828588413e-18j),0j,0j,(0.431598967953466-0.1281007497158222j),(-0+0j),(-0.0445261311475961+0.36240623240325953j),(-0.2911164981810599+0.7610800612490422j),(-0+0j)
28.0,(-4.4082162757356914e-17+3.0384568264732267e-17j),0j,0j,(-0.5934784273034838-0.4080178983473719j),(-0+0j),(0.07737681951467974-0.05595480203909589j),(0.4341185062667383-0.5326610192241135j),(-0+0j)
30.0,(-4.278927359681588e-17+1.1665506594434216e-17j),0j,0j,(0.3232052916822564+0.7748276792502122j),(-0+0j),(0.22679877112667632+0.26204648511498074j),(-0.41589281106038445-0.045907882317999305j),(-0+0j)
